id,level,task,rt,acc
1W5HQaoCSR,easy,ST,0.79076875,0.9375
1W5HQaoCSR,hard,ST,1.25524375,0.375
1W5HQaoCSR,medium,ST,1.32614375,0.875
2Rn7YC7ktN,easy,ST,1.4707625,1
2Rn7YC7ktN,hard,ST,1.6106,0.6875
2Rn7YC7ktN,medium,ST,1.579175,0.625
2dX8HaA5QM,easy,ST,0.8684,0.9375
2dX8HaA5QM,hard,ST,1.2825625,0.625
2dX8HaA5QM,medium,ST,0.920325,1
2vlCeeOoXs,easy,ST,0.7568874999999999,1
2vlCeeOoXs,hard,ST,1.201875,0.6875
2vlCeeOoXs,medium,ST,0.8934125,0.9375
5oQkfRc0Dh,easy,ST,1.18355625,1
5oQkfRc0Dh,hard,ST,1.73339375,0.625
5oQkfRc0Dh,medium,ST,1.831875,0.75
8BtJMmB1PT,easy,ST,0.974275,0.9375
8BtJMmB1PT,hard,ST,1.325775,0.6875
8BtJMmB1PT,medium,ST,1.1635625,0.6875
8PPM98ESGr,easy,ST,0.92703125,1
8PPM98ESGr,hard,ST,1.47381875,0.8125
8PPM98ESGr,medium,ST,1.438975,1
8eLeJBm5SV,easy,ST,1.0206312499999999,0.9375
8eLeJBm5SV,hard,ST,1.35134375,0.5
8eLeJBm5SV,medium,ST,1.12224375,0.75
8xVAczfPKp,easy,ST,1.3286125,1
8xVAczfPKp,hard,ST,1.3421375,0.875
8xVAczfPKp,medium,ST,1.9192,0.8125
DoJgv77gQp,easy,ST,1.18301875,1
DoJgv77gQp,hard,ST,1.2222375,0.625
DoJgv77gQp,medium,ST,1.5258875,0.625
EgEJAn9pKN,easy,ST,1.0257375,1
EgEJAn9pKN,hard,ST,1.253025,0.5625
EgEJAn9pKN,medium,ST,0.95185,0.875
ExbVOsMHAA,easy,ST,0.9332125,0.9375
ExbVOsMHAA,hard,ST,1.1976625,0.875
ExbVOsMHAA,medium,ST,0.8742624999999999,0.8125
FDaGWmAPTr,easy,ST,1.249675,1
FDaGWmAPTr,hard,ST,2.1703312500000003,0.625
FDaGWmAPTr,medium,ST,1.4701875,0.625
FfPm6QztsA,easy,ST,1.17050625,0.875
FfPm6QztsA,hard,ST,1.4535125,0.75
FfPm6QztsA,medium,ST,0.9961625,0.875
GJzcwSPe9Z,easy,ST,0.8374375000000001,1
GJzcwSPe9Z,hard,ST,1.0961875,0.875
GJzcwSPe9Z,medium,ST,1.13575,0.9375
HF94YUUt2C,easy,ST,0.8371,1
HF94YUUt2C,hard,ST,1.0617125,0.75
HF94YUUt2C,medium,ST,0.8927625,0.9375
HajArhl9Mf,easy,ST,0.75999375,1
HajArhl9Mf,hard,ST,1.3716125000000001,0.625
HajArhl9Mf,medium,ST,0.9484875,0.8125
HmPsw2WtYS,easy,ST,1.39439375,1
HmPsw2WtYS,hard,ST,1.832125,0.75
HmPsw2WtYS,medium,ST,1.3385875,0.75
Hxjg3OTYhu,easy,ST,0.9816,1
Hxjg3OTYhu,hard,ST,1.1227125,0.625
Hxjg3OTYhu,medium,ST,1.421725,0.8125
I64skoy66n,easy,ST,1.088125,1
I64skoy66n,hard,ST,1.37175,0.6875
I64skoy66n,medium,ST,1.214,0.875
IMJ2Wgu1zI,easy,ST,1.0603125,1
IMJ2Wgu1zI,hard,ST,1.29,0.6875
IMJ2Wgu1zI,medium,ST,1.3995625,0.75
JP0BqEE4Fj,easy,ST,0.9669937500625,1
JP0BqEE4Fj,hard,ST,1.2067937495,0.625
JP0BqEE4Fj,medium,ST,0.918818749625,0.9375
JpDUHBwJT1,easy,ST,1.396375,0.9375
JpDUHBwJT1,hard,ST,1.5266875,0.3125
JpDUHBwJT1,medium,ST,1.392125,0.5625
KCZtWafWV1,easy,ST,1.0017875,1
KCZtWafWV1,hard,ST,1.594925,0.75
KCZtWafWV1,medium,ST,1.622325,0.8125
LMH4MBXVwL,easy,ST,1.85615625,1
LMH4MBXVwL,hard,ST,1.82389375,0.5625
LMH4MBXVwL,medium,ST,1.83453125,0.75
OSi3LnpELr,easy,ST,1.038625,0.9375
OSi3LnpELr,hard,ST,1.01515,0.8125
OSi3LnpELr,medium,ST,0.8829375,0.625
P7WDUMyOEc,easy,ST,0.947675,1
P7WDUMyOEc,hard,ST,1.4442,0.8125
P7WDUMyOEc,medium,ST,1.36545,0.9375
Piksbkqbn1,easy,ST,1.066125,0.9375
Piksbkqbn1,hard,ST,1.3101875,0.625
Piksbkqbn1,medium,ST,1.4936875,0.6875
PsevAJnzJ0,easy,ST,0.747125,1
PsevAJnzJ0,hard,ST,0.79069375,0.8125
PsevAJnzJ0,medium,ST,0.9592499999999999,0.75
QLrSXxmCJy,easy,ST,1.2961624999999999,0.9375
QLrSXxmCJy,hard,ST,1.9317312500000001,0.625
QLrSXxmCJy,medium,ST,2.2212375,0.875
S5rOjASl3o,easy,ST,0.62715,1
S5rOjASl3o,hard,ST,0.8654875,0.375
S5rOjASl3o,medium,ST,0.691725,0.875
TFDf2hLPou,easy,ST,0.970675,1
TFDf2hLPou,hard,ST,1.56336875,0.75
TFDf2hLPou,medium,ST,1.40794375,0.9375
VEZTZ89Pge,easy,ST,1.165375,0.9375
VEZTZ89Pge,hard,ST,1.4335,0.8125
VEZTZ89Pge,medium,ST,1.22325,0.8125
VLeNMXjDPG,easy,ST,2.4689375,1
VLeNMXjDPG,hard,ST,2.105125,0.8125
VLeNMXjDPG,medium,ST,2.5655,0.8125
W3y75sVKt1,easy,ST,1.5226375,1
W3y75sVKt1,hard,ST,1.68036875,0.875
W3y75sVKt1,medium,ST,2.003375,0.9375
WLE3Etok97,easy,ST,1.33161875,1
WLE3Etok97,hard,ST,0.94384375,0.875
WLE3Etok97,medium,ST,1.05781875,0.9375
XdaJtcIO9r,easy,ST,1.30870625,1
XdaJtcIO9r,hard,ST,1.43675625,0.6875
XdaJtcIO9r,medium,ST,1.41115,0.6875
XfAdJiOyxj,easy,ST,0.75825,1
XfAdJiOyxj,hard,ST,1.1306875,0.6875
XfAdJiOyxj,medium,ST,1.0513124999999999,0.8125
YuaQwhP1ZU,easy,ST,1.12640625,0.9375
YuaQwhP1ZU,hard,ST,1.2130750000000001,0.6875
YuaQwhP1ZU,medium,ST,1.27426875,0.6875
alNlXuBH5D,easy,ST,0.9153,1
alNlXuBH5D,hard,ST,1.52914375,0.625
alNlXuBH5D,medium,ST,1.1957437499999999,0.875
antN5ck5Ic,easy,ST,1.244,1
antN5ck5Ic,hard,ST,1.5871875,0.75
antN5ck5Ic,medium,ST,1.8623125,1
bKUxTtubP9,easy,ST,1.5686375,1
bKUxTtubP9,hard,ST,1.69434375,0.4375
bKUxTtubP9,medium,ST,1.4070875,0.6875
cHjpJUhddy,easy,ST,1.4577625,0.875
cHjpJUhddy,hard,ST,1.21619375,0.875
cHjpJUhddy,medium,ST,1.09180625,0.75
cQX3GOCp9n,easy,ST,1.6573125,0.875
cQX3GOCp9n,hard,ST,1.0075,0.625
cQX3GOCp9n,medium,ST,1.37875,0.75
ctfjWeomyR,easy,ST,0.9387812499375,1
ctfjWeomyR,hard,ST,1.16050625025,0.75
ctfjWeomyR,medium,ST,1.112493749875,0.875
d51zamtky2,easy,ST,1.98265625,0.9375
d51zamtky2,hard,ST,2.03185625,0.6875
d51zamtky2,medium,ST,1.7600125,0.9375
dBrkfcNWsa,easy,ST,1.38094375,1
dBrkfcNWsa,hard,ST,3.51785,0.875
dBrkfcNWsa,medium,ST,1.3822375,0.875
dWejUN00z6,easy,ST,0.832025,1
dWejUN00z6,hard,ST,0.7369,0.6875
dWejUN00z6,medium,ST,1.0182875,0.875
eJJDMz958g,easy,ST,1.189,1
eJJDMz958g,hard,ST,1.07795625,0.75
eJJDMz958g,medium,ST,1.16805,0.9375
f5NHoRoonR,easy,ST,1.0013125,1
f5NHoRoonR,hard,ST,2.463375,0.5
f5NHoRoonR,medium,ST,1.448625,1
jipsxYWATF,easy,ST,1.1705625,1
jipsxYWATF,hard,ST,1.23175,0.5625
jipsxYWATF,medium,ST,1.4259375,0.75
kdi0TDNbL6,easy,ST,0.851875,1
kdi0TDNbL6,hard,ST,1.6656875,0.75
kdi0TDNbL6,medium,ST,1.4923125,1
kuTZjru3VL,easy,ST,1.04279375,0.9375
kuTZjru3VL,hard,ST,0.88485625,0.625
kuTZjru3VL,medium,ST,1.008125,0.625
l8OD3O4E3f,easy,ST,1.2006124998125,1
l8OD3O4E3f,hard,ST,1.439424999875,0.8125
l8OD3O4E3f,medium,ST,1.6146625000000001,1
lqSj6DxkoP,easy,ST,1.6103375,1
lqSj6DxkoP,hard,ST,1.69398125,0.6875
lqSj6DxkoP,medium,ST,1.89684375,0.8125
m0mjdT90SU,easy,ST,1.57160625,1
m0mjdT90SU,hard,ST,2.335675,0.75
m0mjdT90SU,medium,ST,1.8137125,0.875
n5pHkx5qnN,easy,ST,0.87339375,0.9375
n5pHkx5qnN,hard,ST,1.52199375,0.5
n5pHkx5qnN,medium,ST,2.222675,1
qG1rKdXNBQ,easy,ST,0.89433125,1
qG1rKdXNBQ,hard,ST,1.71790625,0.75
qG1rKdXNBQ,medium,ST,1.3449437499999999,0.75
qI9h62z2Ku,easy,ST,0.9171125000625,1
qI9h62z2Ku,hard,ST,1.350637499875,0.625
qI9h62z2Ku,medium,ST,1.245125,0.75
qJhGaTGZut,easy,ST,1.381256250375,1
qJhGaTGZut,hard,ST,1.145556249875,0.6875
qJhGaTGZut,medium,ST,1.7833625001875,0.8125
qUOF6OZDRD,easy,ST,1.1250625,0.9375
qUOF6OZDRD,hard,ST,1.48075,0.6875
qUOF6OZDRD,medium,ST,0.86975,0.875
qn7iE4w9eA,easy,ST,1.0376875,0.875
qn7iE4w9eA,hard,ST,1.2951875,0.875
qn7iE4w9eA,medium,ST,1.1338125,1
s04AljyS4e,easy,ST,1.0331125,1
s04AljyS4e,hard,ST,1.4588375,0.625
s04AljyS4e,medium,ST,1.028375,1
soqMs9Hfya,easy,ST,0.7340625,1
soqMs9Hfya,hard,ST,0.9119375,0.75
soqMs9Hfya,medium,ST,0.8196875,0.875
tgdzehXaH9,easy,ST,0.7011875,1
tgdzehXaH9,hard,ST,1.527375,0.75
tgdzehXaH9,medium,ST,0.9189125,0.8125
uofo7FKPdo,easy,ST,0.9983124999999999,1
uofo7FKPdo,hard,ST,1.6526875,0.5625
uofo7FKPdo,medium,ST,1.2430625,0.6875
urmN2MGqMI,easy,ST,1.1299875,1
urmN2MGqMI,hard,ST,1.60661875,0.6875
urmN2MGqMI,medium,ST,1.4174375000000001,0.8125
vI3wi8YxaP,easy,ST,1.50875,1
vI3wi8YxaP,hard,ST,1.66765,0.625
vI3wi8YxaP,medium,ST,3.45306875,0.9375
vsfwWZKL1V,easy,ST,1.205625,1
vsfwWZKL1V,hard,ST,1.22966875,0.75
vsfwWZKL1V,medium,ST,1.6413125,0.875
wgRo2jLpXH,easy,ST,0.69085,0.9375
wgRo2jLpXH,hard,ST,0.8246,0.5
wgRo2jLpXH,medium,ST,1.65005,1
xSgZ6tF2Kx,easy,ST,0.7916624999999999,0.9375
xSgZ6tF2Kx,hard,ST,0.9594,0.875
xSgZ6tF2Kx,medium,ST,1.0652875,0.9375
xYKzEb6U69,easy,ST,0.889275,1
xYKzEb6U69,hard,ST,1.14435625,0.5625
xYKzEb6U69,medium,ST,1.77858125,0.75
xtgn1TlDJE,easy,ST,0.68839375,0.9375
xtgn1TlDJE,hard,ST,1.05803125,0.5
xtgn1TlDJE,medium,ST,0.70318125,0.875
y4Sh5zF3gm,easy,ST,1.31898125,1
y4Sh5zF3gm,hard,ST,1.59750625,0.75
y4Sh5zF3gm,medium,ST,1.3362875,0.75
