task,level,id,rt,acc
MR,easy,0dkwUmCwzJ,1.923475,0.3125
MR,easy,0wY7q7AFDw,4.8607625,0.875
MR,easy,12zOSfawTO,3.65398125,0.625
MR,easy,2HJHCZEQE1,6.4808375,1
MR,easy,5oMH7YJKDi,2.924625,1
MR,easy,6xDo1DDaCf,5.276125,1
MR,easy,7SltMY2Jba,9.1474375,0.9375
MR,easy,7s1EYKyluI,1.7535375,0.5
MR,easy,8EBFmIUfAy,3.153325,0.6875
MR,easy,9ZffIZqFHz,5.57885,0.9375
MR,easy,DVCsNitb7p,5.5982,0.9375
MR,easy,E1wQ16OGRS,11.17600625,0.9375
MR,easy,E6k5x9v8pf,2.4725625,0.9375
MR,easy,Fd15tXKjh3,5.79748125,1
MR,easy,FgaXoRhEpQ,6.52689375,1
MR,easy,GxpGXkXK8v,1.89296875,0.625
MR,easy,HV4ueBgaoL,2.51735,0.375
MR,easy,JIY5GSm8aI,4.909775,0.6875
MR,easy,KMzkcoEoDX,2.298425,1
MR,easy,O0ngZJhb9l,6.0965375,0.5625
MR,easy,PbOEQpRS9f,3.11225,0.75
MR,easy,PkgTbVVI07,2.6955125,0.5625
MR,easy,Q479YcpCNr,5.0846937500000005,0.625
MR,easy,TqUBvW8Aaz,4.64916875,0.4375
MR,easy,V4epNAqh9h,1.628875,0.3125
MR,easy,W98TU3XJxb,4.63684375,0.9375
MR,easy,WAh9qhgg6o,4.7619375,0.875
MR,easy,WQyxRdU13t,10.806,1
MR,easy,YlvUbMLU90,3.71126875,0.875
MR,easy,aqEAPJJI8e,2.48615,0.5
MR,easy,bKUxjX0i0W,2.22659375,0.5625
MR,easy,cCWrG11sgp,4.78801875,0.75
MR,easy,cGANl4iQl1,3.74549375,0.875
MR,easy,cSI9W49vxo,2.08535,0.875
MR,easy,cdCa7qlKqK,4.95290625,0.8125
MR,easy,gI6hCgCchT,7.92791875,0.6875
MR,easy,h3qLkF1oCE,2.36656875,0.375
