task,level,id,rt,acc
MS,easy,0dkwUmCwzJ,8.20740625,0.9583333333333334
MS,easy,0wY7q7AFDw,8.75499375,1
MS,easy,12zOSfawTO,13.10573125,0.8125
MS,easy,2HJHCZEQE1,18.571975,1
MS,easy,5oMH7YJKDi,6.21175,1
MS,easy,6xDo1DDaCf,13.6896875,1
MS,easy,7SltMY2Jba,10.4719375,1
MS,easy,7s1EYKyluI,12.29828125,0.9583333333333334
MS,easy,8EBFmIUfAy,25.68615,0.9791666666666666
MS,easy,9ZffIZqFHz,10.703175,1
MS,easy,DVCsNitb7p,7.45826875,0.9791666666666666
MS,easy,E1wQ16OGRS,9.3368,1
MS,easy,E6k5x9v8pf,8.45736875,0.9583333333333334
MS,easy,Fd15tXKjh3,8.8997625,0.9583333333333334
MS,easy,FgaXoRhEpQ,11.2255,1
MS,easy,GxpGXkXK8v,9.05456875,0.8125
MS,easy,HV4ueBgaoL,10.484293749999999,0.9583333333333334
MS,easy,JIY5GSm8aI,13.6238,1
MS,easy,KMzkcoEoDX,8.0772,1
MS,easy,O0ngZJhb9l,7.340775,1
MS,easy,PbOEQpRS9f,8.6361875,0.9375
MS,easy,PkgTbVVI07,8.9980875,1
MS,easy,Q479YcpCNr,9.82969375,1
MS,easy,TqUBvW8Aaz,14.12765,0.9166666666666666
MS,easy,V4epNAqh9h,9.099825,1
MS,easy,W98TU3XJxb,10.12343125,0.9791666666666666
MS,easy,WAh9qhgg6o,10.922062500000001,0.8333333333333334
MS,easy,WQyxRdU13t,17.3235,0.9583333333333334
MS,easy,YlvUbMLU90,10.8784375,0.9583333333333334
MS,easy,aqEAPJJI8e,8.928431250000001,0.3333333333333333
MS,easy,bKUxjX0i0W,10.4177625,0.9791666666666666
MS,easy,cCWrG11sgp,15.51776875,1
MS,easy,cGANl4iQl1,8.9076625,0.9375
MS,easy,cSI9W49vxo,9.888506249999999,0.9791666666666666
MS,easy,cdCa7qlKqK,9.78644375,1
MS,easy,gI6hCgCchT,20.907262499999998,0.9166666666666666
MS,easy,h3qLkF1oCE,12.133925,0.9583333333333334
MS,easy,jDL2pqqoXv,13.536125,0.9375
MS,easy,jKBHzXx0Pg,13.13991875,1
MS,easy,kGWL9y5AS9,19.72458125,1
MS,easy,ky7vtw0gdz,7.0109375,0.9791666666666666
MS,easy,lO4tI9SjJX,8.449781250000001,1
MS,easy,ntoLpzjCrW,13.0469875,0.9375
MS,easy,pevbr5tS1I,10.15545625,0.9583333333333334
MS,easy,rh40WUcVcA,28.572499999999998,0.7916666666666666
MS,easy,sPXXgeOo7t,13.54321875,0.9583333333333334
MS,easy,ttxEdLIMGM,20.5993875,0.9791666666666666
MS,easy,u8oFh0ZHHs,8.7113875,0.9166666666666666
MS,easy,ujNKR4re1M,8.23490625,0.9375
MS,easy,vBoSbHJ7AD,8.488125,1
MS,easy,wBsXFrRWgF,9.571925,0.9375
MS,easy,wiRZfBYOru,50.19605625,0.9583333333333334
MS,easy,woSzLv5BIV,10.695975,0.8958333333333334
MS,easy,yTPpr0532t,19.04189375,0.9166666666666666
MS,easy,yWB1eDgHxE,13.942025,0.9583333333333334
MS,easy,zMSGYZOzxF,10.937225,1
MS,easy,zvDM8Go5Bd,14.746525,1
MS,hard,0dkwUmCwzJ,18.25255625,0.6875
MS,hard,0wY7q7AFDw,23.546225,0.5714285714285714
MS,hard,12zOSfawTO,34.14310625,0.7857142857142857
MS,hard,2HJHCZEQE1,45.9206375,1
MS,hard,5oMH7YJKDi,11.80575,0.9732142857142857
MS,hard,6xDo1DDaCf,28.3111875,0.9821428571428571
MS,hard,7SltMY2Jba,19.9400625,0.7232142857142857
MS,hard,7s1EYKyluI,26.951775,0.4375
MS,hard,8EBFmIUfAy,58.20776875,0.6964285714285714
MS,hard,9ZffIZqFHz,38.02195625,0.9375
MS,hard,DVCsNitb7p,21.02796875,0.8035714285714286
MS,hard,E1wQ16OGRS,16.77136875,0.5267857142857143
MS,hard,E6k5x9v8pf,13.881125,0.5535714285714286
MS,hard,Fd15tXKjh3,28.22580625,0.9821428571428571
MS,hard,FgaXoRhEpQ,23.4923,0.5714285714285714
MS,hard,GxpGXkXK8v,12.941225,0.39285714285714285
MS,hard,HV4ueBgaoL,31.44084375,0.8571428571428571
MS,hard,JIY5GSm8aI,41.19411875,1
MS,hard,KMzkcoEoDX,15.79375625,0.5714285714285714
MS,hard,O0ngZJhb9l,29.8129125,0.6785714285714286
MS,hard,PbOEQpRS9f,27.782625,0.8125
MS,hard,PkgTbVVI07,16.164481249999998,0.7053571428571428
MS,hard,Q479YcpCNr,19.57520625,0.8035714285714286
MS,hard,TqUBvW8Aaz,50.878181250000004,0.6875
MS,hard,V4epNAqh9h,11.08435625,0.5089285714285714
MS,hard,W98TU3XJxb,16.7836875,0.6517857142857143
MS,hard,WAh9qhgg6o,27.209625,0.5892857142857143
MS,hard,WQyxRdU13t,27.4195,0.5178571428571428
MS,hard,YlvUbMLU90,28.09750625,0.7053571428571428
MS,hard,aqEAPJJI8e,26.05345,0.9553571428571428
MS,hard,bKUxjX0i0W,15.00739375,0.5982142857142857
MS,hard,cCWrG11sgp,32.493375,0.9464285714285714
MS,hard,cGANl4iQl1,13.98859375,0.45535714285714285
MS,hard,cSI9W49vxo,29.908675,0.8303571428571428
MS,hard,cdCa7qlKqK,23.637787499999998,0.7410714285714286
MS,hard,gI6hCgCchT,29.21059375,0.5178571428571428
MS,hard,h3qLkF1oCE,30.44139375,1
MS,hard,jDL2pqqoXv,33.884375,0.9285714285714286
MS,hard,jKBHzXx0Pg,38.0975625,0.9285714285714286
MS,hard,kGWL9y5AS9,38.45236875,1
MS,hard,ky7vtw0gdz,7.28833125,0.4107142857142857
MS,hard,lO4tI9SjJX,24.41708125,0.7410714285714286
MS,hard,ntoLpzjCrW,21.422575,0.5535714285714286
MS,hard,pevbr5tS1I,15.46493125,0.5892857142857143
MS,hard,rh40WUcVcA,59.1584,0.8660714285714286
MS,hard,sPXXgeOo7t,30.64954375,0.6785714285714286
MS,hard,ttxEdLIMGM,45.2274,0.9910714285714286
MS,hard,u8oFh0ZHHs,19.70936875,0.9553571428571428
