scale,score,task,level,id
ME,10.93333333,MS,easy,jKBHzXx0Pg
PH,7.01333313,MS,easy,jKBHzXx0Pg
TI,9.053333537,MS,easy,jKBHzXx0Pg
PE,18.97333374,MS,easy,jKBHzXx0Pg
EF,10.97333374,MS,easy,jKBHzXx0Pg
FR,8.026667277,MS,easy,jKBHzXx0Pg
ME,10.94666646,ST,easy,jKBHzXx0Pg
PH,4.053333537,ST,easy,jKBHzXx0Pg
TI,11.98666687,ST,easy,jKBHzXx0Pg
PE,18.94666748,ST,easy,jKBHzXx0Pg
EF,11.98666687,ST,easy,jKBHzXx0Pg
FR,10.94666646,ST,easy,jKBHzXx0Pg
ME,13.97333374,MR,easy,jKBHzXx0Pg
PH,4.013333639,MR,easy,jKBHzXx0Pg
TI,9.01333313,MR,easy,jKBHzXx0Pg
PE,17,MR,easy,jKBHzXx0Pg
EF,12.96000061,MR,easy,jKBHzXx0Pg
FR,8.01333313,MR,easy,jKBHzXx0Pg
ME,14.95999959,MS,medium,jKBHzXx0Pg
PH,9.01333313,MS,medium,jKBHzXx0Pg
TI,15.98666789,MS,medium,jKBHzXx0Pg
PE,17.97333374,MS,medium,jKBHzXx0Pg
EF,15.98666789,MS,medium,jKBHzXx0Pg
FR,15.06666667,MS,medium,jKBHzXx0Pg
ME,14.98666789,ST,hard,jKBHzXx0Pg
PH,5.026666768,ST,hard,jKBHzXx0Pg
TI,16,ST,hard,jKBHzXx0Pg
PE,16.92000122,ST,hard,jKBHzXx0Pg
EF,15.01333415,ST,hard,jKBHzXx0Pg
FR,12.4,ST,hard,jKBHzXx0Pg
ME,17.98666789,MS,hard,jKBHzXx0Pg
PH,10.96000061,MS,hard,jKBHzXx0Pg
TI,16.95999959,MS,hard,jKBHzXx0Pg
PE,14.97333374,MS,hard,jKBHzXx0Pg
EF,17.92000122,MS,hard,jKBHzXx0Pg
FR,17.98666789,MS,hard,jKBHzXx0Pg
ME,11.97333374,ST,medium,jKBHzXx0Pg
PH,3.98666687,ST,medium,jKBHzXx0Pg
TI,13.386666870000001,ST,medium,jKBHzXx0Pg
PE,18.66666667,ST,medium,jKBHzXx0Pg
EF,13,ST,medium,jKBHzXx0Pg
FR,7.066666667,ST,medium,jKBHzXx0Pg
ME,11.89333394,MR,medium,jKBHzXx0Pg
PH,6.01333313,MR,medium,jKBHzXx0Pg
TI,9.053333537,MR,medium,jKBHzXx0Pg
PE,16.69333293,MR,medium,jKBHzXx0Pg
EF,11.98666687,MR,medium,jKBHzXx0Pg
FR,13,MR,medium,jKBHzXx0Pg
ME,14.97333374,MR,hard,jKBHzXx0Pg
PH,7.026667277,MR,hard,jKBHzXx0Pg
TI,12.04000041,MR,hard,jKBHzXx0Pg
PE,14.53333333,MR,hard,jKBHzXx0Pg
EF,15.44000041,MR,hard,jKBHzXx0Pg
FR,14,MR,hard,jKBHzXx0Pg
ME,6.755555329,MS,easy,TqUBvW8Aaz
PH,3.125926265,MS,easy,TqUBvW8Aaz
TI,2.948148374,MS,easy,TqUBvW8Aaz
PE,18.81481481,MS,easy,TqUBvW8Aaz
EF,4.992592706,MS,easy,TqUBvW8Aaz
FR,3.985185411,MS,easy,TqUBvW8Aaz
ME,13.08148193,ST,hard,TqUBvW8Aaz
PH,4.948148374,ST,hard,TqUBvW8Aaz
TI,19.85185185,ST,hard,TqUBvW8Aaz
PE,9.955556234,ST,hard,TqUBvW8Aaz
EF,13.95555623,ST,hard,TqUBvW8Aaz
FR,15.86666757,ST,hard,TqUBvW8Aaz
ME,18.77036992,MS,medium,TqUBvW8Aaz
PH,9.970370822,MS,medium,TqUBvW8Aaz
TI,16,MS,medium,TqUBvW8Aaz
PE,18.75555646,MS,medium,TqUBvW8Aaz
EF,19.00740786,MS,medium,TqUBvW8Aaz
FR,19.55555556,MS,medium,TqUBvW8Aaz
ME,17.97037082,MR,medium,TqUBvW8Aaz
PH,10.01481459,MR,medium,TqUBvW8Aaz
TI,3.140740854,MR,medium,TqUBvW8Aaz
PE,13.02222245,MR,medium,TqUBvW8Aaz
EF,15.91111247,MR,medium,TqUBvW8Aaz
FR,18.2518514,MR,medium,TqUBvW8Aaz
ME,18.05926062,MR,hard,TqUBvW8Aaz
PH,9.600000452,MR,hard,TqUBvW8Aaz
TI,5.155555443,MR,hard,TqUBvW8Aaz
PE,10.10370438,MR,hard,TqUBvW8Aaz
EF,16.074074070000002,MR,hard,TqUBvW8Aaz
FR,16.19259304,MR,hard,TqUBvW8Aaz
ME,5.037037037,ST,easy,TqUBvW8Aaz
PH,3.185185185,ST,easy,TqUBvW8Aaz
TI,7.096296522,ST,easy,TqUBvW8Aaz
PE,18.84444399,ST,easy,TqUBvW8Aaz
EF,4.207407633,ST,easy,TqUBvW8Aaz
FR,6.029630308,ST,easy,TqUBvW8Aaz
ME,4.177777891,MR,easy,TqUBvW8Aaz
PH,2.148148148,MR,easy,TqUBvW8Aaz
TI,2.785185072,MR,easy,TqUBvW8Aaz
PE,13.24444467,MR,easy,TqUBvW8Aaz
EF,9.970370822,MR,easy,TqUBvW8Aaz
FR,10.88888889,MR,easy,TqUBvW8Aaz
ME,16.01481572,ST,medium,TqUBvW8Aaz
PH,7.170370596,ST,medium,TqUBvW8Aaz
TI,19.71851942,ST,medium,TqUBvW8Aaz
PE,9.955556234,ST,medium,TqUBvW8Aaz
EF,16.81481481,ST,medium,TqUBvW8Aaz
FR,17.94074164,ST,medium,TqUBvW8Aaz
ME,19.98518654,MS,hard,TqUBvW8Aaz
PH,10.0444449,MS,hard,TqUBvW8Aaz
TI,19.85185185,MS,hard,TqUBvW8Aaz
PE,10.02963031,MS,hard,TqUBvW8Aaz
EF,19.97037082,MS,hard,TqUBvW8Aaz
FR,19.97037082,MS,hard,TqUBvW8Aaz
ME,14.91851852,MS,easy,WAh9qhgg6o
PH,4.992592593,MS,easy,WAh9qhgg6o
TI,9.007407407,MS,easy,WAh9qhgg6o
PE,17.95555556,MS,easy,WAh9qhgg6o
EF,12.04444444,MS,easy,WAh9qhgg6o
FR,4.992592593,MS,easy,WAh9qhgg6o
ME,15.92592593,MS,medium,WAh9qhgg6o
PH,8.014814815,MS,medium,WAh9qhgg6o
TI,17.95555556,MS,medium,WAh9qhgg6o
PE,11.02222222,MS,medium,WAh9qhgg6o
EF,16,MS,medium,WAh9qhgg6o
