task,level,id,rt,acc
ST,easy,0dkwUmCwzJ,0.9819687500000001,1
ST,easy,0wY7q7AFDw,0.82533125,1
ST,easy,12zOSfawTO,1.37839375,0.9375
ST,easy,2HJHCZEQE1,1.7678687499999999,1
ST,easy,5oMH7YJKDi,1.10775,1
ST,easy,6xDo1DDaCf,1.596625,1
ST,easy,7SltMY2Jba,0.8845625,1
ST,easy,7s1EYKyluI,1.00343125,1
ST,easy,8EBFmIUfAy,2.49128125,1
ST,easy,9ZffIZqFHz,0.99705,1
ST,easy,DVCsNitb7p,1.13360625,1
ST,easy,E1wQ16OGRS,1.841025,1
ST,easy,E6k5x9v8pf,1.15681875,1
ST,easy,Fd15tXKjh3,1.357,0.9375
ST,easy,FgaXoRhEpQ,1.1682,1
ST,easy,GxpGXkXK8v,0.80040625,1
ST,easy,HV4ueBgaoL,0.96935625,0.9375
ST,easy,JIY5GSm8aI,1.30230625,1
ST,easy,KMzkcoEoDX,0.81198125,1
ST,easy,O0ngZJhb9l,0.94689375,0.9375
ST,easy,PbOEQpRS9f,1.3815,0.8125
ST,easy,PkgTbVVI07,0.8685499999999999,1
ST,easy,Q479YcpCNr,0.817475,1
ST,easy,TqUBvW8Aaz,1.5266125,1
ST,easy,V4epNAqh9h,1.2134625,0.875
ST,easy,W98TU3XJxb,0.889175,1
ST,easy,WAh9qhgg6o,0.9505,1
ST,easy,WQyxRdU13t,1.8435,1
ST,easy,YlvUbMLU90,1.99013125,1
ST,easy,aqEAPJJI8e,1.7410875,1
ST,easy,bKUxjX0i0W,1.27444375,0.875
ST,easy,cCWrG11sgp,1.7958749999999999,1
ST,easy,cGANl4iQl1,1.6496375,0.9375
ST,easy,cSI9W49vxo,0.75274375,0.875
ST,easy,cdCa7qlKqK,0.98993125,0.9375
ST,easy,gI6hCgCchT,2.1890875,0.9375
ST,easy,h3qLkF1oCE,1.14820625,1
ST,easy,jDL2pqqoXv,1.8498125,1
ST,easy,jKBHzXx0Pg,2.1886375,0.9375
ST,easy,kGWL9y5AS9,2.1599375,0.9375
ST,easy,ky7vtw0gdz,0.81085,0.875
ST,easy,lO4tI9SjJX,1.14235,1
ST,easy,ntoLpzjCrW,0.5801937500000001,0.625
ST,easy,pevbr5tS1I,0.91845,1
ST,easy,rh40WUcVcA,0.9161875,0.75
ST,easy,sPXXgeOo7t,0.9711375,1
ST,easy,ttxEdLIMGM,2.15218125,1
ST,easy,u8oFh0ZHHs,0.7881125,1
ST,easy,ujNKR4re1M,1.49889375,1
ST,easy,vBoSbHJ7AD,0.8620625,1
ST,easy,wBsXFrRWgF,1.20235,1
ST,easy,wiRZfBYOru,1.97678125,0.9375
ST,easy,woSzLv5BIV,1.00275,0.9375
ST,easy,yTPpr0532t,1.8252187500000001,1
ST,easy,yWB1eDgHxE,0.86470625,0.9375
ST,easy,zMSGYZOzxF,1.03975,1
ST,easy,zvDM8Go5Bd,1.1849625,1
ST,hard,0dkwUmCwzJ,1.09365625,0.8125
ST,hard,0wY7q7AFDw,1.79569375,0.5625
ST,hard,12zOSfawTO,1.6451,0.625
ST,hard,2HJHCZEQE1,4.3349875,0.9375
ST,hard,5oMH7YJKDi,1.1509375,0.9375
ST,hard,6xDo1DDaCf,2.227125,1
ST,hard,7SltMY2Jba,1.342875,0.6875
ST,hard,7s1EYKyluI,0.972475,0.625
ST,hard,8EBFmIUfAy,5.2057625,0.9375
ST,hard,9ZffIZqFHz,1.07879375,0.8125
ST,hard,DVCsNitb7p,1.1296312499999999,0.6875
ST,hard,E1wQ16OGRS,1.1991,0.5625
ST,hard,E6k5x9v8pf,1.26744375,0.5625
ST,hard,Fd15tXKjh3,1.28475,0.8125
ST,hard,FgaXoRhEpQ,1.92975625,0.6875
ST,hard,GxpGXkXK8v,1.19644375,0.625
ST,hard,HV4ueBgaoL,1.01538125,0.6875
ST,hard,JIY5GSm8aI,1.42051875,0.625
ST,hard,KMzkcoEoDX,0.90276875,0.9375
ST,hard,O0ngZJhb9l,4.13186875,0.8125
ST,hard,PbOEQpRS9f,1.467875,0.5
ST,hard,PkgTbVVI07,0.8571,0.6875
ST,hard,Q479YcpCNr,1.0386625,0.8125
ST,hard,TqUBvW8Aaz,2.0363625,0.75
ST,hard,V4epNAqh9h,1.2244625,0.5625
ST,hard,W98TU3XJxb,0.97483125,0.9375
ST,hard,WAh9qhgg6o,0.9304375,0.625
ST,hard,WQyxRdU13t,1.5194375,0.6875
ST,hard,YlvUbMLU90,1.81415625,0.5625
ST,hard,aqEAPJJI8e,2.3778875,0.625
ST,hard,bKUxjX0i0W,0.99329375,0.5
ST,hard,cCWrG11sgp,2.6294875,0.875
ST,hard,cGANl4iQl1,1.117775,0.5
ST,hard,cSI9W49vxo,1.04143125,0.5
ST,hard,cdCa7qlKqK,2.38920625,0.75
ST,hard,gI6hCgCchT,1.7553375,0.8125
ST,hard,h3qLkF1oCE,1.13920625,0.6875
ST,hard,jDL2pqqoXv,2.6395625,0.9375
ST,hard,jKBHzXx0Pg,3.43804375,1
ST,hard,kGWL9y5AS9,5.19620625,0.9375
ST,hard,ky7vtw0gdz,1.0672875,0.75
ST,hard,lO4tI9SjJX,1.7982,0.6875
ST,hard,ntoLpzjCrW,1.15998125,0.625
ST,hard,pevbr5tS1I,1.41489375,0.875
ST,hard,rh40WUcVcA,1.70233125,0.375
ST,hard,sPXXgeOo7t,1.3958125,0.75
ST,hard,ttxEdLIMGM,4.6640625,0.875
ST,hard,u8oFh0ZHHs,2.48725625,0.875
ST,hard,ujNKR4re1M,1.661325,0.6875
ST,hard,vBoSbHJ7AD,1.7253125,0.75
ST,hard,wBsXFrRWgF,0.881825,0.5625
ST,hard,wiRZfBYOru,3.9635875,0.875
ST,hard,woSzLv5BIV,1.58433125,0.625
ST,hard,yTPpr0532t,5.40109375,0.8125
ST,hard,yWB1eDgHxE,1.04548125,0.6875
ST,hard,zMSGYZOzxF,1.0141125,0.6875
ST,hard,zvDM8Go5Bd,1.3903,0.8125
ST,medium,0dkwUmCwzJ,1.38115625,0.875
ST,medium,0wY7q7AFDw,1.0281,0.8125
ST,medium,12zOSfawTO,1.35315625,0.625
ST,medium,2HJHCZEQE1,1.90409375,0.9375
ST,medium,5oMH7YJKDi,1.2705625,0.875
ST,medium,6xDo1DDaCf,1.9464375,1
ST,medium,7SltMY2Jba,1.0293125,0.875
ST,medium,7s1EYKyluI,1.1427687499999999,0.875
ST,medium,8EBFmIUfAy,3.45703125,1
ST,medium,9ZffIZqFHz,1.2394625,0.875
ST,medium,DVCsNitb7p,0.8951,0.6875
ST,medium,E1wQ16OGRS,1.6621,0.75
ST,medium,E6k5x9v8pf,1.34719375,0.9375
ST,medium,Fd15tXKjh3,1.53483125,0.6875
ST,medium,FgaXoRhEpQ,1.40445,1
ST,medium,GxpGXkXK8v,0.94354375,0.6875
ST,medium,HV4ueBgaoL,1.24428125,0.75
ST,medium,JIY5GSm8aI,1.32943125,0.9375
ST,medium,KMzkcoEoDX,1.52026875,0.8125
ST,medium,O0ngZJhb9l,1.27036875,0.875
ST,medium,PbOEQpRS9f,2.1703125,0.625
ST,medium,PkgTbVVI07,0.77939375,0.9375
ST,medium,Q479YcpCNr,1.2806375,0.9375
ST,medium,TqUBvW8Aaz,2.0698374999999998,0.75
ST,medium,V4epNAqh9h,1.1761375,0.9375
ST,medium,W98TU3XJxb,0.82588125,0.875
ST,medium,WAh9qhgg6o,1.1421875,0.75
ST,medium,WQyxRdU13t,1.1965625,0.9375
ST,medium,YlvUbMLU90,1.44181875,0.75
ST,medium,aqEAPJJI8e,1.45285625,0.875
ST,medium,bKUxjX0i0W,1.2192125,0.875
ST,medium,cCWrG11sgp,1.980275,1
ST,medium,cGANl4iQl1,1.73460625,0.6875
