id,trials,task,level,n,rt,acc
001SSMS,1,MS,easy,3,NA,1
001SSMS,1,MS,medium,4,NA,0.8
001SSMS,1,MS,hard,4,NA,0.5714285714285714
001SSMS,2,MS,easy,3,NA,1
001SSMS,2,MS,medium,5,NA,1
001SSMS,2,MS,hard,5,NA,0.7142857142857143
001SSMS,3,MS,easy,3,NA,1
001SSMS,3,MS,medium,5,NA,1
001SSMS,3,MS,hard,7,NA,1
001SSMS,4,MS,easy,3,NA,1
001SSMS,4,MS,medium,5,NA,1
001SSMS,4,MS,hard,7,NA,1
001SSMS,5,MS,easy,2,NA,0.6666666666666666
001SSMS,5,MS,medium,5,NA,1
001SSMS,5,MS,hard,5,NA,0.7142857142857143
001SSMS,6,MS,easy,3,NA,1
001SSMS,6,MS,medium,5,NA,1
001SSMS,6,MS,hard,6,NA,0.8571428571428571
001SSMS,7,MS,easy,3,NA,1
001SSMS,7,MS,medium,5,NA,1
001SSMS,7,MS,hard,6,NA,0.8571428571428571
001SSMS,8,MS,easy,3,NA,1
001SSMS,8,MS,medium,5,NA,1
001SSMS,8,MS,hard,7,NA,1
001SSMS,9,MS,easy,3,NA,1
001SSMS,9,MS,medium,5,NA,1
001SSMS,9,MS,hard,5,NA,0.7142857142857143
001SSMS,10,MS,easy,3,NA,1
001SSMS,10,MS,medium,5,NA,1
001SSMS,10,MS,hard,6,NA,0.8571428571428571
001SSMS,11,MS,easy,2,NA,0.6666666666666666
001SSMS,11,MS,medium,5,NA,1
001SSMS,11,MS,hard,4,NA,0.5714285714285714
001SSMS,12,MS,easy,2,NA,0.6666666666666666
001SSMS,12,MS,medium,5,NA,1
001SSMS,12,MS,hard,7,NA,1
001SSMS,13,MS,easy,3,NA,1
001SSMS,13,MS,medium,5,NA,1
001SSMS,13,MS,hard,4,NA,0.5714285714285714
001SSMS,14,MS,easy,3,NA,1
001SSMS,14,MS,medium,5,NA,1
001SSMS,14,MS,hard,7,NA,1
001SSMS,15,MS,easy,0,NA,0
001SSMS,15,MS,medium,5,NA,1
001SSMS,15,MS,hard,7,NA,1
001SSMS,16,MS,easy,3,NA,1
001SSMS,16,MS,medium,5,NA,1
001SSMS,16,MS,hard,7,NA,1
003SSKS,1,MS,easy,3,NA,1
003SSKS,1,MS,medium,4,NA,0.8
003SSKS,1,MS,hard,5,NA,0.7142857142857143
003SSKS,2,MS,easy,3,NA,1
003SSKS,2,MS,medium,5,NA,1
003SSKS,2,MS,hard,5,NA,0.7142857142857143
003SSKS,3,MS,easy,3,NA,1
003SSKS,3,MS,medium,4,NA,0.8
003SSKS,3,MS,hard,4,NA,0.5714285714285714
003SSKS,4,MS,easy,3,NA,1
003SSKS,4,MS,medium,3,NA,0.6
003SSKS,4,MS,hard,2,NA,0.2857142857142857
003SSKS,5,MS,easy,3,NA,1
003SSKS,5,MS,medium,4,NA,0.8
003SSKS,5,MS,hard,5,NA,0.7142857142857143
003SSKS,6,MS,easy,3,NA,1
003SSKS,6,MS,medium,4,NA,0.8
003SSKS,6,MS,hard,3,NA,0.42857142857142855
003SSKS,7,MS,easy,3,NA,1
003SSKS,7,MS,medium,5,NA,1
003SSKS,7,MS,hard,3,NA,0.42857142857142855
003SSKS,8,MS,easy,3,NA,1
003SSKS,8,MS,medium,5,NA,1
003SSKS,8,MS,hard,3,NA,0.42857142857142855
003SSKS,9,MS,easy,3,NA,1
003SSKS,9,MS,medium,4,NA,0.8
003SSKS,9,MS,hard,4,NA,0.5714285714285714
003SSKS,10,MS,easy,3,NA,1
003SSKS,10,MS,medium,5,NA,1
003SSKS,10,MS,hard,2,NA,0.2857142857142857
003SSKS,11,MS,easy,3,NA,1
003SSKS,11,MS,medium,4,NA,0.8
003SSKS,11,MS,hard,4,NA,0.5714285714285714
003SSKS,12,MS,easy,3,NA,1
003SSKS,12,MS,medium,3,NA,0.6
003SSKS,12,MS,hard,4,NA,0.5714285714285714
003SSKS,13,MS,easy,3,NA,1
003SSKS,13,MS,medium,3,NA,0.6
003SSKS,13,MS,hard,4,NA,0.5714285714285714
003SSKS,14,MS,easy,3,NA,1
003SSKS,14,MS,medium,4,NA,0.8
003SSKS,14,MS,hard,3,NA,0.42857142857142855
003SSKS,15,MS,easy,3,NA,1
003SSKS,15,MS,medium,4,NA,0.8
003SSKS,15,MS,hard,3,NA,0.42857142857142855
003SSKS,16,MS,easy,3,NA,1
003SSKS,16,MS,medium,2,NA,0.4
003SSKS,16,MS,hard,4,NA,0.5714285714285714
004SSDR,1,MS,easy,3,NA,1
004SSDR,1,MS,medium,5,NA,1
004SSDR,1,MS,hard,5,NA,0.7142857142857143
004SSDR,2,MS,easy,3,NA,1
004SSDR,2,MS,medium,5,NA,1
004SSDR,2,MS,hard,7,NA,1
004SSDR,3,MS,easy,3,NA,1
004SSDR,3,MS,medium,5,NA,1
004SSDR,3,MS,hard,6,NA,0.8571428571428571
004SSDR,4,MS,easy,3,NA,1
004SSDR,4,MS,medium,5,NA,1
004SSDR,4,MS,hard,7,NA,1
004SSDR,5,MS,easy,3,NA,1
004SSDR,5,MS,medium,5,NA,1
004SSDR,5,MS,hard,6,NA,0.8571428571428571
004SSDR,6,MS,easy,3,NA,1
004SSDR,6,MS,medium,5,NA,1
004SSDR,6,MS,hard,6,NA,0.8571428571428571
004SSDR,7,MS,easy,2,NA,0.6666666666666666
004SSDR,7,MS,medium,4,NA,0.8
004SSDR,7,MS,hard,6,NA,0.8571428571428571
004SSDR,8,MS,easy,3,NA,1
004SSDR,8,MS,medium,5,NA,1
004SSDR,8,MS,hard,6,NA,0.8571428571428571
004SSDR,9,MS,easy,3,NA,1
004SSDR,9,MS,medium,5,NA,1
004SSDR,9,MS,hard,5,NA,0.7142857142857143
004SSDR,10,MS,easy,3,NA,1
004SSDR,10,MS,medium,5,NA,1
004SSDR,10,MS,hard,5,NA,0.7142857142857143
004SSDR,11,MS,easy,3,NA,1
004SSDR,11,MS,medium,5,NA,1
004SSDR,11,MS,hard,4,NA,0.5714285714285714
004SSDR,12,MS,easy,3,NA,1
004SSDR,12,MS,medium,5,NA,1
004SSDR,12,MS,hard,6,NA,0.8571428571428571
004SSDR,13,MS,easy,3,NA,1
004SSDR,13,MS,medium,4,NA,0.8
004SSDR,13,MS,hard,6,NA,0.8571428571428571
004SSDR,14,MS,easy,3,NA,1
004SSDR,14,MS,medium,5,NA,1
004SSDR,14,MS,hard,6,NA,0.8571428571428571
004SSDR,15,MS,easy,3,NA,1
004SSDR,15,MS,medium,5,NA,1
004SSDR,15,MS,hard,4,NA,0.5714285714285714
004SSDR,16,MS,easy,3,NA,1
004SSDR,16,MS,medium,5,NA,1
004SSDR,16,MS,hard,4,NA,0.5714285714285714
005SSDR,1,MS,easy,3,NA,1
005SSDR,1,MS,medium,5,NA,1
005SSDR,1,MS,hard,6,NA,0.8571428571428571
005SSDR,2,MS,easy,3,NA,1
005SSDR,2,MS,medium,4,NA,0.8
005SSDR,2,MS,hard,7,NA,1
005SSDR,3,MS,easy,3,NA,1
005SSDR,3,MS,medium,5,NA,1
005SSDR,3,MS,hard,6,NA,0.8571428571428571
005SSDR,4,MS,easy,3,NA,1
005SSDR,4,MS,medium,5,NA,1
005SSDR,4,MS,hard,6,NA,0.8571428571428571
005SSDR,5,MS,easy,3,NA,1
005SSDR,5,MS,medium,5,NA,1
005SSDR,5,MS,hard,5,NA,0.7142857142857143
005SSDR,6,MS,easy,3,NA,1
005SSDR,6,MS,medium,5,NA,1
005SSDR,6,MS,hard,5,NA,0.7142857142857143
005SSDR,7,MS,easy,3,NA,1
005SSDR,7,MS,medium,5,NA,1
005SSDR,7,MS,hard,2,NA,0.2857142857142857
005SSDR,8,MS,easy,3,NA,1
005SSDR,8,MS,medium,5,NA,1
005SSDR,8,MS,hard,7,NA,1
005SSDR,9,MS,easy,3,NA,1
005SSDR,9,MS,medium,5,NA,1
005SSDR,9,MS,hard,5,NA,0.7142857142857143
005SSDR,10,MS,easy,3,NA,1
005SSDR,10,MS,medium,5,NA,1
005SSDR,10,MS,hard,4,NA,0.5714285714285714
005SSDR,11,MS,easy,3,NA,1
005SSDR,11,MS,medium,5,NA,1
005SSDR,11,MS,hard,5,NA,0.7142857142857143
005SSDR,12,MS,easy,3,NA,1
005SSDR,12,MS,medium,5,NA,1
005SSDR,12,MS,hard,6,NA,0.8571428571428571
005SSDR,13,MS,easy,3,NA,1
005SSDR,13,MS,medium,5,NA,1
005SSDR,13,MS,hard,6,NA,0.8571428571428571
005SSDR,14,MS,easy,3,NA,1
005SSDR,14,MS,medium,5,NA,1
005SSDR,14,MS,hard,5,NA,0.7142857142857143
005SSDR,15,MS,easy,3,NA,1
005SSDR,15,MS,medium,5,NA,1
005SSDR,15,MS,hard,5,NA,0.7142857142857143
005SSDR,16,MS,easy,3,NA,1
005SSDR,16,MS,medium,5,NA,1
005SSDR,16,MS,hard,5,NA,0.7142857142857143
006SSEE,1,MS,easy,3,NA,1
006SSEE,1,MS,medium,5,NA,1
006SSEE,1,MS,hard,2,NA,0.2857142857142857
006SSEE,2,MS,easy,3,NA,1
006SSEE,2,MS,medium,4,NA,0.8
006SSEE,2,MS,hard,3,NA,0.42857142857142855
006SSEE,3,MS,easy,3,NA,1
006SSEE,3,MS,medium,3,NA,0.6
006SSEE,3,MS,hard,3,NA,0.42857142857142855
006SSEE,4,MS,easy,3,NA,1
006SSEE,4,MS,medium,4,NA,0.8
006SSEE,4,MS,hard,4,NA,0.5714285714285714
006SSEE,5,MS,easy,3,NA,1
006SSEE,5,MS,medium,3,NA,0.6
006SSEE,5,MS,hard,4,NA,0.5714285714285714
006SSEE,6,MS,easy,3,NA,1
006SSEE,6,MS,medium,5,NA,1
006SSEE,6,MS,hard,3,NA,0.42857142857142855
006SSEE,7,MS,easy,3,NA,1
006SSEE,7,MS,medium,3,NA,0.6
