id,scale,score,task,level
001SSMS,ME,19.38666667,MS,hard
001SSMS,PH,0.275555556,MS,hard
001SSMS,TI,15.19111111,MS,hard
001SSMS,PE,13.07555556,MS,hard
001SSMS,EF,15.65333333,MS,hard
001SSMS,FR,19.95555556,MS,hard
001SSMS,ME,17.44888889,MS,easy
001SSMS,PH,NA,MS,easy
001SSMS,TI,11.08444444,MS,easy
001SSMS,PE,17.75111111,MS,easy
001SSMS,EF,12.36444444,MS,easy
001SSMS,FR,12.89777778,MS,easy
001SSMS,ME,19.58222222,MR,medium
001SSMS,PH,0.666666667,MR,medium
001SSMS,TI,0.346666667,MR,medium
001SSMS,PE,10.87111111,MR,medium
001SSMS,EF,17.04,MR,medium
001SSMS,FR,13.11111111,MR,medium
001SSMS,ME,13.30666667,MR,hard
001SSMS,PH,0.328888889,MR,hard
001SSMS,TI,0.88,MR,hard
001SSMS,PE,10.46222222,MR,hard
001SSMS,EF,12.82666667,MR,hard
001SSMS,FR,14.40888889,MR,hard
001SSMS,ME,12.95111111,MR,easy
001SSMS,PH,0.133333333,MR,easy
001SSMS,TI,0.417777778,MR,easy
001SSMS,PE,10.85333333,MR,easy
001SSMS,EF,1.022222222,MR,easy
001SSMS,FR,11.52888889,MR,easy
001SSMS,ME,19.63555556,ST,hard
001SSMS,PH,12.88,ST,hard
001SSMS,TI,19.68888889,ST,hard
001SSMS,PE,2.462222222,ST,hard
001SSMS,EF,17.89333333,ST,hard
001SSMS,FR,19.95555556,ST,hard
001SSMS,ME,13.41333333,ST,medium
001SSMS,PH,NA,ST,medium
001SSMS,TI,15.29777778,ST,medium
001SSMS,PE,19.49333333,ST,medium
001SSMS,EF,11.99111111,ST,medium
001SSMS,FR,18.12444444,ST,medium
001SSMS,ME,17.53777778,MS,medium
001SSMS,PH,3.76,MS,medium
001SSMS,TI,1.573333333,MS,medium
001SSMS,PE,18.16,MS,medium
001SSMS,EF,14.26666667,MS,medium
001SSMS,FR,14.8,MS,medium
001SSMS,ME,14.01777778,ST,easy
001SSMS,PH,10.62222222,ST,easy
001SSMS,TI,14.35555556,ST,easy
001SSMS,PE,19.51111111,ST,easy
001SSMS,EF,12.98666667,ST,easy
001SSMS,FR,14.49777778,ST,easy
003SSKS,ME,12.06222222,MS,medium
003SSKS,PH,1.982222222,MS,medium
003SSKS,TI,16.11555556,MS,medium
003SSKS,PE,9.022222222,MS,medium
003SSKS,EF,11.95555556,MS,medium
003SSKS,FR,12.16888889,MS,medium
003SSKS,ME,12.61333333,MR,medium
003SSKS,PH,5.466666667,MR,medium
003SSKS,TI,0.08,MR,medium
003SSKS,PE,3.92,MR,medium
003SSKS,EF,7.6,MR,medium
003SSKS,FR,12.00888889,MR,medium
003SSKS,ME,8.613333333,ST,hard
003SSKS,PH,2.213333333,ST,hard
003SSKS,TI,18.46222222,ST,hard
003SSKS,PE,3.048888889,ST,hard
003SSKS,EF,8.737777778,ST,hard
003SSKS,FR,17.05777778,ST,hard
003SSKS,ME,12.04444444,ST,medium
003SSKS,PH,0.542222222,ST,medium
003SSKS,TI,11.973333330000001,ST,medium
003SSKS,PE,13.02222222,ST,medium
003SSKS,EF,12.73777778,ST,medium
003SSKS,FR,6.728888889,ST,medium
003SSKS,ME,13.44888889,MS,hard
003SSKS,PH,1.733333333,MS,hard
003SSKS,TI,17.23555556,MS,hard
003SSKS,PE,4.4,MS,hard
003SSKS,EF,13.64444444,MS,hard
003SSKS,FR,8.4,MS,hard
003SSKS,ME,11.95555556,MR,hard
003SSKS,PH,3.902222222,MR,hard
003SSKS,TI,0.204444444,MR,hard
003SSKS,PE,5.946666667,MR,hard
