id,level,task,rt,acc
1W5HQaoCSR,easy,MR,1.67056875,0.3125
1W5HQaoCSR,hard,MR,2.53706875,0.3125
1W5HQaoCSR,medium,MR,1.9612562500000001,0.5625
2Rn7YC7ktN,easy,MR,8.44544375,1
2Rn7YC7ktN,hard,MR,17.05133125,0.5625
2Rn7YC7ktN,medium,MR,20.72261875,0.875
2dX8HaA5QM,easy,MR,5.31985625,0.75
2dX8HaA5QM,hard,MR,11.86006875,0.9375
2dX8HaA5QM,medium,MR,9.0730875,0.8125
2vlCeeOoXs,easy,MR,5.18289375,0.875
2vlCeeOoXs,hard,MR,6.30901875,0.375
2vlCeeOoXs,medium,MR,1.095175,0.375
5oQkfRc0Dh,easy,MR,9.581875,1
5oQkfRc0Dh,hard,MR,19.06794375,0.9375
5oQkfRc0Dh,medium,MR,11.829925,0.9375
8BtJMmB1PT,easy,MR,7.72686875,0.5
8BtJMmB1PT,hard,MR,4.562025,0.5
8BtJMmB1PT,medium,MR,10.08883125,0.625
8PPM98ESGr,easy,MR,7.5791875,0.875
8PPM98ESGr,hard,MR,8.2192625,0.875
8PPM98ESGr,medium,MR,9.11450625,0.6875
8eLeJBm5SV,easy,MR,4.73290625,0.75
8eLeJBm5SV,hard,MR,7.5942375,0.625
8eLeJBm5SV,medium,MR,4.4467375,0.6875
8xVAczfPKp,easy,MR,6.49724375,0.875
8xVAczfPKp,hard,MR,10.32464375,0.75
8xVAczfPKp,medium,MR,7.8232875,0.6875
DoJgv77gQp,easy,MR,4.33804375,0.8125
DoJgv77gQp,hard,MR,8.54538125,0.9375
DoJgv77gQp,medium,MR,7.321125,1
EgEJAn9pKN,easy,MR,3.572575,0.8125
EgEJAn9pKN,hard,MR,3.88954375,0.6875
EgEJAn9pKN,medium,MR,3.31093125,0.625
ExbVOsMHAA,easy,MR,3.736425,0.6875
ExbVOsMHAA,hard,MR,5.18385625,0.625
ExbVOsMHAA,medium,MR,3.3744625,0.5
FDaGWmAPTr,easy,MR,4.2579875000000005,0.8125
FDaGWmAPTr,hard,MR,10.2,0.75
FDaGWmAPTr,medium,MR,8.33305625,0.8125
FfPm6QztsA,easy,MR,11.88186875,0.8125
FfPm6QztsA,hard,MR,13.60034375,0.375
FfPm6QztsA,medium,MR,14.67478125,0.875
GJzcwSPe9Z,easy,MR,6.021125,0.9375
GJzcwSPe9Z,hard,MR,8.9926875,0.6875
GJzcwSPe9Z,medium,MR,7.891875,0.75
HF94YUUt2C,easy,MR,3.4419875,1
HF94YUUt2C,hard,MR,19.712162499999998,0.6875
HF94YUUt2C,medium,MR,12.30860625,0.5625
HajArhl9Mf,easy,MR,6.45041875,0.875
HajArhl9Mf,hard,MR,11.4939,0.5625
HajArhl9Mf,medium,MR,8.684525,0.625
HmPsw2WtYS,easy,MR,4.15665,0.875
HmPsw2WtYS,hard,MR,7.57935,0.8125
HmPsw2WtYS,medium,MR,5.447375,0.8125
Hxjg3OTYhu,easy,MR,6.9301625,0.875
Hxjg3OTYhu,hard,MR,14.18196875,0.75
Hxjg3OTYhu,medium,MR,9.75136875,0.9375
I64skoy66n,easy,MR,5.8784374999999995,1
I64skoy66n,hard,MR,10.2193125,0.4375
I64skoy66n,medium,MR,11.7095,0.8125
IMJ2Wgu1zI,easy,MR,6.22475,0.9375
IMJ2Wgu1zI,hard,MR,11.7638125,0.75
IMJ2Wgu1zI,medium,MR,8.015125,0.875
JP0BqEE4Fj,easy,MR,10.532325,0.75
JP0BqEE4Fj,hard,MR,11.399868749874999,0.875
JP0BqEE4Fj,medium,MR,15.45578125,0.5625
JpDUHBwJT1,easy,MR,3.2135,0.5
JpDUHBwJT1,hard,MR,6.0116249999999996,0.6875
JpDUHBwJT1,medium,MR,4.1955,0.6875
KCZtWafWV1,easy,MR,4.8333625,0.9375
KCZtWafWV1,hard,MR,7.61424375,0.9375
KCZtWafWV1,medium,MR,11.29365,0.75
LMH4MBXVwL,easy,MR,6.9037,1
LMH4MBXVwL,hard,MR,29.0245125,0.875
LMH4MBXVwL,medium,MR,9.2173875,0.9375
OSi3LnpELr,easy,MR,10.50331875,1
OSi3LnpELr,hard,MR,1.6009437499999999,0.75
OSi3LnpELr,medium,MR,4.55859375,0.625
