correctAns,base_pic,rotated_pic,key,is_correct,rt,task,level,trial,id
left,images/base/2_b.png,images/combined/2_a_x_0_y_0_z_315.png,right,0,2.324,MR,easy,1,uofo7FKPdo
right,images/base/15_a.png,images/combined/15_a_x_0_y_0_z_315.png,left,0,1.722,MR,easy,2,uofo7FKPdo
left,images/base/9_a.png,images/combined/9_b_x_0_y_0_z_315.png,right,0,0.924,MR,easy,3,uofo7FKPdo
right,images/base/4_b.png,images/combined/4_b_x_0_y_0_z_45.png,right,1,0.849,MR,easy,4,uofo7FKPdo
right,images/base/1_b.png,images/combined/1_b_x_0_y_0_z_45.png,right,1,1.515,MR,easy,5,uofo7FKPdo
left,images/base/12_b.png,images/combined/12_a_x_0_y_0_z_315.png,right,0,1.468,MR,easy,6,uofo7FKPdo
left,images/base/14_b.png,images/combined/14_a_x_0_y_0_z_45.png,right,0,1.505,MR,easy,7,uofo7FKPdo
right,images/base/5_a.png,images/combined/5_a_x_0_y_0_z_45.png,right,1,2.64,MR,easy,8,uofo7FKPdo
left,images/base/11_b.png,images/combined/11_a_x_0_y_0_z_315.png,right,0,20.805,MR,easy,9,uofo7FKPdo
left,images/base/3_a.png,images/combined/3_b_x_0_y_0_z_45.png,right,0,0.85,MR,easy,10,uofo7FKPdo
left,images/base/6_a.png,images/combined/6_b_x_0_y_0_z_315.png,left,1,1.19,MR,easy,11,uofo7FKPdo
left,images/base/16_a.png,images/combined/16_b_x_0_y_0_z_315.png,right,0,2.333,MR,easy,12,uofo7FKPdo
right,images/base/8_b.png,images/combined/8_b_x_0_y_0_z_45.png,right,1,0.757,MR,easy,13,uofo7FKPdo
left,images/base/10_a.png,images/combined/10_b_x_0_y_0_z_315.png,right,0,3.304,MR,easy,14,uofo7FKPdo
left,images/base/13_b.png,images/combined/13_a_x_0_y_0_z_315.png,right,0,1.107,MR,easy,15,uofo7FKPdo
left,images/base/7_b.png,images/combined/7_a_x_0_y_0_z_45.png,right,0,2.305,MR,easy,16,uofo7FKPdo
left,images/base/4_a.png,images/combined/4_b_x_315_y_0_z_90.png,right,0,2.195,MR,medium,1,uofo7FKPdo
left,images/base/11_b.png,images/combined/11_a_x_315_y_0_z_90.png,left,1,1.604,MR,medium,2,uofo7FKPdo
left,images/base/2_b.png,images/combined/2_a_x_45_y_0_z_90.png,right,0,4.018,MR,medium,3,uofo7FKPdo
right,images/base/13_a.png,images/combined/13_a_x_315_y_0_z_90.png,right,1,2.382,MR,medium,4,uofo7FKPdo
left,images/base/14_a.png,images/combined/14_b_x_45_y_0_z_90.png,left,1,1.399,MR,medium,5,uofo7FKPdo
left,images/base/12_a.png,images/combined/12_b_x_45_y_0_z_270.png,left,1,4.034,MR,medium,6,uofo7FKPdo
right,images/base/5_b.png,images/combined/5_b_x_315_y_0_z_90.png,right,1,1.808,MR,medium,7,uofo7FKPdo
right,images/base/8_b.png,images/combined/8_b_x_315_y_0_z_270.png,right,1,2.158,MR,medium,8,uofo7FKPdo
right,images/base/10_a.png,images/combined/10_a_x_315_y_0_z_90.png,right,1,2.189,MR,medium,9,uofo7FKPdo
right,images/base/15_b.png,images/combined/15_b_x_315_y_0_z_90.png,right,1,3.591,MR,medium,10,uofo7FKPdo
right,images/base/7_a.png,images/combined/7_a_x_45_y_0_z_90.png,right,1,13.617,MR,medium,11,uofo7FKPdo
right,images/base/16_b.png,images/combined/16_b_x_45_y_0_z_270.png,left,0,29.038,MR,medium,12,uofo7FKPdo
left,images/base/3_b.png,images/combined/3_a_x_45_y_0_z_270.png,right,0,1.135,MR,medium,13,uofo7FKPdo
