id,level,task,rt,acc
0a4DqEEKSb,easy,MR,1.2815785714285715,0.35714285714285715
0a4DqEEKSb,hard,MR,2.148653846153846,0.38461538461538464
0a4DqEEKSb,medium,MR,0.14730909090909092,0.6363636363636364
0dkwUmCwzJ,easy,MR,1.6965933333333334,0.3333333333333333
0dkwUmCwzJ,hard,MR,1.7292266666666667,0.4666666666666667
0dkwUmCwzJ,medium,MR,4.50888125,0.375
0wY7q7AFDw,easy,MR,4.37228,0.8666666666666667
0wY7q7AFDw,hard,MR,8.7100625,0.8125
0wY7q7AFDw,medium,MR,6.574114285714286,0.8571428571428571
12zOSfawTO,easy,MR,3.0205153846153845,0.6923076923076923
12zOSfawTO,hard,MR,2.870286666666667,0.6666666666666666
12zOSfawTO,medium,MR,7.522873333333333,0.5333333333333333
2HJHCZEQE1,easy,MR,6.4808375,1
2HJHCZEQE1,hard,MR,9.907193333333334,0.6
2HJHCZEQE1,medium,MR,6.926042857142857,1
2W50OifXwA,easy,MR,5.5485,1
2W50OifXwA,hard,MR,5.8994285714285715,0.9285714285714286
2W50OifXwA,medium,MR,8.316,0.9285714285714286
4PjgFYmt2Z,easy,MR,8.096346666666667,0.6
4PjgFYmt2Z,hard,MR,16.41272,0.6666666666666666
4PjgFYmt2Z,medium,MR,3.9989142857142856,0.5
5oMH7YJKDi,easy,MR,2.6832666666666665,1
5oMH7YJKDi,hard,MR,9.437733333333334,0.9333333333333333
5oMH7YJKDi,medium,MR,5.924875,0.9375
6xDo1DDaCf,easy,MR,4.022642857142857,1
6xDo1DDaCf,hard,MR,6.7545625,0.8125
6xDo1DDaCf,medium,MR,4.5535,1
7SltMY2Jba,easy,MR,6.6205384615384615,1
7SltMY2Jba,hard,MR,20.6350625,0.625
7SltMY2Jba,medium,MR,9.878461538461538,0.7692307692307693
7s1EYKyluI,easy,MR,1.5693428571428572,0.5
7s1EYKyluI,hard,MR,1.85896,0.6666666666666666
7s1EYKyluI,medium,MR,1.3820533333333334,0.5333333333333333
8EBFmIUfAy,easy,MR,1.2833133333333333,0.5333333333333333
8EBFmIUfAy,hard,MR,2.9622266666666666,0.4
8EBFmIUfAy,medium,MR,2.738575,0.5
8JrN5VwG94,easy,MR,3.1164666666666667,1
8JrN5VwG94,hard,MR,5.0345,1
8JrN5VwG94,medium,MR,4.2775,1
9ZffIZqFHz,easy,MR,5.57885,0.9375
9ZffIZqFHz,hard,MR,7.749175,0.6875
9ZffIZqFHz,medium,MR,7.06789375,0.875
DVCsNitb7p,easy,MR,3.1079714285714286,0.5714285714285714
DVCsNitb7p,hard,MR,4.658566666666667,0.5333333333333333
DVCsNitb7p,medium,MR,4.49038125,0.4375
E1wQ16OGRS,easy,MR,7.7728214285714285,0.9285714285714286
E1wQ16OGRS,hard,MR,18.801940000000002,1
E1wQ16OGRS,medium,MR,11.34435,1
E6k5x9v8pf,easy,MR,2.4725625,0.9375
E6k5x9v8pf,hard,MR,6.041626666666667,0.9333333333333333
E6k5x9v8pf,medium,MR,3.8949333333333334,1
Fd15tXKjh3,easy,MR,4.185214285714285,1
Fd15tXKjh3,hard,MR,17.80364,0.7333333333333333
Fd15tXKjh3,medium,MR,8.98916875,0.9375
FgaXoRhEpQ,easy,MR,5.97468,1
FgaXoRhEpQ,hard,MR,24.85084375,0.8125
FgaXoRhEpQ,medium,MR,8.2010125,0.9375
GxpGXkXK8v,easy,MR,1.89296875,0.625
GxpGXkXK8v,hard,MR,1.7723933333333333,0.3333333333333333
GxpGXkXK8v,medium,MR,0.84658,0.2
HV4ueBgaoL,easy,MR,1.90585,0.35714285714285715
HV4ueBgaoL,hard,MR,2.5470866666666665,0.6
HV4ueBgaoL,medium,MR,1.61378,0.4
JIY5GSm8aI,easy,MR,4.642573333333333,0.6666666666666666
JIY5GSm8aI,hard,MR,6.90432,0.3333333333333333
JIY5GSm8aI,medium,MR,4.973886666666667,0.5333333333333333
KMzkcoEoDX,easy,MR,2.11586,1
KMzkcoEoDX,hard,MR,6.947766666666666,0.9333333333333333
KMzkcoEoDX,medium,MR,5.584042857142857,0.9285714285714286
MArUzIGtu1,easy,MR,5.558721428571428,1
MArUzIGtu1,hard,MR,12.229864285714285,0.7142857142857143
MArUzIGtu1,medium,MR,10.51364375,1
Mh4D0deXmE,easy,MR,4.4399066666666664,0.8
Mh4D0deXmE,hard,MR,4.943364285714286,0.35714285714285715
Mh4D0deXmE,medium,MR,5.5977733333333335,1
O0ngZJhb9l,easy,MR,6.0965375,0.5625
O0ngZJhb9l,hard,MR,3.7523857142857144,0.5
O0ngZJhb9l,medium,MR,2.0864066666666665,0.6666666666666666
PbOEQpRS9f,easy,MR,2.305,0.7857142857142857
PbOEQpRS9f,hard,MR,0.7449230769230769,0.46153846153846156
PbOEQpRS9f,medium,MR,0.29473333333333335,0.26666666666666666
PkgTbVVI07,easy,MR,2.6955125,0.5625
PkgTbVVI07,hard,MR,2.1077133333333333,0.5333333333333333
PkgTbVVI07,medium,MR,2.8349533333333334,0.6
Q479YcpCNr,easy,MR,4.74954,0.6
Q479YcpCNr,hard,MR,9.586893333333332,0.6666666666666666
Q479YcpCNr,medium,MR,10.16023125,0.625
TT3KEsSN3J,easy,MR,4.003821428571428,0.9285714285714286
TT3KEsSN3J,hard,MR,8.4894625,0.8125
TT3KEsSN3J,medium,MR,7.434775,0.9375
TqUBvW8Aaz,easy,MR,4.45914,0.4666666666666667
TqUBvW8Aaz,hard,MR,11.36650625,0.625
TqUBvW8Aaz,medium,MR,11.6550375,0.5625
V4epNAqh9h,easy,MR,1.628875,0.3125
V4epNAqh9h,hard,MR,2.5618,0.6666666666666666
V4epNAqh9h,medium,MR,1.9565666666666666,0.3333333333333333
W98TU3XJxb,easy,MR,4.63684375,0.9375
W98TU3XJxb,hard,MR,5.36876,0.5333333333333333
W98TU3XJxb,medium,MR,5.314264285714286,0.9285714285714286
WAh9qhgg6o,easy,MR,3.8335,0.9285714285714286
WAh9qhgg6o,hard,MR,4.2969333333333335,0.6
WAh9qhgg6o,medium,MR,4.562625,0.125
WQyxRdU13t,easy,MR,9.591733333333334,1
WQyxRdU13t,hard,MR,29.14633333333333,1
WQyxRdU13t,medium,MR,11.562,1
YQfNrv0e5B,easy,MR,4.31156875,0.75
YQfNrv0e5B,hard,MR,9.528213333333333,0.8
YQfNrv0e5B,medium,MR,13.491513333333334,0.8666666666666667
