trials,task,level,n,rt,acc,id,pool
1,MS,easy,3,13.0232,1,jKBHzXx0Pg,pool1
1,MS,medium,5,39.362,1,jKBHzXx0Pg,pool1
1,MS,hard,7,44.2111,1,jKBHzXx0Pg,pool1
2,MS,easy,3,10.8322,1,jKBHzXx0Pg,pool1
2,MS,medium,5,42.2492,1,jKBHzXx0Pg,pool1
2,MS,hard,7,42.3638,1,jKBHzXx0Pg,pool1
3,MS,easy,3,11.5821,1,jKBHzXx0Pg,pool1
3,MS,medium,5,36.348,1,jKBHzXx0Pg,pool1
3,MS,hard,5,36.8477,0.7142857142857143,jKBHzXx0Pg,pool1
4,MS,easy,3,15.1489,1,jKBHzXx0Pg,pool1
4,MS,medium,5,35.0483,1,jKBHzXx0Pg,pool1
4,MS,hard,7,40.7307,1,jKBHzXx0Pg,pool1
5,MS,easy,3,9.7477,1,jKBHzXx0Pg,pool1
5,MS,medium,5,38.0475,1,jKBHzXx0Pg,pool1
5,MS,hard,7,38.5972,1,jKBHzXx0Pg,pool1
6,MS,easy,3,11.5993,1,jKBHzXx0Pg,pool1
6,MS,medium,5,32.6823,1,jKBHzXx0Pg,pool1
6,MS,hard,6,35.4817,0.8571428571428571,jKBHzXx0Pg,pool1
7,MS,easy,3,10.515,1,jKBHzXx0Pg,pool1
7,MS,medium,5,30.3146,1,jKBHzXx0Pg,pool1
7,MS,hard,7,40.7151,1,jKBHzXx0Pg,pool1
8,MS,easy,3,11.732,1,jKBHzXx0Pg,pool1
8,MS,medium,5,30.0976,1,jKBHzXx0Pg,pool1
8,MS,hard,6,35.0976,0.8571428571428571,jKBHzXx0Pg,pool1
9,MS,easy,3,11.8491,1,jKBHzXx0Pg,pool1
9,MS,medium,5,31.5483,1,jKBHzXx0Pg,pool1
9,MS,hard,6,43.9974,0.8571428571428571,jKBHzXx0Pg,pool1
10,MS,easy,3,12.3318,1,jKBHzXx0Pg,pool1
10,MS,medium,5,36.5642,1,jKBHzXx0Pg,pool1
10,MS,hard,7,38.8142,1,jKBHzXx0Pg,pool1
11,MS,easy,3,22.2821,1,jKBHzXx0Pg,pool1
11,MS,medium,5,31.1147,1,jKBHzXx0Pg,pool1
11,MS,hard,7,33.1977,1,jKBHzXx0Pg,pool1
12,MS,easy,3,10.8488,1,jKBHzXx0Pg,pool1
12,MS,medium,5,30.6498,1,jKBHzXx0Pg,pool1
12,MS,hard,6,36.149,0.8571428571428571,jKBHzXx0Pg,pool1
13,MS,easy,3,10.2659,1,jKBHzXx0Pg,pool1
13,MS,medium,4,31.7648,0.8,jKBHzXx0Pg,pool1
13,MS,hard,7,36.38,1,jKBHzXx0Pg,pool1
14,MS,easy,3,12.3334,1,jKBHzXx0Pg,pool1
14,MS,medium,5,27.5475,1,jKBHzXx0Pg,pool1
14,MS,hard,6,34.5315,0.8571428571428571,jKBHzXx0Pg,pool1
15,MS,easy,3,23.3153,1,jKBHzXx0Pg,pool1
15,MS,medium,5,28.5981,1,jKBHzXx0Pg,pool1
15,MS,hard,6,36.2158,0.8571428571428571,jKBHzXx0Pg,pool1
16,MS,easy,3,12.8319,1,jKBHzXx0Pg,pool1
16,MS,medium,5,26.8481,1,jKBHzXx0Pg,pool1
16,MS,hard,7,36.2305,1,jKBHzXx0Pg,pool1
1,MS,easy,3,12.8403,1,TqUBvW8Aaz,pool1
1,MS,medium,4,26.2547,0.8,TqUBvW8Aaz,pool1
1,MS,hard,0,130.4302,0,TqUBvW8Aaz,pool1
2,MS,easy,3,13.3151,1,TqUBvW8Aaz,pool1
2,MS,medium,5,58.8068,1,TqUBvW8Aaz,pool1
2,MS,hard,6,52.8864,0.8571428571428571,TqUBvW8Aaz,pool1
3,MS,easy,3,13.2246,1,TqUBvW8Aaz,pool1
3,MS,medium,5,78.3581,1,TqUBvW8Aaz,pool1
3,MS,hard,5,51.8395,0.7142857142857143,TqUBvW8Aaz,pool1
4,MS,easy,3,13.0211,1,TqUBvW8Aaz,pool1
4,MS,medium,5,51.9755,1,TqUBvW8Aaz,pool1
4,MS,hard,5,53.7488,0.7142857142857143,TqUBvW8Aaz,pool1
5,MS,easy,3,14.7935,1,TqUBvW8Aaz,pool1
5,MS,medium,5,50.445,1,TqUBvW8Aaz,pool1
5,MS,hard,6,46.7716,0.8571428571428571,TqUBvW8Aaz,pool1
6,MS,easy,3,13.8213,1,TqUBvW8Aaz,pool1
6,MS,medium,5,44.1389,1,TqUBvW8Aaz,pool1
6,MS,hard,7,57.3068,1,TqUBvW8Aaz,pool1
7,MS,easy,2,15.0109,0.6666666666666666,TqUBvW8Aaz,pool1
7,MS,medium,4,39.5712,0.8,TqUBvW8Aaz,pool1
7,MS,hard,4,40.8005,0.5714285714285714,TqUBvW8Aaz,pool1
8,MS,easy,2,14.0577,0.6666666666666666,TqUBvW8Aaz,pool1
8,MS,medium,5,47.4845,1,TqUBvW8Aaz,pool1
8,MS,hard,4,47.2648,0.5714285714285714,TqUBvW8Aaz,pool1
9,MS,easy,2,17.947,0.6666666666666666,TqUBvW8Aaz,pool1
9,MS,medium,5,41.6861,1,TqUBvW8Aaz,pool1
9,MS,hard,5,40.2366,0.7142857142857143,TqUBvW8Aaz,pool1
10,MS,easy,2,14.3616,0.6666666666666666,TqUBvW8Aaz,pool1
10,MS,medium,5,41.7994,1,TqUBvW8Aaz,pool1
10,MS,hard,5,41.8176,0.7142857142857143,TqUBvW8Aaz,pool1
11,MS,easy,3,15.5968,1,TqUBvW8Aaz,pool1
