id,level,task,rt,acc
1W5HQaoCSR,easy,MS,NA,0.9583333333333334
1W5HQaoCSR,hard,MS,NA,0.5535714285714286
1W5HQaoCSR,medium,MS,NA,0.8625
2Rn7YC7ktN,easy,MS,13.4442125,1
2Rn7YC7ktN,hard,MS,30.81585,0.5803571428571428
2Rn7YC7ktN,medium,MS,20.39410625,0.9125
2dX8HaA5QM,easy,MS,NA,1
2dX8HaA5QM,hard,MS,NA,0.6785714285714286
2dX8HaA5QM,medium,MS,NA,0.9375
2vlCeeOoXs,easy,MS,8.2715625,0.9166666666666666
2vlCeeOoXs,hard,MS,13.884274999999999,0.6696428571428571
2vlCeeOoXs,medium,MS,12.5188625,0.875
5oQkfRc0Dh,easy,MS,NA,1
5oQkfRc0Dh,hard,MS,NA,0.6339285714285714
5oQkfRc0Dh,medium,MS,NA,0.85
8BtJMmB1PT,easy,MS,8.09724375,0.9791666666666666
8BtJMmB1PT,hard,MS,11.72785,0.6071428571428571
8BtJMmB1PT,medium,MS,10.08775,0.8375
8PPM98ESGr,easy,MS,10.97640625,1
8PPM98ESGr,hard,MS,22.63654375,0.6875
8PPM98ESGr,medium,MS,19.69014375,0.975
8eLeJBm5SV,easy,MS,8.3343375,0.875
8eLeJBm5SV,hard,MS,11.24011875,0.4732142857142857
8eLeJBm5SV,medium,MS,18.097575,0.7875
8xVAczfPKp,easy,MS,10.41698125,1
8xVAczfPKp,hard,MS,23.98760625,0.7321428571428571
8xVAczfPKp,medium,MS,18.8796,1
DoJgv77gQp,easy,MS,46.8473125,0.9583333333333334
DoJgv77gQp,hard,MS,42.4037875,0.6785714285714286
DoJgv77gQp,medium,MS,39.86598125,0.85
EgEJAn9pKN,easy,MS,NA,1
EgEJAn9pKN,hard,MS,NA,0.6964285714285714
EgEJAn9pKN,medium,MS,NA,0.975
ExbVOsMHAA,easy,MS,7.8892125,0.9791666666666666
ExbVOsMHAA,hard,MS,12.23930625,0.5267857142857143
ExbVOsMHAA,medium,MS,13.579649999999999,0.875
FDaGWmAPTr,easy,MS,10.0462125,0.9583333333333334
FDaGWmAPTr,hard,MS,15.188175,0.45535714285714285
FDaGWmAPTr,medium,MS,13.65266875,0.6875
FfPm6QztsA,easy,MS,14.77060625,1
FfPm6QztsA,hard,MS,26.90320625,0.5982142857142857
FfPm6QztsA,medium,MS,29.39205,0.75
GJzcwSPe9Z,easy,MS,10.9446875,1
GJzcwSPe9Z,hard,MS,19.58725,0.7767857142857143
GJzcwSPe9Z,medium,MS,14.951812499999999,0.9625
HF94YUUt2C,easy,MS,NA,0.9791666666666666
HF94YUUt2C,hard,MS,NA,0.7946428571428571
HF94YUUt2C,medium,MS,NA,0.975
HajArhl9Mf,easy,MS,11.55080625,1
HajArhl9Mf,hard,MS,13.3458875,0.4107142857142857
HajArhl9Mf,medium,MS,17.3769125,0.8125
HmPsw2WtYS,easy,MS,17.02735,0.9166666666666666
HmPsw2WtYS,hard,MS,28.60475,0.6071428571428571
HmPsw2WtYS,medium,MS,24.08895625,0.975
Hxjg3OTYhu,easy,MS,11.4997375,1
Hxjg3OTYhu,hard,MS,17.90125,0.5714285714285714
Hxjg3OTYhu,medium,MS,18.40264375,0.8875
I64skoy66n,easy,MS,7.9838125,1
I64skoy66n,hard,MS,17.40975,0.5982142857142857
I64skoy66n,medium,MS,16.4665625,0.8875000000000001
IMJ2Wgu1zI,easy,MS,7.3396875,1
IMJ2Wgu1zI,hard,MS,15.9285625,0.8660714285714286
IMJ2Wgu1zI,medium,MS,12.2378125,0.9875
JP0BqEE4Fj,easy,MS,11.6580562500625,1
JP0BqEE4Fj,hard,MS,19.36681875,0.6607142857142857
JP0BqEE4Fj,medium,MS,22.8682625,1
JpDUHBwJT1,easy,MS,7.452875,1
JpDUHBwJT1,hard,MS,14.4084375,0.7410714285714286
JpDUHBwJT1,medium,MS,11.038499999999999,0.9875
KCZtWafWV1,easy,MS,NA,1
KCZtWafWV1,hard,MS,NA,0.7589285714285714
KCZtWafWV1,medium,MS,NA,1
LMH4MBXVwL,easy,MS,NA,0.9791666666666666
LMH4MBXVwL,hard,MS,NA,0.5267857142857143
LMH4MBXVwL,medium,MS,NA,0.825
OSi3LnpELr,easy,MS,11.22961875,1
OSi3LnpELr,hard,MS,21.61169375,0.7232142857142857
OSi3LnpELr,medium,MS,18.363,0.875
P7WDUMyOEc,easy,MS,10.97110625,1
P7WDUMyOEc,hard,MS,25.9032375,0.6339285714285714
P7WDUMyOEc,medium,MS,21.7519625,0.9375
Piksbkqbn1,easy,MS,NA,0.9166666666666666
Piksbkqbn1,hard,MS,NA,0.45535714285714285
Piksbkqbn1,medium,MS,NA,0.8625
PsevAJnzJ0,easy,MS,NA,0.9583333333333334
PsevAJnzJ0,hard,MS,NA,0.4821428571428571
PsevAJnzJ0,medium,MS,NA,0.775
QLrSXxmCJy,easy,MS,8.59413125,1
QLrSXxmCJy,hard,MS,20.63543125,0.7589285714285714
QLrSXxmCJy,medium,MS,16.1539375,0.9875
S5rOjASl3o,easy,MS,NA,1
S5rOjASl3o,hard,MS,NA,0.5803571428571428
S5rOjASl3o,medium,MS,NA,0.8875
TFDf2hLPou,easy,MS,8.89931875,1
TFDf2hLPou,hard,MS,19.15680625,0.6071428571428571
TFDf2hLPou,medium,MS,15.47089375,0.875
VEZTZ89Pge,easy,MS,NA,1
VEZTZ89Pge,hard,MS,NA,0.5178571428571428
VEZTZ89Pge,medium,MS,NA,0.7875
VLeNMXjDPG,easy,MS,11.4154375,1
VLeNMXjDPG,hard,MS,23.5444375,0.5446428571428571
VLeNMXjDPG,medium,MS,18.534937499999998,0.9625
W3y75sVKt1,easy,MS,NA,1
W3y75sVKt1,hard,MS,NA,0.8303571428571428
W3y75sVKt1,medium,MS,NA,0.9625
WLE3Etok97,easy,MS,14.068375,1
WLE3Etok97,hard,MS,19.47569375,0.49107142857142855
WLE3Etok97,medium,MS,21.40145,0.85
XdaJtcIO9r,easy,MS,12.19045625,1
XdaJtcIO9r,hard,MS,20.47864375,0.7142857142857143
XdaJtcIO9r,medium,MS,17.4189125,0.875
XfAdJiOyxj,easy,MS,6.875375,1
XfAdJiOyxj,hard,MS,12.6225,0.6160714285714286
XfAdJiOyxj,medium,MS,10.5890625,1
YuaQwhP1ZU,easy,MS,9.667075,1
YuaQwhP1ZU,hard,MS,13.595925,0.5089285714285714
YuaQwhP1ZU,medium,MS,15.71403125,0.7875
alNlXuBH5D,easy,MS,10.29606875,0.9375
alNlXuBH5D,hard,MS,36.76619375,0.6160714285714286
alNlXuBH5D,medium,MS,16.49431875,0.8125
antN5ck5Ic,easy,MS,8.1824375,1
antN5ck5Ic,hard,MS,27.5595625,0.8571428571428571
antN5ck5Ic,medium,MS,15.0974375,0.9875
bKUxTtubP9,easy,MS,14.0513875,0
bKUxTtubP9,hard,MS,24.2169625,0
bKUxTtubP9,medium,MS,25.0174,0
cHjpJUhddy,easy,MS,10.4268625,1
cHjpJUhddy,hard,MS,22.047475,0.7232142857142857
cHjpJUhddy,medium,MS,17.23451875,0.975
cQX3GOCp9n,easy,MS,12.210625,1
cQX3GOCp9n,hard,MS,21.4334375,0.5357142857142857
cQX3GOCp9n,medium,MS,23.992125,0.9125
ctfjWeomyR,easy,MS,12.242775,1
ctfjWeomyR,hard,MS,18.788225,0.5178571428571428
ctfjWeomyR,medium,MS,18.0079999999375,0.775
d51zamtky2,easy,MS,NA,1
d51zamtky2,hard,MS,NA,0.8482142857142857
d51zamtky2,medium,MS,NA,1
dBrkfcNWsa,easy,MS,12.120375,0.9791666666666666
dBrkfcNWsa,hard,MS,39.5739875,0.8660714285714286
dBrkfcNWsa,medium,MS,26.17968125,1
dWejUN00z6,easy,MS,9.57905,1
dWejUN00z6,hard,MS,17.9904625,0.7410714285714286
dWejUN00z6,medium,MS,15.1768625,0.975
eJJDMz958g,easy,MS,11.09116875,0.9583333333333334
eJJDMz958g,hard,MS,18.826075,0.5446428571428571
eJJDMz958g,medium,MS,16.75434375,0.8875000000000001
f5NHoRoonR,easy,MS,9.4501875,1
f5NHoRoonR,hard,MS,24.2065,0.5535714285714286
f5NHoRoonR,medium,MS,19.468374999999998,0.925
jipsxYWATF,easy,MS,NA,0.9583333333333334
jipsxYWATF,hard,MS,NA,0.5267857142857143
jipsxYWATF,medium,MS,NA,0.75
kdi0TDNbL6,easy,MS,10.7598125,1
kdi0TDNbL6,hard,MS,16.121625,0.6160714285714286
kdi0TDNbL6,medium,MS,24.7390625,0.875
kuTZjru3VL,easy,MS,NA,0.9166666666666666
kuTZjru3VL,hard,MS,NA,0.5267857142857143
kuTZjru3VL,medium,MS,NA,0.65
l8OD3O4E3f,easy,MS,10.23933125,1
l8OD3O4E3f,hard,MS,23.15295,0.5535714285714286
l8OD3O4E3f,medium,MS,18.5111875,0.925
lqSj6DxkoP,easy,MS,NA,1
lqSj6DxkoP,hard,MS,NA,0.5357142857142857
lqSj6DxkoP,medium,MS,NA,0.9375
m0mjdT90SU,easy,MS,13.5628,0.7916666666666666
m0mjdT90SU,hard,MS,17.6376625,0.5267857142857143
m0mjdT90SU,medium,MS,29.85265,1
n5pHkx5qnN,easy,MS,NA,0.9791666666666666
n5pHkx5qnN,hard,MS,NA,0.75
n5pHkx5qnN,medium,MS,NA,0.95
qG1rKdXNBQ,easy,MS,NA,1
qG1rKdXNBQ,hard,MS,NA,0.7410714285714286
qG1rKdXNBQ,medium,MS,NA,0.9625
qI9h62z2Ku,easy,MS,11.48806875,0.9791666666666666
qI9h62z2Ku,hard,MS,36.28264375,0.8660714285714286
qI9h62z2Ku,medium,MS,26.19890625,0.975
qJhGaTGZut,easy,MS,24.91795,0
qJhGaTGZut,hard,MS,91.004325,0
qJhGaTGZut,medium,MS,35.9301375,0
qUOF6OZDRD,easy,MS,11.9825,0.9583333333333334
qUOF6OZDRD,hard,MS,21.0773125,0.5535714285714286
qUOF6OZDRD,medium,MS,17.356625,0.8875
qn7iE4w9eA,easy,MS,NA,1
qn7iE4w9eA,hard,MS,NA,0.9732142857142857
qn7iE4w9eA,medium,MS,NA,1
s04AljyS4e,easy,MS,9.06713125,1
s04AljyS4e,hard,MS,16.4160625,0.6696428571428571
s04AljyS4e,medium,MS,16.6293125,0.925
soqMs9Hfya,easy,MS,NA,0.9791666666666666
soqMs9Hfya,hard,MS,NA,0.6517857142857143
soqMs9Hfya,medium,MS,NA,0.875
tgdzehXaH9,easy,MS,10.808925,0.9791666666666666
tgdzehXaH9,hard,MS,30.3962125,0.6428571428571428
tgdzehXaH9,medium,MS,22.50795625,0.9625
uofo7FKPdo,easy,MS,NA,0.875
uofo7FKPdo,hard,MS,NA,0.8392857142857143
uofo7FKPdo,medium,MS,NA,0.9875
urmN2MGqMI,easy,MS,9.286325,1
urmN2MGqMI,hard,MS,19.6793,0.7053571428571428
urmN2MGqMI,medium,MS,15.59751875,0.9375
vI3wi8YxaP,easy,MS,14.76108125,0.9583333333333334
vI3wi8YxaP,hard,MS,32.54084375,0.8482142857142857
vI3wi8YxaP,medium,MS,19.92011875,0.9625
