trials,task,level,n,rt,acc,id
1,MS,easy,3,NA,1,3hMsm8I7aY
1,MS,medium,4,NA,0.8,3hMsm8I7aY
1,MS,hard,4,NA,0.5714285714285714,3hMsm8I7aY
2,MS,easy,3,NA,1,3hMsm8I7aY
2,MS,medium,5,NA,1,3hMsm8I7aY
2,MS,hard,5,NA,0.7142857142857143,3hMsm8I7aY
3,MS,easy,3,NA,1,3hMsm8I7aY
3,MS,medium,5,NA,1,3hMsm8I7aY
3,MS,hard,7,NA,1,3hMsm8I7aY
4,MS,easy,3,NA,1,3hMsm8I7aY
4,MS,medium,5,NA,1,3hMsm8I7aY
4,MS,hard,7,NA,1,3hMsm8I7aY
5,MS,easy,2,NA,0.6666666666666666,3hMsm8I7aY
5,MS,medium,5,NA,1,3hMsm8I7aY
5,MS,hard,5,NA,0.7142857142857143,3hMsm8I7aY
6,MS,easy,3,NA,1,3hMsm8I7aY
6,MS,medium,5,NA,1,3hMsm8I7aY
6,MS,hard,6,NA,0.8571428571428571,3hMsm8I7aY
7,MS,easy,3,NA,1,3hMsm8I7aY
7,MS,medium,5,NA,1,3hMsm8I7aY
7,MS,hard,6,NA,0.8571428571428571,3hMsm8I7aY
8,MS,easy,3,NA,1,3hMsm8I7aY
8,MS,medium,5,NA,1,3hMsm8I7aY
8,MS,hard,7,NA,1,3hMsm8I7aY
9,MS,easy,3,NA,1,3hMsm8I7aY
9,MS,medium,5,NA,1,3hMsm8I7aY
9,MS,hard,5,NA,0.7142857142857143,3hMsm8I7aY
10,MS,easy,3,NA,1,3hMsm8I7aY
10,MS,medium,5,NA,1,3hMsm8I7aY
10,MS,hard,6,NA,0.8571428571428571,3hMsm8I7aY
11,MS,easy,2,NA,0.6666666666666666,3hMsm8I7aY
11,MS,medium,5,NA,1,3hMsm8I7aY
11,MS,hard,4,NA,0.5714285714285714,3hMsm8I7aY
12,MS,easy,2,NA,0.6666666666666666,3hMsm8I7aY
12,MS,medium,5,NA,1,3hMsm8I7aY
12,MS,hard,7,NA,1,3hMsm8I7aY
13,MS,easy,3,NA,1,3hMsm8I7aY
13,MS,medium,5,NA,1,3hMsm8I7aY
13,MS,hard,4,NA,0.5714285714285714,3hMsm8I7aY
14,MS,easy,3,NA,1,3hMsm8I7aY
14,MS,medium,5,NA,1,3hMsm8I7aY
14,MS,hard,7,NA,1,3hMsm8I7aY
15,MS,easy,0,NA,0,3hMsm8I7aY
15,MS,medium,5,NA,1,3hMsm8I7aY
15,MS,hard,7,NA,1,3hMsm8I7aY
16,MS,easy,3,NA,1,3hMsm8I7aY
16,MS,medium,5,NA,1,3hMsm8I7aY
16,MS,hard,7,NA,1,3hMsm8I7aY
1,MS,easy,3,NA,1,TM72GyUTkf
1,MS,medium,4,NA,0.8,TM72GyUTkf
1,MS,hard,5,NA,0.7142857142857143,TM72GyUTkf
2,MS,easy,3,NA,1,TM72GyUTkf
2,MS,medium,5,NA,1,TM72GyUTkf
2,MS,hard,5,NA,0.7142857142857143,TM72GyUTkf
3,MS,easy,3,NA,1,TM72GyUTkf
3,MS,medium,4,NA,0.8,TM72GyUTkf
3,MS,hard,4,NA,0.5714285714285714,TM72GyUTkf
4,MS,easy,3,NA,1,TM72GyUTkf
4,MS,medium,3,NA,0.6,TM72GyUTkf
4,MS,hard,2,NA,0.2857142857142857,TM72GyUTkf
5,MS,easy,3,NA,1,TM72GyUTkf
5,MS,medium,4,NA,0.8,TM72GyUTkf
5,MS,hard,5,NA,0.7142857142857143,TM72GyUTkf
6,MS,easy,3,NA,1,TM72GyUTkf
6,MS,medium,4,NA,0.8,TM72GyUTkf
6,MS,hard,3,NA,0.42857142857142855,TM72GyUTkf
7,MS,easy,3,NA,1,TM72GyUTkf
7,MS,medium,5,NA,1,TM72GyUTkf
7,MS,hard,3,NA,0.42857142857142855,TM72GyUTkf
8,MS,easy,3,NA,1,TM72GyUTkf
8,MS,medium,5,NA,1,TM72GyUTkf
8,MS,hard,3,NA,0.42857142857142855,TM72GyUTkf
9,MS,easy,3,NA,1,TM72GyUTkf
9,MS,medium,4,NA,0.8,TM72GyUTkf
9,MS,hard,4,NA,0.5714285714285714,TM72GyUTkf
10,MS,easy,3,NA,1,TM72GyUTkf
10,MS,medium,5,NA,1,TM72GyUTkf
10,MS,hard,2,NA,0.2857142857142857,TM72GyUTkf
11,MS,easy,3,NA,1,TM72GyUTkf
11,MS,medium,4,NA,0.8,TM72GyUTkf
11,MS,hard,4,NA,0.5714285714285714,TM72GyUTkf
12,MS,easy,3,NA,1,TM72GyUTkf
12,MS,medium,3,NA,0.6,TM72GyUTkf
12,MS,hard,4,NA,0.5714285714285714,TM72GyUTkf
13,MS,easy,3,NA,1,TM72GyUTkf
13,MS,medium,3,NA,0.6,TM72GyUTkf
13,MS,hard,4,NA,0.5714285714285714,TM72GyUTkf
14,MS,easy,3,NA,1,TM72GyUTkf
14,MS,medium,4,NA,0.8,TM72GyUTkf
14,MS,hard,3,NA,0.42857142857142855,TM72GyUTkf
15,MS,easy,3,NA,1,TM72GyUTkf
15,MS,medium,4,NA,0.8,TM72GyUTkf
15,MS,hard,3,NA,0.42857142857142855,TM72GyUTkf
16,MS,easy,3,NA,1,TM72GyUTkf
16,MS,medium,2,NA,0.4,TM72GyUTkf
16,MS,hard,4,NA,0.5714285714285714,TM72GyUTkf
1,MS,easy,3,NA,1,vXDUnP6HMG
1,MS,medium,5,NA,1,vXDUnP6HMG
1,MS,hard,5,NA,0.7142857142857143,vXDUnP6HMG
2,MS,easy,3,NA,1,vXDUnP6HMG
2,MS,medium,5,NA,1,vXDUnP6HMG
2,MS,hard,7,NA,1,vXDUnP6HMG
3,MS,easy,3,NA,1,vXDUnP6HMG
3,MS,medium,5,NA,1,vXDUnP6HMG
3,MS,hard,6,NA,0.8571428571428571,vXDUnP6HMG
4,MS,easy,3,NA,1,vXDUnP6HMG
4,MS,medium,5,NA,1,vXDUnP6HMG
4,MS,hard,7,NA,1,vXDUnP6HMG
5,MS,easy,3,NA,1,vXDUnP6HMG
5,MS,medium,5,NA,1,vXDUnP6HMG
5,MS,hard,6,NA,0.8571428571428571,vXDUnP6HMG
6,MS,easy,3,NA,1,vXDUnP6HMG
6,MS,medium,5,NA,1,vXDUnP6HMG
6,MS,hard,6,NA,0.8571428571428571,vXDUnP6HMG
7,MS,easy,2,NA,0.6666666666666666,vXDUnP6HMG
7,MS,medium,4,NA,0.8,vXDUnP6HMG
7,MS,hard,6,NA,0.8571428571428571,vXDUnP6HMG
8,MS,easy,3,NA,1,vXDUnP6HMG
8,MS,medium,5,NA,1,vXDUnP6HMG
