id,level,task,rt,acc
1W5HQaoCSR,easy,MS,NA,1
1W5HQaoCSR,hard,MS,NA,0.5357142857142857
1W5HQaoCSR,medium,MS,NA,0.9375
2Rn7YC7ktN,easy,MS,10.567726666666667,1
2Rn7YC7ktN,hard,MS,29.113713333333333,0.6571428571428571
2Rn7YC7ktN,medium,MS,20.928866666666668,0.96
2dX8HaA5QM,easy,MS,NA,0.9166666666666666
2dX8HaA5QM,hard,MS,NA,0.5267857142857143
2dX8HaA5QM,medium,MS,NA,0.65
2vlCeeOoXs,easy,MS,7.3396875,1
2vlCeeOoXs,hard,MS,15.502142857142857,0.8775510204081632
2vlCeeOoXs,medium,MS,12.2378125,0.9875
3hMsm8I7aY,easy,MS,NA,0.875
3hMsm8I7aY,hard,MS,NA,0.8392857142857143
3hMsm8I7aY,medium,MS,NA,0.9875
5oQkfRc0Dh,easy,MS,13.7463,0.9777777777777777
5oQkfRc0Dh,hard,MS,20.0996375,0.5982142857142857
5oQkfRc0Dh,medium,MS,17.94773125,0.8
8BtJMmB1PT,easy,MS,11.48806875,0.9791666666666666
8BtJMmB1PT,hard,MS,34.07477333333333,0.8761904761904762
8BtJMmB1PT,medium,MS,21.69256,0.9733333333333334
8PPM98ESGr,easy,MS,13.711013333333334,0.5777777777777777
8PPM98ESGr,hard,MS,20.73506875,0.27678571428571425
8PPM98ESGr,medium,MS,12.889076923076923,0.47692307692307695
8eLeJBm5SV,easy,MS,9.426338461538462,1
8eLeJBm5SV,hard,MS,30.81585,0.5803571428571428
8eLeJBm5SV,medium,MS,20.39410625,0.9125
8xVAczfPKp,easy,MS,11.174607142857143,1
8xVAczfPKp,hard,MS,21.61169375,0.7232142857142857
8xVAczfPKp,medium,MS,16.015773333333332,0.8666666666666667
DoJgv77gQp,easy,MS,11.55080625,1
DoJgv77gQp,hard,MS,13.3458875,0.4107142857142857
DoJgv77gQp,medium,MS,16.81146,0.8133333333333334
EgEJAn9pKN,easy,MS,8.2715625,0.9166666666666666
EgEJAn9pKN,hard,MS,13.884274999999999,0.6696428571428571
EgEJAn9pKN,medium,MS,12.019686666666667,0.88
ExbVOsMHAA,easy,MS,9.989416666666667,1
ExbVOsMHAA,hard,MS,21.0773125,0.5535714285714286
ExbVOsMHAA,medium,MS,17.356625,0.8875
FDaGWmAPTr,easy,MS,9.09702,1
FDaGWmAPTr,hard,MS,19.15680625,0.6071428571428571
FDaGWmAPTr,medium,MS,15.47089375,0.875
FfPm6QztsA,easy,MS,10.97640625,1
FfPm6QztsA,hard,MS,22.63654375,0.6875
FfPm6QztsA,medium,MS,18.803933333333333,0.9866666666666667
GJzcwSPe9Z,easy,MS,10.012857142857143,1
GJzcwSPe9Z,hard,MS,23.5444375,0.5446428571428571
GJzcwSPe9Z,medium,MS,15.414769230769231,0.9692307692307692
Go0eoSC1Hu,easy,MS,NA,1
Go0eoSC1Hu,hard,MS,NA,0.7589285714285714
Go0eoSC1Hu,medium,MS,NA,0.9875
HF94YUUt2C,easy,MS,9.091107142857142,1
HF94YUUt2C,hard,MS,17.9904625,0.7410714285714286
HF94YUUt2C,medium,MS,15.1768625,0.975
HajArhl9Mf,easy,MS,9.93578125,0.9375
HajArhl9Mf,hard,MS,19.10596923076923,0.989010989010989
HajArhl9Mf,medium,MS,15.9830125,0.9875
HmPsw2WtYS,easy,MS,8.4735625,1
HmPsw2WtYS,hard,MS,17.68969375,0.6160714285714286
HmPsw2WtYS,medium,MS,15.718993333333334,0.9733333333333334
Hxjg3OTYhu,easy,MS,23.4695,0
Hxjg3OTYhu,hard,MS,26.206546666666668,0
Hxjg3OTYhu,medium,MS,32.30624615384615,0
I64skoy66n,easy,MS,10.0462125,0.9583333333333334
I64skoy66n,hard,MS,14.489939999999999,0.45714285714285713
I64skoy66n,medium,MS,13.65266875,0.6875
IMJ2Wgu1zI,easy,MS,9.063153846153845,0.9743589743589743
IMJ2Wgu1zI,hard,MS,32.092333333333336,0.6761904761904762
IMJ2Wgu1zI,medium,MS,19.92955,0.8428571428571429
JP0BqEE4Fj,easy,MS,14.0513875,0
JP0BqEE4Fj,hard,MS,24.2169625,0
JP0BqEE4Fj,medium,MS,25.0174,0
JpDUHBwJT1,easy,MS,8.59413125,1
JpDUHBwJT1,hard,MS,18.922985714285716,0.7653061224489796
JpDUHBwJT1,medium,MS,16.1539375,0.9875
KCZtWafWV1,easy,MS,NA,1
KCZtWafWV1,hard,MS,NA,0.5803571428571428
KCZtWafWV1,medium,MS,NA,0.8875
LMH4MBXVwL,easy,MS,NA,1
LMH4MBXVwL,hard,MS,NA,0.875
LMH4MBXVwL,medium,MS,NA,0.925
OSi3LnpELr,easy,MS,9.06713125,1
OSi3LnpELr,hard,MS,15.787513333333333,0.6476190476190476
OSi3LnpELr,medium,MS,15.7771,0.9285714285714286
P7WDUMyOEc,easy,MS,15.400064285714286,0.9047619047619048
P7WDUMyOEc,hard,MS,16.750433333333334,0.5047619047619047
P7WDUMyOEc,medium,MS,29.85265,1
Piksbkqbn1,easy,MS,NA,0.9583333333333334
Piksbkqbn1,hard,MS,NA,0.5267857142857143
Piksbkqbn1,medium,MS,NA,0.75
PsevAJnzJ0,easy,MS,NA,1
PsevAJnzJ0,hard,MS,NA,0.6785714285714286
PsevAJnzJ0,medium,MS,NA,0.9375
QLrSXxmCJy,easy,MS,10.4268625,1
QLrSXxmCJy,hard,MS,22.047475,0.7232142857142857
QLrSXxmCJy,medium,MS,17.23451875,0.975
S5rOjASl3o,easy,MS,NA,1
S5rOjASl3o,hard,MS,NA,0.6339285714285714
S5rOjASl3o,medium,MS,NA,0.85
TFDf2hLPou,easy,MS,10.8138,0.9777777777777777
TFDf2hLPou,hard,MS,39.5739875,0.8660714285714286
TFDf2hLPou,medium,MS,26.17968125,1
TM72GyUTkf,easy,MS,NA,1
