task,level,id,scale,score
MS,hard,uofo7FKPdo,ME,97
MS,hard,uofo7FKPdo,PH,1
MS,hard,uofo7FKPdo,TI,76
MS,hard,uofo7FKPdo,PE,35
MS,hard,uofo7FKPdo,EF,78
MS,hard,uofo7FKPdo,FR,100
MS,easy,uofo7FKPdo,ME,87
MS,easy,uofo7FKPdo,PH,NA
MS,easy,uofo7FKPdo,TI,55
MS,easy,uofo7FKPdo,PE,11
MS,easy,uofo7FKPdo,EF,62
MS,easy,uofo7FKPdo,FR,64
MR,medium,uofo7FKPdo,ME,98
MR,medium,uofo7FKPdo,PH,3
MR,medium,uofo7FKPdo,TI,2
MR,medium,uofo7FKPdo,PE,46
MR,medium,uofo7FKPdo,EF,85
MR,medium,uofo7FKPdo,FR,66
MR,hard,uofo7FKPdo,ME,67
MR,hard,uofo7FKPdo,PH,2
MR,hard,uofo7FKPdo,TI,4
MR,hard,uofo7FKPdo,PE,48
MR,hard,uofo7FKPdo,EF,64
MR,hard,uofo7FKPdo,FR,72
MR,easy,uofo7FKPdo,ME,65
MR,easy,uofo7FKPdo,PH,1
MR,easy,uofo7FKPdo,TI,2
MR,easy,uofo7FKPdo,PE,46
MR,easy,uofo7FKPdo,EF,5
MR,easy,uofo7FKPdo,FR,58
ST,hard,uofo7FKPdo,ME,98
ST,hard,uofo7FKPdo,PH,64
ST,hard,uofo7FKPdo,TI,98
ST,hard,uofo7FKPdo,PE,88
ST,hard,uofo7FKPdo,EF,89
ST,hard,uofo7FKPdo,FR,100
ST,medium,uofo7FKPdo,ME,67
ST,medium,uofo7FKPdo,PH,NA
ST,medium,uofo7FKPdo,TI,76
ST,medium,uofo7FKPdo,PE,3
ST,medium,uofo7FKPdo,EF,60
ST,medium,uofo7FKPdo,FR,91
MS,medium,uofo7FKPdo,ME,88
MS,medium,uofo7FKPdo,PH,19
MS,medium,uofo7FKPdo,TI,8
MS,medium,uofo7FKPdo,PE,9
MS,medium,uofo7FKPdo,EF,71
MS,medium,uofo7FKPdo,FR,74
ST,easy,uofo7FKPdo,ME,70
ST,easy,uofo7FKPdo,PH,53
ST,easy,uofo7FKPdo,TI,72
ST,easy,uofo7FKPdo,PE,2
ST,easy,uofo7FKPdo,EF,65
ST,easy,uofo7FKPdo,FR,72
MS,medium,VEZTZ89Pge,ME,60
MS,medium,VEZTZ89Pge,PH,10
MS,medium,VEZTZ89Pge,TI,81
MS,medium,VEZTZ89Pge,PE,55
MS,medium,VEZTZ89Pge,EF,60
MS,medium,VEZTZ89Pge,FR,61
MR,medium,VEZTZ89Pge,ME,63
MR,medium,VEZTZ89Pge,PH,27
