task,level,id,pool,scale,score
MS,easy,jKBHzXx0Pg,pool1,ME,55
MS,easy,jKBHzXx0Pg,pool1,PH,35
MS,easy,jKBHzXx0Pg,pool1,TI,45
MS,easy,jKBHzXx0Pg,pool1,PE,5
MS,easy,jKBHzXx0Pg,pool1,EF,55
MS,easy,jKBHzXx0Pg,pool1,FR,40
ST,easy,jKBHzXx0Pg,pool1,ME,55
ST,easy,jKBHzXx0Pg,pool1,PH,20
ST,easy,jKBHzXx0Pg,pool1,TI,60
ST,easy,jKBHzXx0Pg,pool1,PE,5
ST,easy,jKBHzXx0Pg,pool1,EF,60
ST,easy,jKBHzXx0Pg,pool1,FR,55
MR,easy,jKBHzXx0Pg,pool1,ME,70
MR,easy,jKBHzXx0Pg,pool1,PH,20
MR,easy,jKBHzXx0Pg,pool1,TI,45
MR,easy,jKBHzXx0Pg,pool1,PE,15
MR,easy,jKBHzXx0Pg,pool1,EF,65
MR,easy,jKBHzXx0Pg,pool1,FR,40
MS,medium,jKBHzXx0Pg,pool1,ME,75
MS,medium,jKBHzXx0Pg,pool1,PH,45
MS,medium,jKBHzXx0Pg,pool1,TI,80
MS,medium,jKBHzXx0Pg,pool1,PE,10
MS,medium,jKBHzXx0Pg,pool1,EF,80
MS,medium,jKBHzXx0Pg,pool1,FR,75
ST,hard,jKBHzXx0Pg,pool1,ME,75
ST,hard,jKBHzXx0Pg,pool1,PH,25
ST,hard,jKBHzXx0Pg,pool1,TI,80
ST,hard,jKBHzXx0Pg,pool1,PE,15
ST,hard,jKBHzXx0Pg,pool1,EF,75
ST,hard,jKBHzXx0Pg,pool1,FR,62
MS,hard,jKBHzXx0Pg,pool1,ME,90
MS,hard,jKBHzXx0Pg,pool1,PH,55
MS,hard,jKBHzXx0Pg,pool1,TI,85
MS,hard,jKBHzXx0Pg,pool1,PE,25
MS,hard,jKBHzXx0Pg,pool1,EF,90
MS,hard,jKBHzXx0Pg,pool1,FR,90
ST,medium,jKBHzXx0Pg,pool1,ME,60
ST,medium,jKBHzXx0Pg,pool1,PH,20
ST,medium,jKBHzXx0Pg,pool1,TI,67
ST,medium,jKBHzXx0Pg,pool1,PE,7
ST,medium,jKBHzXx0Pg,pool1,EF,65
ST,medium,jKBHzXx0Pg,pool1,FR,35
MR,medium,jKBHzXx0Pg,pool1,ME,59
MR,medium,jKBHzXx0Pg,pool1,PH,30
MR,medium,jKBHzXx0Pg,pool1,TI,45
MR,medium,jKBHzXx0Pg,pool1,PE,17
MR,medium,jKBHzXx0Pg,pool1,EF,60
MR,medium,jKBHzXx0Pg,pool1,FR,65
MR,hard,jKBHzXx0Pg,pool1,ME,75
MR,hard,jKBHzXx0Pg,pool1,PH,35
MR,hard,jKBHzXx0Pg,pool1,TI,60
MR,hard,jKBHzXx0Pg,pool1,PE,27
MR,hard,jKBHzXx0Pg,pool1,EF,77
MR,hard,jKBHzXx0Pg,pool1,FR,70
MS,easy,TqUBvW8Aaz,pool1,ME,34
MS,easy,TqUBvW8Aaz,pool1,PH,16
MS,easy,TqUBvW8Aaz,pool1,TI,15
MS,easy,TqUBvW8Aaz,pool1,PE,6
MS,easy,TqUBvW8Aaz,pool1,EF,25
MS,easy,TqUBvW8Aaz,pool1,FR,20
ST,hard,TqUBvW8Aaz,pool1,ME,65
ST,hard,TqUBvW8Aaz,pool1,PH,25
ST,hard,TqUBvW8Aaz,pool1,TI,99
ST,hard,TqUBvW8Aaz,pool1,PE,50
ST,hard,TqUBvW8Aaz,pool1,EF,70
ST,hard,TqUBvW8Aaz,pool1,FR,79
MS,medium,TqUBvW8Aaz,pool1,ME,94
MS,medium,TqUBvW8Aaz,pool1,PH,50
MS,medium,TqUBvW8Aaz,pool1,TI,80
MS,medium,TqUBvW8Aaz,pool1,PE,6
MS,medium,TqUBvW8Aaz,pool1,EF,95
MS,medium,TqUBvW8Aaz,pool1,FR,98
MR,medium,TqUBvW8Aaz,pool1,ME,90
MR,medium,TqUBvW8Aaz,pool1,PH,50
MR,medium,TqUBvW8Aaz,pool1,TI,16
MR,medium,TqUBvW8Aaz,pool1,PE,35
MR,medium,TqUBvW8Aaz,pool1,EF,80
MR,medium,TqUBvW8Aaz,pool1,FR,91
MR,hard,TqUBvW8Aaz,pool1,ME,90
MR,hard,TqUBvW8Aaz,pool1,PH,48
MR,hard,TqUBvW8Aaz,pool1,TI,26
MR,hard,TqUBvW8Aaz,pool1,PE,49
MR,hard,TqUBvW8Aaz,pool1,EF,80
MR,hard,TqUBvW8Aaz,pool1,FR,81
ST,easy,TqUBvW8Aaz,pool1,ME,25
ST,easy,TqUBvW8Aaz,pool1,PH,16
ST,easy,TqUBvW8Aaz,pool1,TI,35
ST,easy,TqUBvW8Aaz,pool1,PE,6
ST,easy,TqUBvW8Aaz,pool1,EF,21
ST,easy,TqUBvW8Aaz,pool1,FR,30
