level,task,order,id,pool
easy,MS,1,jKBHzXx0Pg,pool1
easy,ST,2,jKBHzXx0Pg,pool1
easy,MR,3,jKBHzXx0Pg,pool1
medium,MS,4,jKBHzXx0Pg,pool1
hard,ST,5,jKBHzXx0Pg,pool1
hard,MS,6,jKBHzXx0Pg,pool1
medium,ST,7,jKBHzXx0Pg,pool1
medium,MR,8,jKBHzXx0Pg,pool1
hard,MR,9,jKBHzXx0Pg,pool1
easy,MS,1,TqUBvW8Aaz,pool1
hard,ST,2,TqUBvW8Aaz,pool1
medium,MS,3,TqUBvW8Aaz,pool1
medium,MR,4,TqUBvW8Aaz,pool1
hard,MR,5,TqUBvW8Aaz,pool1
easy,ST,6,TqUBvW8Aaz,pool1
easy,MR,7,TqUBvW8Aaz,pool1
medium,ST,8,TqUBvW8Aaz,pool1
hard,MS,9,TqUBvW8Aaz,pool1
easy,MS,1,WAh9qhgg6o,pool1
medium,MS,2,WAh9qhgg6o,pool1
medium,MR,3,WAh9qhgg6o,pool1
easy,ST,4,WAh9qhgg6o,pool1
easy,MR,5,WAh9qhgg6o,pool1
hard,MR,6,WAh9qhgg6o,pool1
hard,MS,7,WAh9qhgg6o,pool1
medium,ST,8,WAh9qhgg6o,pool1
hard,ST,9,WAh9qhgg6o,pool1
hard,MS,1,6xDo1DDaCf,pool1
easy,MR,2,6xDo1DDaCf,pool1
medium,MR,3,6xDo1DDaCf,pool1
easy,MS,4,6xDo1DDaCf,pool1
medium,MS,5,6xDo1DDaCf,pool1
medium,ST,6,6xDo1DDaCf,pool1
hard,MR,7,6xDo1DDaCf,pool1
easy,ST,8,6xDo1DDaCf,pool1
hard,ST,9,6xDo1DDaCf,pool1
easy,MR,1,9ZffIZqFHz,pool1
medium,MS,2,9ZffIZqFHz,pool1
medium,MR,3,9ZffIZqFHz,pool1
easy,ST,4,9ZffIZqFHz,pool1
hard,MS,5,9ZffIZqFHz,pool1
hard,MR,6,9ZffIZqFHz,pool1
medium,ST,7,9ZffIZqFHz,pool1
easy,MS,8,9ZffIZqFHz,pool1
