target_present,key,is_correct,rt,task,level,trial,id,pool
1,right,1,2.4599,ST,easy,1,jKBHzXx0Pg,pool1
1,right,1,2.065,ST,easy,2,jKBHzXx0Pg,pool1
1,right,1,1.7812,ST,easy,3,jKBHzXx0Pg,pool1
0,left,1,3.5234,ST,easy,4,jKBHzXx0Pg,pool1
0,left,1,2.2678,ST,easy,5,jKBHzXx0Pg,pool1
0,left,1,4.3384,ST,easy,6,jKBHzXx0Pg,pool1
1,right,1,1.7489,ST,easy,7,jKBHzXx0Pg,pool1
1,right,1,1.9467,ST,easy,8,jKBHzXx0Pg,pool1
1,right,1,1.3682,ST,easy,9,jKBHzXx0Pg,pool1
1,right,1,1.2309,ST,easy,10,jKBHzXx0Pg,pool1
0,left,1,3.5156,ST,easy,11,jKBHzXx0Pg,pool1
0,left,1,1.152,ST,easy,12,jKBHzXx0Pg,pool1
0,right,0,1.8199,ST,easy,13,jKBHzXx0Pg,pool1
0,left,1,2.0319,ST,easy,14,jKBHzXx0Pg,pool1
0,left,1,1.8477,ST,easy,15,jKBHzXx0Pg,pool1
0,left,1,1.9207,ST,easy,16,jKBHzXx0Pg,pool1
1,right,1,9.5713,ST,hard,1,jKBHzXx0Pg,pool1
0,left,1,8.9323,ST,hard,2,jKBHzXx0Pg,pool1
1,right,1,3.0001,ST,hard,3,jKBHzXx0Pg,pool1
1,right,1,2.736,ST,hard,4,jKBHzXx0Pg,pool1
1,right,1,4.0203,ST,hard,5,jKBHzXx0Pg,pool1
0,left,1,2.9993,ST,hard,6,jKBHzXx0Pg,pool1
1,right,1,2.0175,ST,hard,7,jKBHzXx0Pg,pool1
0,left,1,3.1653,ST,hard,8,jKBHzXx0Pg,pool1
1,right,1,3.2178,ST,hard,9,jKBHzXx0Pg,pool1
0,left,1,2.1672,ST,hard,10,jKBHzXx0Pg,pool1
1,right,1,1.6472,ST,hard,11,jKBHzXx0Pg,pool1
0,left,1,2.2486,ST,hard,12,jKBHzXx0Pg,pool1
0,left,1,3.2509,ST,hard,13,jKBHzXx0Pg,pool1
0,left,1,1.9045,ST,hard,14,jKBHzXx0Pg,pool1
1,right,1,1.8974,ST,hard,15,jKBHzXx0Pg,pool1
0,left,1,2.233,ST,hard,16,jKBHzXx0Pg,pool1
0,left,1,4.3249,ST,medium,1,jKBHzXx0Pg,pool1
0,left,1,3.0983,ST,medium,2,jKBHzXx0Pg,pool1
1,right,1,2.1703,ST,medium,3,jKBHzXx0Pg,pool1
0,left,1,1.7411,ST,medium,4,jKBHzXx0Pg,pool1
1,right,1,2.007,ST,medium,5,jKBHzXx0Pg,pool1
0,left,1,2.6716,ST,medium,6,jKBHzXx0Pg,pool1
0,left,1,2.5973,ST,medium,7,jKBHzXx0Pg,pool1
1,right,1,1.8507,ST,medium,8,jKBHzXx0Pg,pool1
0,left,1,1.5069,ST,medium,9,jKBHzXx0Pg,pool1
1,right,1,1.7486,ST,medium,10,jKBHzXx0Pg,pool1
0,left,1,1.8488,ST,medium,11,jKBHzXx0Pg,pool1
1,right,1,1.6914,ST,medium,12,jKBHzXx0Pg,pool1
0,left,1,1.8987,ST,medium,13,jKBHzXx0Pg,pool1
1,right,1,1.5701,ST,medium,14,jKBHzXx0Pg,pool1
1,right,1,1.6152,ST,medium,15,jKBHzXx0Pg,pool1
1,right,1,1.4141,ST,medium,16,jKBHzXx0Pg,pool1
0,left,1,3.3071,ST,easy,1,TqUBvW8Aaz,pool1
0,left,1,1.3157,ST,easy,2,TqUBvW8Aaz,pool1
