target_present,key,is_correct,rt,task,level,trial,id
0,left,1,1.157,ST,easy,1,3hMsm8I7aY
1,right,1,1.129,ST,easy,2,3hMsm8I7aY
0,left,1,0.948,ST,easy,3,3hMsm8I7aY
1,right,1,1.069,ST,easy,4,3hMsm8I7aY
0,left,1,0.818,ST,easy,5,3hMsm8I7aY
0,left,1,0.803,ST,easy,6,3hMsm8I7aY
1,right,1,0.755,ST,easy,7,3hMsm8I7aY
1,right,1,0.996,ST,easy,8,3hMsm8I7aY
1,right,1,0.948,ST,easy,9,3hMsm8I7aY
1,right,1,1.149,ST,easy,10,3hMsm8I7aY
0,left,1,1.349,ST,easy,11,3hMsm8I7aY
0,left,1,0.97,ST,easy,12,3hMsm8I7aY
0,left,1,0.862,ST,easy,13,3hMsm8I7aY
0,left,1,0.786,ST,easy,14,3hMsm8I7aY
1,right,1,0.921,ST,easy,15,3hMsm8I7aY
1,right,1,1.313,ST,easy,16,3hMsm8I7aY
1,right,1,1.612,ST,hard,1,3hMsm8I7aY
0,left,1,0.946,ST,hard,2,3hMsm8I7aY
1,left,0,1.273,ST,hard,3,3hMsm8I7aY
1,left,0,1.067,ST,hard,4,3hMsm8I7aY
0,right,0,1.13,ST,hard,5,3hMsm8I7aY
1,left,0,0.98,ST,hard,6,3hMsm8I7aY
0,left,1,1.203,ST,hard,7,3hMsm8I7aY
0,left,1,1.037,ST,hard,8,3hMsm8I7aY
1,right,1,1.589,ST,hard,9,3hMsm8I7aY
1,left,0,1.344,ST,hard,10,3hMsm8I7aY
1,right,1,2.513,ST,hard,11,3hMsm8I7aY
0,left,1,1.413,ST,hard,12,3hMsm8I7aY
0,right,0,4.121,ST,hard,13,3hMsm8I7aY
0,right,0,1.7,ST,hard,14,3hMsm8I7aY
1,right,1,0.869,ST,hard,15,3hMsm8I7aY
1,right,1,3.646,ST,hard,16,3hMsm8I7aY
0,left,1,0.681,ST,medium,1,3hMsm8I7aY
1,right,1,0.786,ST,medium,2,3hMsm8I7aY
1,right,1,0.837,ST,medium,3,3hMsm8I7aY
0,right,0,0.869,ST,medium,4,3hMsm8I7aY
0,left,1,2.27,ST,medium,5,3hMsm8I7aY
1,right,1,0.705,ST,medium,6,3hMsm8I7aY
0,left,1,0.93,ST,medium,7,3hMsm8I7aY
0,left,1,1.82,ST,medium,8,3hMsm8I7aY
0,right,0,1.919,ST,medium,9,3hMsm8I7aY
0,left,1,2.086,ST,medium,10,3hMsm8I7aY
0,left,1,1.698,ST,medium,11,3hMsm8I7aY
0,right,0,1.279,ST,medium,12,3hMsm8I7aY
1,right,1,0.848,ST,medium,13,3hMsm8I7aY
0,right,0,1.136,ST,medium,14,3hMsm8I7aY
0,left,1,1.012,ST,medium,15,3hMsm8I7aY
1,left,0,1.013,ST,medium,16,3hMsm8I7aY
0,left,1,1.295,ST,easy,1,TM72GyUTkf
1,right,1,1.04,ST,easy,2,TM72GyUTkf
0,left,1,1.03,ST,easy,3,TM72GyUTkf
1,right,1,1.419,ST,easy,4,TM72GyUTkf
0,left,1,1.007,ST,easy,5,TM72GyUTkf
1,right,1,1.056,ST,easy,6,TM72GyUTkf
1,left,0,1.014,ST,easy,7,TM72GyUTkf
1,right,1,2.107,ST,easy,8,TM72GyUTkf
0,left,1,0.814,ST,easy,9,TM72GyUTkf
0,left,1,0.88,ST,easy,10,TM72GyUTkf
1,right,1,0.864,ST,easy,11,TM72GyUTkf
0,left,1,1.688,ST,easy,12,TM72GyUTkf
1,right,1,0.884,ST,easy,13,TM72GyUTkf
1,right,1,1,ST,easy,14,TM72GyUTkf
1,right,1,0.864,ST,easy,15,TM72GyUTkf
0,left,1,1.684,ST,easy,16,TM72GyUTkf
1,left,0,1.729,ST,hard,1,TM72GyUTkf
0,left,1,1.382,ST,hard,2,TM72GyUTkf
1,left,0,1.131,ST,hard,3,TM72GyUTkf
1,right,1,2.626,ST,hard,4,TM72GyUTkf
0,left,1,1.035,ST,hard,5,TM72GyUTkf
0,left,1,3.317,ST,hard,6,TM72GyUTkf
0,left,1,1.33,ST,hard,7,TM72GyUTkf
0,left,1,1.64,ST,hard,8,TM72GyUTkf
0,left,1,1.382,ST,hard,9,TM72GyUTkf
1,right,1,0.946,ST,hard,10,TM72GyUTkf
0,left,1,0.914,ST,hard,11,TM72GyUTkf
1,left,0,1.467,ST,hard,12,TM72GyUTkf
0,left,1,0.88,ST,hard,13,TM72GyUTkf
