id,level,task,rt,acc
1W5HQaoCSR,easy,ST,1.6103375,1
1W5HQaoCSR,hard,ST,1.4859499999999999,0.7142857142857143
1W5HQaoCSR,medium,ST,1.89684375,0.8125
2Rn7YC7ktN,easy,ST,0.7011875,1
2Rn7YC7ktN,hard,ST,1.3284266666666666,0.7333333333333333
2Rn7YC7ktN,medium,ST,0.7138769230769231,0.9230769230769231
2dX8HaA5QM,easy,ST,0.8809714285714286,1
2dX8HaA5QM,hard,ST,0.7945142857142857,0.5714285714285714
2dX8HaA5QM,medium,ST,1.008125,0.625
2vlCeeOoXs,easy,ST,0.9987333333333334,1
2vlCeeOoXs,hard,ST,1.29,0.6875
2vlCeeOoXs,medium,ST,1.1857857142857142,0.7142857142857143
3hMsm8I7aY,easy,ST,0.9983124999999999,1
3hMsm8I7aY,hard,ST,1.2433076923076922,0.5384615384615384
3hMsm8I7aY,medium,ST,1.2430625,0.6875
5oQkfRc0Dh,easy,ST,0.889275,1
5oQkfRc0Dh,hard,ST,1.14435625,0.5625
5oQkfRc0Dh,medium,ST,1.0417933333333333,0.7333333333333333
8BtJMmB1PT,easy,ST,0.9171125000625,1
8BtJMmB1PT,hard,ST,1.1429199998666666,0.6
8BtJMmB1PT,medium,ST,1.245125,0.75
8PPM98ESGr,easy,ST,0.7052071428571428,0.9285714285714286
8PPM98ESGr,hard,ST,0.9009533333333334,0.8666666666666667
8PPM98ESGr,medium,ST,0.9289571428571429,0.9285714285714286
8eLeJBm5SV,easy,ST,1.3064666666666667,1
8eLeJBm5SV,hard,ST,1.3441785714285714,0.7857142857142857
8eLeJBm5SV,medium,ST,1.579175,0.625
8xVAczfPKp,easy,ST,1.038625,0.9375
8xVAczfPKp,hard,ST,0.9056928571428572,0.7857142857142857
8xVAczfPKp,medium,ST,0.78555,0.6428571428571429
DoJgv77gQp,easy,ST,0.7414933333333333,1
DoJgv77gQp,hard,ST,1.1481785714285715,0.6428571428571429
DoJgv77gQp,medium,ST,0.8928733333333333,0.8
EgEJAn9pKN,easy,ST,0.7568874999999999,1
EgEJAn9pKN,hard,ST,1.201875,0.6875
EgEJAn9pKN,medium,ST,0.8934125,0.9375
ExbVOsMHAA,easy,ST,0.9983333333333333,0.9333333333333333
ExbVOsMHAA,hard,ST,1.3524,0.6666666666666666
ExbVOsMHAA,medium,ST,0.8114666666666667,0.8666666666666667
FDaGWmAPTr,easy,ST,0.8732466666666666,1
FDaGWmAPTr,hard,ST,1.4620933333333332,0.7333333333333333
FDaGWmAPTr,medium,ST,1.3629466666666668,0.9333333333333333
FfPm6QztsA,easy,ST,0.748376923076923,1
FfPm6QztsA,hard,ST,1.47381875,0.8125
FfPm6QztsA,medium,ST,1.3105266666666666,1
GJzcwSPe9Z,easy,ST,2.2264285714285714,1
GJzcwSPe9Z,hard,ST,1.4626923076923077,0.9230769230769231
GJzcwSPe9Z,medium,ST,2.0955,0.8571428571428571
Go0eoSC1Hu,easy,ST,0.75252,1
Go0eoSC1Hu,hard,ST,1.20705625,0.75
Go0eoSC1Hu,medium,ST,1.726057142857143,0.9285714285714286
HF94YUUt2C,easy,ST,0.832025,1
HF94YUUt2C,hard,ST,0.71714,0.7333333333333333
HF94YUUt2C,medium,ST,0.9451133333333334,0.8666666666666667
HajArhl9Mf,easy,ST,1.48895625,1
HajArhl9Mf,hard,ST,2.2184785714285713,0.7857142857142857
HajArhl9Mf,medium,ST,1.87818,1
HmPsw2WtYS,easy,ST,1.0025875,1
HmPsw2WtYS,hard,ST,0.7909933333333333,0.6666666666666666
HmPsw2WtYS,medium,ST,1.545,0.75
Hxjg3OTYhu,easy,ST,1.326326667,1
Hxjg3OTYhu,hard,ST,1.1671933332,0.7333333333333333
Hxjg3OTYhu,medium,ST,1.7833625001875,0.8125
I64skoy66n,easy,ST,1.1651666666666667,1
I64skoy66n,hard,ST,1.9185133333333333,0.6666666666666666
I64skoy66n,medium,ST,1.4701875,0.625
IMJ2Wgu1zI,easy,ST,1.12264,1
IMJ2Wgu1zI,hard,ST,1.2222375,0.625
IMJ2Wgu1zI,medium,ST,1.2780285714285715,0.6428571428571429
JP0BqEE4Fj,easy,ST,1.5686375,1
JP0BqEE4Fj,hard,ST,1.4775571428571428,0.42857142857142855
JP0BqEE4Fj,medium,ST,1.4070875,0.6875
JpDUHBwJT1,easy,ST,1.2907428571428572,0.9285714285714286
JpDUHBwJT1,hard,ST,1.9317312500000001,0.625
JpDUHBwJT1,medium,ST,2.2212375,0.875
KCZtWafWV1,easy,ST,0.60512,1
KCZtWafWV1,hard,ST,0.74342,0.3333333333333333
KCZtWafWV1,medium,ST,0.691725,0.875
LMH4MBXVwL,easy,ST,0.76024,1
LMH4MBXVwL,hard,ST,0.8965466666666667,0.8
LMH4MBXVwL,medium,ST,0.7015769230769231,0.7692307692307693
OSi3LnpELr,easy,ST,1.0331125,1
OSi3LnpELr,hard,ST,1.1695428571428572,0.6428571428571429
OSi3LnpELr,medium,ST,0.9678,1
