id,level,task,rt,acc
0a4DqEEKSb,easy,ST,0.95365,1
0a4DqEEKSb,hard,ST,0.838223076923077,0.38461538461538464
0a4DqEEKSb,medium,ST,0.9258928571428572,0.7142857142857143
0dkwUmCwzJ,easy,ST,0.8423142857142857,1
0dkwUmCwzJ,hard,ST,0.8243461538461538,0.9230769230769231
0dkwUmCwzJ,medium,ST,1.38115625,0.875
0wY7q7AFDw,easy,ST,0.6986714285714286,1
0wY7q7AFDw,hard,ST,0.8949307692307692,0.5384615384615384
0wY7q7AFDw,medium,ST,0.7740538461538462,0.8461538461538461
12zOSfawTO,easy,ST,0.5801937500000001,0.625
12zOSfawTO,hard,ST,0.88082,0.6
12zOSfawTO,medium,ST,0.06810000000000001,0.375
2HJHCZEQE1,easy,ST,1.70808,1
2HJHCZEQE1,hard,ST,3.5963214285714287,1
2HJHCZEQE1,medium,ST,1.6543846153846153,0.9230769230769231
2W50OifXwA,easy,ST,1.0796875,1
2W50OifXwA,hard,ST,1.0094,0.8666666666666667
2W50OifXwA,medium,ST,1.3042,0.9333333333333333
4PjgFYmt2Z,easy,ST,1.37035625,1
4PjgFYmt2Z,hard,ST,1.1653428571428572,0.7142857142857143
4PjgFYmt2Z,medium,ST,1.3062666666666667,1
5oMH7YJKDi,easy,ST,1.10775,1
5oMH7YJKDi,hard,ST,1.1509375,0.9375
5oMH7YJKDi,medium,ST,1.2705625,0.875
6xDo1DDaCf,easy,ST,1.5002666666666666,1
6xDo1DDaCf,hard,ST,2.1706,1
6xDo1DDaCf,medium,ST,1.9464375,1
7SltMY2Jba,easy,ST,0.8185333333333333,1
7SltMY2Jba,hard,ST,1.342875,0.6875
7SltMY2Jba,medium,ST,1.0293125,0.875
7s1EYKyluI,easy,ST,1.00343125,1
7s1EYKyluI,hard,ST,0.9290666666666667,0.6
7s1EYKyluI,medium,ST,1.0286285714285714,0.9285714285714286
8EBFmIUfAy,easy,ST,0.9650454545454545,1
8EBFmIUfAy,hard,ST,1.3958125,0.75
8EBFmIUfAy,medium,ST,1.52956,0.8666666666666667
8JrN5VwG94,easy,ST,1.085,1
8JrN5VwG94,hard,ST,1.1106,0.6
8JrN5VwG94,medium,ST,1.1850666666666667,0.8
