task_type,choice,n,w,id,pool
mental_rotation,EF,4,0.26666666666666666,jKBHzXx0Pg,pool1
mental_rotation,FR,3,0.2,jKBHzXx0Pg,pool1
mental_rotation,ME,5,0.3333333333333333,jKBHzXx0Pg,pool1
mental_rotation,PE,2,0.13333333333333333,jKBHzXx0Pg,pool1
mental_rotation,TI,1,0.06666666666666667,jKBHzXx0Pg,pool1
mental_span,EF,4,0.26666666666666666,jKBHzXx0Pg,pool1
mental_span,FR,2,0.13333333333333333,jKBHzXx0Pg,pool1
mental_span,ME,3,0.2,jKBHzXx0Pg,pool1
mental_span,PE,1,0.06666666666666667,jKBHzXx0Pg,pool1
mental_span,TI,5,0.3333333333333333,jKBHzXx0Pg,pool1
sternberg,EF,3,0.2,jKBHzXx0Pg,pool1
sternberg,FR,1,0.06666666666666667,jKBHzXx0Pg,pool1
sternberg,ME,2,0.13333333333333333,jKBHzXx0Pg,pool1
sternberg,PE,4,0.26666666666666666,jKBHzXx0Pg,pool1
sternberg,TI,5,0.3333333333333333,jKBHzXx0Pg,pool1
mental_rotation,EF,3,0.2,TqUBvW8Aaz,pool1
mental_rotation,FR,4,0.26666666666666666,TqUBvW8Aaz,pool1
mental_rotation,ME,5,0.3333333333333333,TqUBvW8Aaz,pool1
mental_rotation,PE,2,0.13333333333333333,TqUBvW8Aaz,pool1
mental_rotation,TI,1,0.06666666666666667,TqUBvW8Aaz,pool1
mental_span,EF,3,0.2,TqUBvW8Aaz,pool1
mental_span,FR,2,0.13333333333333333,TqUBvW8Aaz,pool1
mental_span,ME,4,0.26666666666666666,TqUBvW8Aaz,pool1
mental_span,PE,1,0.06666666666666667,TqUBvW8Aaz,pool1
mental_span,TI,5,0.3333333333333333,TqUBvW8Aaz,pool1
sternberg,EF,2,0.13333333333333333,TqUBvW8Aaz,pool1
sternberg,FR,3,0.2,TqUBvW8Aaz,pool1
sternberg,ME,1,0.06666666666666667,TqUBvW8Aaz,pool1
sternberg,PE,3,0.2,TqUBvW8Aaz,pool1
sternberg,PH,1,0.06666666666666667,TqUBvW8Aaz,pool1
sternberg,TI,5,0.3333333333333333,TqUBvW8Aaz,pool1
mental_rotation,EF,2,0.13333333333333333,WAh9qhgg6o,pool1
mental_rotation,FR,3,0.2,WAh9qhgg6o,pool1
mental_rotation,ME,4,0.26666666666666666,WAh9qhgg6o,pool1
mental_rotation,PE,3,0.2,WAh9qhgg6o,pool1
mental_rotation,PH,1,0.06666666666666667,WAh9qhgg6o,pool1
mental_rotation,TI,2,0.13333333333333333,WAh9qhgg6o,pool1
mental_span,EF,3,0.2,WAh9qhgg6o,pool1
mental_span,ME,3,0.2,WAh9qhgg6o,pool1
mental_span,PE,1,0.06666666666666667,WAh9qhgg6o,pool1
mental_span,PH,3,0.2,WAh9qhgg6o,pool1
mental_span,TI,5,0.3333333333333333,WAh9qhgg6o,pool1
sternberg,EF,1,0.06666666666666667,WAh9qhgg6o,pool1
sternberg,FR,2,0.13333333333333333,WAh9qhgg6o,pool1
sternberg,ME,4,0.26666666666666666,WAh9qhgg6o,pool1
sternberg,PE,3,0.2,WAh9qhgg6o,pool1
sternberg,TI,5,0.3333333333333333,WAh9qhgg6o,pool1
mental_rotation,EF,4,0.26666666666666666,6xDo1DDaCf,pool1
mental_rotation,FR,1,0.06666666666666667,6xDo1DDaCf,pool1
mental_rotation,ME,3,0.2,6xDo1DDaCf,pool1
mental_rotation,PE,5,0.3333333333333333,6xDo1DDaCf,pool1
mental_rotation,TI,2,0.13333333333333333,6xDo1DDaCf,pool1
mental_span,EF,2,0.13333333333333333,6xDo1DDaCf,pool1
mental_span,FR,1,0.06666666666666667,6xDo1DDaCf,pool1
