task,level,id,rt,acc
MR,easy,0dkwUmCwzJ,1.6965933333333334,0.3333333333333333
MR,easy,0wY7q7AFDw,4.37228,0.8666666666666667
MR,easy,12zOSfawTO,3.1079714285714286,0.5714285714285714
MR,easy,2HJHCZEQE1,6.4808375,1
MR,easy,5oMH7YJKDi,2.6832666666666665,1
MR,easy,6xDo1DDaCf,4.022642857142857,1
MR,easy,7SltMY2Jba,6.6205384615384615,1
MR,easy,7s1EYKyluI,1.5693428571428572,0.5
MR,easy,8EBFmIUfAy,2.95476,0.6666666666666666
MR,easy,9ZffIZqFHz,5.57885,0.9375
MR,easy,DVCsNitb7p,5.126713333333333,0.9333333333333333
MR,easy,E1wQ16OGRS,7.7728214285714285,0.9285714285714286
MR,easy,E6k5x9v8pf,2.4725625,0.9375
MR,easy,Fd15tXKjh3,4.185214285714285,1
MR,easy,FgaXoRhEpQ,5.97468,1
MR,easy,GxpGXkXK8v,1.89296875,0.625
MR,easy,HV4ueBgaoL,1.90585,0.35714285714285715
MR,easy,JIY5GSm8aI,4.642573333333333,0.6666666666666666
MR,easy,KMzkcoEoDX,2.11586,1
MR,easy,O0ngZJhb9l,6.0965375,0.5625
MR,easy,PbOEQpRS9f,2.305,0.7857142857142857
MR,easy,PkgTbVVI07,2.6955125,0.5625
MR,easy,Q479YcpCNr,4.74954,0.6
MR,easy,TqUBvW8Aaz,4.45914,0.4666666666666667
MR,easy,V4epNAqh9h,1.628875,0.3125
MR,easy,W98TU3XJxb,4.63684375,0.9375
MR,easy,WAh9qhgg6o,3.8335,0.9285714285714286
MR,easy,WQyxRdU13t,9.591733333333334,1
MR,easy,YlvUbMLU90,3.71126875,0.875
MR,easy,aqEAPJJI8e,2.34624,0.4666666666666667
MR,easy,bKUxjX0i0W,2.22659375,0.5625
MR,easy,cCWrG11sgp,4.380646666666666,0.7333333333333333
MR,easy,cGANl4iQl1,3.21162,0.8666666666666667
MR,easy,cSI9W49vxo,1.7021076923076923,0.8461538461538461
MR,easy,cdCa7qlKqK,5.169086666666667,0.8
MR,easy,gI6hCgCchT,6.990566666666667,0.6666666666666666
MR,easy,h3qLkF1oCE,2.1187933333333335,0.3333333333333333
MR,easy,jDL2pqqoXv,2.797357142857143,0.42857142857142855
MR,easy,jKBHzXx0Pg,6.2319466666666665,0.8666666666666667
MR,easy,kGWL9y5AS9,5.61683125,0.5625
MR,easy,ky7vtw0gdz,0.08879285714285715,0.5
MR,easy,lO4tI9SjJX,7.2245928571428575,0.9285714285714286
MR,easy,ntoLpzjCrW,3.0205153846153845,0.6923076923076923
MR,easy,pevbr5tS1I,4.094525,0.5625
MR,easy,rh40WUcVcA,0.8502545454545455,0.6363636363636364
MR,easy,sPXXgeOo7t,1.2833133333333333,0.5333333333333333
MR,easy,ttxEdLIMGM,9.356753846153847,0.8461538461538461
MR,easy,u8oFh0ZHHs,0.9988230769230769,0.5384615384615384
MR,easy,ujNKR4re1M,3.2960000000000003,0.8666666666666667
MR,easy,vBoSbHJ7AD,9.549,0.8
MR,easy,wBsXFrRWgF,3.797725,0.9375
MR,easy,wiRZfBYOru,5.946575,0.6875
MR,easy,woSzLv5BIV,2.49135625,0.25
MR,easy,yTPpr0532t,5.45125,0.375
