task,level,id,scale,score
MS,easy,jKBHzXx0Pg,ME,55
MS,easy,jKBHzXx0Pg,PH,35
MS,easy,jKBHzXx0Pg,TI,45
MS,easy,jKBHzXx0Pg,PE,5
MS,easy,jKBHzXx0Pg,EF,55
MS,easy,jKBHzXx0Pg,FR,40
ST,easy,jKBHzXx0Pg,ME,55
ST,easy,jKBHzXx0Pg,PH,20
ST,easy,jKBHzXx0Pg,TI,60
ST,easy,jKBHzXx0Pg,PE,5
ST,easy,jKBHzXx0Pg,EF,60
ST,easy,jKBHzXx0Pg,FR,55
MR,easy,jKBHzXx0Pg,ME,70
MR,easy,jKBHzXx0Pg,PH,20
MR,easy,jKBHzXx0Pg,TI,45
MR,easy,jKBHzXx0Pg,PE,15
MR,easy,jKBHzXx0Pg,EF,65
MR,easy,jKBHzXx0Pg,FR,40
MS,medium,jKBHzXx0Pg,ME,75
MS,medium,jKBHzXx0Pg,PH,45
MS,medium,jKBHzXx0Pg,TI,80
MS,medium,jKBHzXx0Pg,PE,10
MS,medium,jKBHzXx0Pg,EF,80
MS,medium,jKBHzXx0Pg,FR,75
ST,hard,jKBHzXx0Pg,ME,75
ST,hard,jKBHzXx0Pg,PH,25
ST,hard,jKBHzXx0Pg,TI,80
ST,hard,jKBHzXx0Pg,PE,15
ST,hard,jKBHzXx0Pg,EF,75
ST,hard,jKBHzXx0Pg,FR,62
MS,hard,jKBHzXx0Pg,ME,90
MS,hard,jKBHzXx0Pg,PH,55
MS,hard,jKBHzXx0Pg,TI,85
MS,hard,jKBHzXx0Pg,PE,25
MS,hard,jKBHzXx0Pg,EF,90
MS,hard,jKBHzXx0Pg,FR,90
ST,medium,jKBHzXx0Pg,ME,60
ST,medium,jKBHzXx0Pg,PH,20
ST,medium,jKBHzXx0Pg,TI,67
ST,medium,jKBHzXx0Pg,PE,7
ST,medium,jKBHzXx0Pg,EF,65
ST,medium,jKBHzXx0Pg,FR,35
MR,medium,jKBHzXx0Pg,ME,59
MR,medium,jKBHzXx0Pg,PH,30
MR,medium,jKBHzXx0Pg,TI,45
MR,medium,jKBHzXx0Pg,PE,17
MR,medium,jKBHzXx0Pg,EF,60
MR,medium,jKBHzXx0Pg,FR,65
MR,hard,jKBHzXx0Pg,ME,75
MR,hard,jKBHzXx0Pg,PH,35
MR,hard,jKBHzXx0Pg,TI,60
MR,hard,jKBHzXx0Pg,PE,27
MR,hard,jKBHzXx0Pg,EF,77
MR,hard,jKBHzXx0Pg,FR,70
MS,easy,TqUBvW8Aaz,ME,34
MS,easy,TqUBvW8Aaz,PH,16
MS,easy,TqUBvW8Aaz,TI,15
MS,easy,TqUBvW8Aaz,PE,6
MS,easy,TqUBvW8Aaz,EF,25
MS,easy,TqUBvW8Aaz,FR,20
ST,hard,TqUBvW8Aaz,ME,65
ST,hard,TqUBvW8Aaz,PH,25
ST,hard,TqUBvW8Aaz,TI,99
ST,hard,TqUBvW8Aaz,PE,50
ST,hard,TqUBvW8Aaz,EF,70
ST,hard,TqUBvW8Aaz,FR,79
MS,medium,TqUBvW8Aaz,ME,94
MS,medium,TqUBvW8Aaz,PH,50
MS,medium,TqUBvW8Aaz,TI,80
MS,medium,TqUBvW8Aaz,PE,6
MS,medium,TqUBvW8Aaz,EF,95
MS,medium,TqUBvW8Aaz,FR,98
MR,medium,TqUBvW8Aaz,ME,90
MR,medium,TqUBvW8Aaz,PH,50
MR,medium,TqUBvW8Aaz,TI,16
MR,medium,TqUBvW8Aaz,PE,35
MR,medium,TqUBvW8Aaz,EF,80
MR,medium,TqUBvW8Aaz,FR,91
MR,hard,TqUBvW8Aaz,ME,90
MR,hard,TqUBvW8Aaz,PH,48
MR,hard,TqUBvW8Aaz,TI,26
MR,hard,TqUBvW8Aaz,PE,49
MR,hard,TqUBvW8Aaz,EF,80
MR,hard,TqUBvW8Aaz,FR,81
ST,easy,TqUBvW8Aaz,ME,25
ST,easy,TqUBvW8Aaz,PH,16
ST,easy,TqUBvW8Aaz,TI,35
ST,easy,TqUBvW8Aaz,PE,6
ST,easy,TqUBvW8Aaz,EF,21
ST,easy,TqUBvW8Aaz,FR,30
MR,easy,TqUBvW8Aaz,ME,21
MR,easy,TqUBvW8Aaz,PH,11
MR,easy,TqUBvW8Aaz,TI,14
MR,easy,TqUBvW8Aaz,PE,34
MR,easy,TqUBvW8Aaz,EF,50
MR,easy,TqUBvW8Aaz,FR,54
ST,medium,TqUBvW8Aaz,ME,80
ST,medium,TqUBvW8Aaz,PH,36
ST,medium,TqUBvW8Aaz,TI,99
ST,medium,TqUBvW8Aaz,PE,50
ST,medium,TqUBvW8Aaz,EF,84
ST,medium,TqUBvW8Aaz,FR,90
MS,hard,TqUBvW8Aaz,ME,100
MS,hard,TqUBvW8Aaz,PH,50
MS,hard,TqUBvW8Aaz,TI,99
MS,hard,TqUBvW8Aaz,PE,50
MS,hard,TqUBvW8Aaz,EF,100
MS,hard,TqUBvW8Aaz,FR,100
MS,easy,WAh9qhgg6o,ME,75
MS,easy,WAh9qhgg6o,PH,25
MS,easy,WAh9qhgg6o,TI,45
MS,easy,WAh9qhgg6o,PE,10
MS,easy,WAh9qhgg6o,EF,60
MS,easy,WAh9qhgg6o,FR,25
MS,medium,WAh9qhgg6o,ME,80
MS,medium,WAh9qhgg6o,PH,40
MS,medium,WAh9qhgg6o,TI,90
MS,medium,WAh9qhgg6o,PE,45
MS,medium,WAh9qhgg6o,EF,80
