task,level,id,ME,PH,TI,PE,EF,FR,OW
MS,hard,3hMsm8I7aY,97,1,76,35,78,100,387
MS,easy,3hMsm8I7aY,87,NA,55,11,62,64,NA
MR,medium,3hMsm8I7aY,98,3,2,46,85,66,300
MR,hard,3hMsm8I7aY,67,2,4,48,64,72,257
MR,easy,3hMsm8I7aY,65,1,2,46,5,58,177
ST,hard,3hMsm8I7aY,98,64,98,88,89,100,537
ST,medium,3hMsm8I7aY,67,NA,76,3,60,91,NA
MS,medium,3hMsm8I7aY,88,19,8,9,71,74,269
ST,easy,3hMsm8I7aY,70,53,72,2,65,72,334
MS,medium,TM72GyUTkf,60,10,81,55,60,61,327
MR,medium,TM72GyUTkf,63,27,0,80,38,60,268
ST,hard,TM72GyUTkf,43,11,92,85,44,85,360
ST,medium,TM72GyUTkf,60,3,60,35,64,34,256
MS,hard,TM72GyUTkf,67,9,86,78,68,42,350
MR,hard,TM72GyUTkf,60,20,1,70,61,62,274
MS,easy,TM72GyUTkf,41,3,7,4,15,10,80
MR,easy,TM72GyUTkf,9,7,1,78,42,54,191
ST,easy,TM72GyUTkf,15,8,32,18,11,2,86
MS,easy,vXDUnP6HMG,9,2,18,0,16,0,45
ST,easy,vXDUnP6HMG,41,5,45,11,45,59,206
MR,hard,vXDUnP6HMG,93,2,16,40,90,94,335
MR,medium,vXDUnP6HMG,81,4,10,20,85,75,275
ST,medium,vXDUnP6HMG,86,4,93,40,85,75,383
MR,easy,vXDUnP6HMG,16,1,1,20,25,11,74
ST,hard,vXDUnP6HMG,100,0,99,85,100,95,479
MS,hard,vXDUnP6HMG,100,0,95,45,99,85,424
MS,medium,vXDUnP6HMG,70,11,60,15,74,65,295
MS,hard,Go0eoSC1Hu,40,38,50,51,69,41,289
MR,easy,Go0eoSC1Hu,49,25,24,27,25,22,172
ST,medium,Go0eoSC1Hu,50,30,51,50,54,44,279
MS,medium,Go0eoSC1Hu,36,25,25,26,49,17,178
MS,easy,Go0eoSC1Hu,29,23,15,7,13,3,90
ST,easy,Go0eoSC1Hu,32,18,11,6,15,3,85
ST,hard,Go0eoSC1Hu,NA,99,99,90,85,93,NA
MR,medium,Go0eoSC1Hu,50,26,26,20,29,8,159
MR,hard,Go0eoSC1Hu,50,20,20,38,62,12,202
MS,medium,uofo7FKPdo,98,34,100,52,90,90,464
MR,medium,uofo7FKPdo,21,1,1,33,61,61,178
MS,easy,uofo7FKPdo,0,8,4,5,6,57,80
ST,easy,uofo7FKPdo,2,4,1,0,0,1,8
MR,easy,uofo7FKPdo,26,32,1,57,25,19,160
ST,medium,uofo7FKPdo,8,1,15,67,20,6,117
MR,hard,uofo7FKPdo,75,1,3,82,17,91,269
MS,hard,uofo7FKPdo,88,NA,79,75,69,12,NA
ST,hard,uofo7FKPdo,92,1,81,NA,21,15,NA
ST,medium,VEZTZ89Pge,80,64,95,63,67,85,454
MR,hard,VEZTZ89Pge,85,71,37,53,87,65,398
ST,hard,VEZTZ89Pge,74,68,92,89,66,86,475
MS,medium,VEZTZ89Pge,78,67,88,75,79,80,467
ST,easy,VEZTZ89Pge,62,48,43,33,42,42,270
MR,easy,VEZTZ89Pge,40,34,23,28,40,42,207
MR,medium,VEZTZ89Pge,60,43,30,59,59,45,296
MS,hard,VEZTZ89Pge,69,61,83,88,55,51,407
MS,easy,VEZTZ89Pge,27,NA,28,29,35,15,NA
ST,easy,HF94YUUt2C,15,0,15,0,25,19,74
MR,hard,HF94YUUt2C,65,10,0,40,70,65,250
MR,medium,HF94YUUt2C,70,11,5,49,71,78,284
MS,hard,HF94YUUt2C,84,1,86,39,92,50,352
MS,medium,HF94YUUt2C,75,10,95,25,90,49,344
MR,easy,HF94YUUt2C,60,1,3,39,72,64,239
ST,medium,HF94YUUt2C,77,5,93,43,86,90,394
ST,hard,HF94YUUt2C,97,3,98,51,75,98,422
MS,easy,HF94YUUt2C,49,4,21,8,60,17,159
MR,hard,z93bJWn4hw,75,4,50,46,55,15,245
MS,hard,z93bJWn4hw,60,30,81,60,60,45,336
ST,medium,z93bJWn4hw,60,20,60,85,NA,55,NA
MS,medium,z93bJWn4hw,51,NA,58,35,40,21,NA
MR,easy,z93bJWn4hw,15,10,10,10,15,15,75
MS,easy,z93bJWn4hw,45,30,30,0,25,15,145
ST,hard,z93bJWn4hw,65,12,90,95,55,55,372
MR,medium,z93bJWn4hw,55,10,15,50,55,35,220
ST,easy,z93bJWn4hw,5,5,10,1,36,35,92
MS,medium,PsevAJnzJ0,65,0,50,45,64,57,281
MR,hard,PsevAJnzJ0,65,0,27,48,58,67,265
MR,easy,PsevAJnzJ0,46,1,33,43,52,57,232
MR,medium,PsevAJnzJ0,65,0,50,50,54,72,291
ST,medium,PsevAJnzJ0,50,0,59,48,54,50,261
ST,easy,PsevAJnzJ0,32,0,48,13,62,51,206
ST,hard,PsevAJnzJ0,56,0,68,52,57,51,284
MS,hard,PsevAJnzJ0,71,0,76,86,73,60,366
MS,easy,PsevAJnzJ0,33,0,24,1,41,27,126
MR,easy,Piksbkqbn1,74,5,20,36,80,50,265
MR,hard,Piksbkqbn1,90,9,50,80,65,63,357
MS,hard,Piksbkqbn1,95,6,90,80,90,70,431
MR,medium,Piksbkqbn1,69,2,65,85,55,40,316
MS,medium,Piksbkqbn1,99,1,75,55,89,66,385
MS,easy,Piksbkqbn1,50,0,13,10,19,12,104
ST,medium,Piksbkqbn1,81,2,NA,95,78,56,NA
ST,hard,Piksbkqbn1,92,2,100,96,65,55,410
ST,easy,Piksbkqbn1,50,0,27,24,32,17,150
ST,easy,dWejUN00z6,30,5,50,50,20,21,176
ST,hard,dWejUN00z6,50,5,49,99,20,5,228
ST,medium,dWejUN00z6,50,4,50,95,10,10,219
MS,medium,dWejUN00z6,51,5,5,70,30,30,191
MS,hard,dWejUN00z6,50,6,24,76,24,24,204
MS,easy,dWejUN00z6,50,5,10,60,25,25,175
MR,hard,dWejUN00z6,6,6,6,99,10,10,137
MR,medium,dWejUN00z6,10,6,6,100,5,5,132
MR,easy,dWejUN00z6,5,5,5,99,5,5,124
MS,easy,qG1rKdXNBQ,1,1,0,1,0,2,5
ST,hard,qG1rKdXNBQ,89,31,98,39,98,66,421
MR,medium,qG1rKdXNBQ,94,42,23,36,91,13,299
MR,easy,qG1rKdXNBQ,97,17,32,69,98,76,389
MS,hard,qG1rKdXNBQ,58,15,58,13,23,22,189
ST,medium,qG1rKdXNBQ,13,12,13,8,12,3,61
MS,medium,qG1rKdXNBQ,2,3,2,3,1,4,15
ST,easy,qG1rKdXNBQ,2,2,2,7,2,2,17
MR,hard,qG1rKdXNBQ,94,56,7,62,98,98,415
ST,medium,2dX8HaA5QM,75,65,80,45,75,65,405
MS,medium,2dX8HaA5QM,94,85,90,89,85,75,518
MR,hard,2dX8HaA5QM,80,70,29,45,70,35,329
ST,easy,2dX8HaA5QM,60,55,65,40,60,45,325
MS,hard,2dX8HaA5QM,85,75,85,88,95,90,518
MS,easy,2dX8HaA5QM,60,54,50,7,65,30,266
MR,easy,2dX8HaA5QM,57,57,35,16,60,30,255
MR,medium,2dX8HaA5QM,60,55,34,25,55,35,264
ST,hard,2dX8HaA5QM,80,70,85,77,84,84,480
ST,easy,jipsxYWATF,10,0,5,0,10,0,25
MR,medium,jipsxYWATF,55,0,0,45,45,10,155
ST,hard,jipsxYWATF,50,0,35,45,0,5,135
MS,easy,jipsxYWATF,5,0,0,0,5,0,10
MS,hard,jipsxYWATF,60,0,66,69,60,5,260
MS,medium,jipsxYWATF,25,0,15,20,10,0,70
MR,hard,jipsxYWATF,44,0,0,40,35,0,119
ST,medium,jipsxYWATF,15,0,5,20,15,1,56
MR,easy,jipsxYWATF,20,1,0,35,20,1,77
MR,easy,1W5HQaoCSR,5,0,0,50,15,5,75
ST,medium,1W5HQaoCSR,35,0,50,15,10,15,125
MR,medium,1W5HQaoCSR,70,0,0,60,20,5,155
ST,easy,1W5HQaoCSR,40,20,5,15,25,5,110
MS,hard,1W5HQaoCSR,80,NA,76,78,61,61,NA
MS,medium,1W5HQaoCSR,49,33,50,41,47,6,226
MR,hard,1W5HQaoCSR,70,39,7,75,76,54,321
ST,hard,1W5HQaoCSR,68,35,99,84,51,52,389
MS,easy,1W5HQaoCSR,0,NA,0,1,0,0,NA
MR,easy,qn7iE4w9eA,50,50,5,50,75,50,280
ST,easy,qn7iE4w9eA,10,25,50,15,50,85,235
MR,hard,qn7iE4w9eA,70,75,5,65,75,90,380
ST,medium,qn7iE4w9eA,25,15,95,65,90,95,385
MS,easy,qn7iE4w9eA,10,20,5,5,55,70,165
MS,medium,qn7iE4w9eA,15,30,50,65,75,85,320
MR,medium,qn7iE4w9eA,50,50,15,65,75,65,320
ST,hard,qn7iE4w9eA,50,50,100,75,80,100,455
MS,hard,qn7iE4w9eA,50,75,75,80,85,95,460
ST,easy,kuTZjru3VL,21,4,50,6,25,36,142
MR,hard,kuTZjru3VL,46,3,35,18,35,2,139
ST,medium,kuTZjru3VL,44,4,27,44,21,13,153
MS,easy,kuTZjru3VL,16,2,4,1,6,NA,NA
MS,hard,kuTZjru3VL,72,1,58,34,83,3,251
ST,hard,kuTZjru3VL,28,2,90,91,9,17,237
MR,medium,kuTZjru3VL,49,1,9,10,39,4,112
MR,easy,kuTZjru3VL,26,NA,8,5,13,3,NA
MS,medium,kuTZjru3VL,42,1,33,20,9,15,120
MR,medium,antN5ck5Ic,91,16,16,70,82,75,350
MR,hard,antN5ck5Ic,86,26,20,69,90,75,366
MS,hard,antN5ck5Ic,100,62,89,57,91,95,494
ST,hard,antN5ck5Ic,78,22,74,43,49,64,330
ST,medium,antN5ck5Ic,73,17,83,45,47,56,321
MS,medium,antN5ck5Ic,67,69,23,0,28,10,197
ST,easy,antN5ck5Ic,8,8,8,0,3,1,28
MS,easy,antN5ck5Ic,2,21,3,0,19,7,52
MR,easy,antN5ck5Ic,32,29,0,8,16,8,93
MS,medium,lqSj6DxkoP,30,4,17,1,32,0,84
MR,medium,lqSj6DxkoP,47,1,0,15,56,3,122
MS,hard,lqSj6DxkoP,84,0,100,29,98,79,390
MR,easy,lqSj6DxkoP,15,1,1,5,5,1,28
ST,easy,lqSj6DxkoP,11,1,44,1,27,1,85
ST,medium,lqSj6DxkoP,54,0,86,23,75,54,292
ST,hard,lqSj6DxkoP,100,5,100,40,99,100,444
MR,hard,lqSj6DxkoP,62,0,0,14,73,28,177
MS,easy,lqSj6DxkoP,7,7,3,1,19,0,37
ST,easy,urmN2MGqMI,5,5,5,0,45,10,70
MR,hard,urmN2MGqMI,90,15,65,70,75,55,370
MS,hard,urmN2MGqMI,90,20,80,40,75,60,365
ST,hard,urmN2MGqMI,75,10,85,25,70,60,325
MR,easy,urmN2MGqMI,65,5,50,40,70,40,270
MR,medium,urmN2MGqMI,80,10,70,45,69,60,334
ST,medium,urmN2MGqMI,45,5,45,15,80,40,230
MS,medium,urmN2MGqMI,70,6,61,20,NA,40,NA
MS,easy,urmN2MGqMI,55,4,55,15,60,40,229
MR,easy,d51zamtky2,25,0,0,11,21,1,58
MS,medium,d51zamtky2,49,0,50,35,59,1,194
ST,hard,d51zamtky2,0,0,0,49,1,1,51
ST,medium,d51zamtky2,0,0,0,12,5,0,17
MS,hard,d51zamtky2,79,0,0,50,83,0,212
MR,hard,d51zamtky2,68,0,0,38,50,0,156
MR,medium,d51zamtky2,63,0,1,39,49,1,153
MS,easy,d51zamtky2,50,0,1,1,33,0,85
ST,easy,d51zamtky2,15,0,0,5,43,0,63
MR,easy,EgEJAn9pKN,25,5,2,8,8,5,53
ST,hard,EgEJAn9pKN,73,8,94,75,74,66,390
MS,easy,EgEJAn9pKN,23,10,12,9,13,10,77
MS,hard,EgEJAn9pKN,85,6,4,65,85,18,263
ST,medium,EgEJAn9pKN,83,11,83,71,70,58,376
MR,hard,EgEJAn9pKN,59,8,7,34,65,22,195
MS,medium,EgEJAn9pKN,70,9,11,34,68,8,200
ST,easy,EgEJAn9pKN,20,13,7,13,20,20,93
MR,medium,EgEJAn9pKN,53,30,21,76,35,57,272
MR,easy,W3y75sVKt1,70,3,10,50,40,65,238
ST,easy,W3y75sVKt1,30,1,15,15,14,19,94
ST,medium,W3y75sVKt1,65,4,16,85,58,69,297
ST,hard,W3y75sVKt1,76,4,26,94,68,78,346
MS,easy,W3y75sVKt1,22,3,12,5,12,8,62
MS,medium,W3y75sVKt1,29,1,14,21,37,37,139
MR,medium,W3y75sVKt1,77,5,14,64,72,72,304
MS,hard,W3y75sVKt1,73,5,26,67,69,59,299
MR,hard,W3y75sVKt1,43,3,18,36,34,43,177
MS,medium,soqMs9Hfya,80,35,60,25,75,55,330
ST,medium,soqMs9Hfya,30,5,70,15,40,75,235
ST,hard,soqMs9Hfya,80,65,80,80,75,90,470
MR,hard,soqMs9Hfya,75,75,5,15,65,25,260
ST,easy,soqMs9Hfya,10,5,5,5,10,10,45
MS,easy,soqMs9Hfya,10,10,10,0,10,40,80
MR,easy,soqMs9Hfya,25,20,5,5,25,15,95
MR,medium,soqMs9Hfya,20,15,5,5,19,15,79
MS,hard,soqMs9Hfya,95,85,95,90,95,90,550
MS,easy,YuaQwhP1ZU,6,15,0,0,15,NA,NA
MR,hard,YuaQwhP1ZU,66,6,5,25,34,10,146
MS,hard,YuaQwhP1ZU,74,15,11,59,75,61,295
ST,medium,YuaQwhP1ZU,45,5,5,50,26,70,201
MR,medium,YuaQwhP1ZU,45,10,30,50,40,80,255
ST,easy,YuaQwhP1ZU,21,21,35,10,16,75,178
MS,medium,YuaQwhP1ZU,36,36,69,6,72,93,312
ST,hard,YuaQwhP1ZU,60,21,69,30,10,NA,NA
MR,easy,YuaQwhP1ZU,22,16,51,7,35,78,209
MR,hard,2vlCeeOoXs,75,0,5,34,75,85,274
MR,easy,2vlCeeOoXs,35,0,11,15,45,30,136
ST,hard,2vlCeeOoXs,40,1,85,75,40,50,291
ST,medium,2vlCeeOoXs,35,0,50,30,25,25,165
MS,easy,2vlCeeOoXs,0,0,0,0,10,85,95
ST,easy,2vlCeeOoXs,0,0,5,0,9,10,24
MS,medium,2vlCeeOoXs,5,0,0,0,15,5,25
MS,hard,2vlCeeOoXs,79,0,90,60,75,75,379
MR,medium,2vlCeeOoXs,60,1,0,50,35,69,215
ST,hard,KCZtWafWV1,45,2,55,50,30,10,192
MR,medium,KCZtWafWV1,20,3,27,25,8,8,91
MR,hard,KCZtWafWV1,30,3,26,46,10,NA,NA
ST,medium,KCZtWafWV1,16,1,25,40,13,3,98
ST,easy,KCZtWafWV1,11,2,10,1,3,1,28
MR,easy,KCZtWafWV1,19,1,1,10,2,1,34
MS,hard,KCZtWafWV1,58,2,53,77,50,27,267
MS,easy,KCZtWafWV1,20,2,25,3,7,1,58
MS,medium,KCZtWafWV1,13,1,14,21,9,1,59
MS,easy,n5pHkx5qnN,25,23,3,1,24,10,86
ST,easy,n5pHkx5qnN,35,36,50,4,21,2,148
MS,medium,n5pHkx5qnN,80,28,31,55,19,4,217
ST,hard,n5pHkx5qnN,87,21,70,68,23,70,339
MR,easy,n5pHkx5qnN,49,25,15,29,17,5,140
MS,hard,n5pHkx5qnN,82,34,39,85,49,20,309
MR,hard,n5pHkx5qnN,54,13,5,39,49,3,163
ST,medium,n5pHkx5qnN,36,9,13,30,14,2,104
MR,medium,n5pHkx5qnN,53,11,1,29,45,1,140
ST,easy,wgRo2jLpXH,60,65,40,0,60,44,269
MS,easy,wgRo2jLpXH,70,65,40,5,65,80,325
MR,medium,wgRo2jLpXH,95,90,35,35,95,99,449
MS,hard,wgRo2jLpXH,100,100,95,60,100,100,555
MR,easy,wgRo2jLpXH,96,90,90,30,79,95,480
ST,hard,wgRo2jLpXH,100,100,100,65,95,100,560
MS,medium,wgRo2jLpXH,95,95,95,35,95,99,514
MR,hard,wgRo2jLpXH,75,75,35,45,70,60,360
ST,medium,wgRo2jLpXH,80,80,99,44,70,100,473
ST,hard,IMJ2Wgu1zI,75,22,85,35,70,50,337
MS,hard,IMJ2Wgu1zI,88,38,85,26,85,71,393
MR,easy,IMJ2Wgu1zI,41,25,10,8,23,16,123
ST,medium,IMJ2Wgu1zI,85,22,85,66,74,73,405
MR,medium,IMJ2Wgu1zI,65,25,5,14,39,9,157
ST,easy,IMJ2Wgu1zI,64,15,37,9,65,15,205
MS,medium,IMJ2Wgu1zI,80,16,73,19,73,40,301
MS,easy,IMJ2Wgu1zI,40,10,14,7,39,15,125
MR,hard,IMJ2Wgu1zI,64,18,5,11,47,11,156
MR,easy,S5rOjASl3o,55,65,0,13,70,10,213
ST,hard,S5rOjASl3o,70,95,100,90,77,80,512
MS,easy,S5rOjASl3o,54,25,1,3,58,35,176
ST,medium,S5rOjASl3o,65,80,87,53,73,75,433
MS,medium,S5rOjASl3o,85,69,75,30,77,65,401
ST,easy,S5rOjASl3o,44,49,36,2,55,49,235
MR,medium,S5rOjASl3o,67,56,1,10,66,57,257
MR,hard,S5rOjASl3o,76,69,0,20,70,59,294
MS,hard,S5rOjASl3o,81,83,88,70,74,78,474
ST,easy,LMH4MBXVwL,59,14,75,7,50,30,235
ST,hard,LMH4MBXVwL,79,12,95,46,75,50,357
MS,easy,LMH4MBXVwL,74,13,50,11,60,13,221
MS,hard,LMH4MBXVwL,88,19,65,29,66,22,289
MR,easy,LMH4MBXVwL,56,16,48,36,58,13,227
ST,medium,LMH4MBXVwL,68,9,55,33,49,19,233
MR,medium,LMH4MBXVwL,61,15,57,24,38,18,213
MS,medium,LMH4MBXVwL,54,6,43,4,41,9,157
MR,hard,LMH4MBXVwL,70,13,50,40,51,10,234
MS,easy,y4Sh5zF3gm,30,15,22,1,15,15,98
MR,hard,y4Sh5zF3gm,15,15,15,51,21,29,146
MS,medium,y4Sh5zF3gm,49,49,49,51,54,54,306
MS,hard,y4Sh5zF3gm,60,60,67,87,45,66,385
MR,easy,y4Sh5zF3gm,23,9,9,66,34,21,162
ST,easy,y4Sh5zF3gm,15,15,15,47,27,19,138
ST,medium,y4Sh5zF3gm,19,19,53,63,44,44,242
ST,hard,y4Sh5zF3gm,52,35,64,84,52,52,339
MR,medium,y4Sh5zF3gm,19,19,19,67,31,12,167
MR,hard,DoJgv77gQp,66,0,50,86,55,100,357
MS,easy,DoJgv77gQp,20,0,85,0,15,24,144
MR,medium,DoJgv77gQp,85,0,9,95,99,99,387
ST,easy,DoJgv77gQp,5,0,54,0,20,23,102
MS,medium,DoJgv77gQp,93,10,92,90,78,100,463
ST,hard,DoJgv77gQp,90,11,99,100,81,99,480
MR,easy,DoJgv77gQp,59,21,6,90,35,97,308
MS,hard,DoJgv77gQp,91,18,95,97,74,99,474
ST,medium,DoJgv77gQp,70,16,98,97,71,99,451
MR,medium,5oQkfRc0Dh,60,10,5,50,55,40,220
ST,medium,5oQkfRc0Dh,60,50,5,60,60,30,265
MS,easy,5oQkfRc0Dh,40,5,5,5,50,15,120
MR,easy,5oQkfRc0Dh,45,5,5,10,45,10,120
ST,easy,5oQkfRc0Dh,55,5,5,15,60,20,160
MS,hard,5oQkfRc0Dh,65,10,5,50,65,25,220
ST,hard,5oQkfRc0Dh,55,10,75,51,65,35,291
MR,hard,5oQkfRc0Dh,55,10,5,40,65,30,205
MS,medium,5oQkfRc0Dh,15,8,9,55,50,20,157
MS,hard,yRSAaGEgHo,65,48,85,68,79,74,419
MR,easy,yRSAaGEgHo,73,45,25,44,73,68,328
ST,hard,yRSAaGEgHo,78,34,91,75,77,77,432
MR,hard,yRSAaGEgHo,77,25,63,67,86,77,395
MS,medium,yRSAaGEgHo,67,41,35,53,65,51,312
ST,medium,yRSAaGEgHo,43,40,71,37,62,38,291
MR,medium,yRSAaGEgHo,77,35,26,39,37,66,280
MS,easy,yRSAaGEgHo,25,18,24,10,23,21,121
ST,easy,yRSAaGEgHo,11,14,16,5,26,11,83
ST,easy,WLE3Etok97,60,1,20,1,36,10,128
MS,hard,WLE3Etok97,100,10,99,50,74,60,393
ST,hard,WLE3Etok97,95,15,76,64,75,70,395
MR,easy,WLE3Etok97,85,11,0,52,62,60,270
ST,medium,WLE3Etok97,72,10,48,64,62,54,310
MS,medium,WLE3Etok97,95,16,57,2,58,34,262
MR,medium,WLE3Etok97,69,10,2,26,56,20,183
MS,easy,WLE3Etok97,37,10,5,6,46,21,125
MR,hard,WLE3Etok97,70,15,5,59,55,66,270
ST,easy,HajArhl9Mf,70,24,6,0,63,18,181
MS,medium,HajArhl9Mf,84,70,47,69,87,20,377
ST,medium,HajArhl9Mf,69,79,85,25,83,34,375
MR,easy,HajArhl9Mf,94,82,16,18,93,47,350
ST,hard,HajArhl9Mf,100,72,97,50,97,67,483
MS,hard,HajArhl9Mf,99,99,99,74,97,74,542
MR,medium,HajArhl9Mf,89,89,19,24,95,99,415
MR,hard,HajArhl9Mf,98,98,31,63,100,90,480
MS,easy,HajArhl9Mf,30,30,50,3,99,99,311
MS,hard,xYKzEb6U69,75,50,100,50,70,65,410
MS,medium,xYKzEb6U69,50,25,50,0,65,10,200
MR,easy,xYKzEb6U69,45,0,0,45,50,20,160
MS,easy,xYKzEb6U69,20,0,10,0,35,0,65
ST,hard,xYKzEb6U69,70,22,100,100,86,100,478
ST,medium,xYKzEb6U69,84,80,65,50,64,56,399
MR,medium,xYKzEb6U69,50,2,9,50,60,10,181
MR,hard,xYKzEb6U69,73,5,7,51,64,55,255
ST,easy,xYKzEb6U69,7,6,25,10,50,15,113
MR,medium,XdaJtcIO9r,19,1,1,1,12,0,34
MS,hard,XdaJtcIO9r,76,3,48,85,46,53,311
MR,easy,XdaJtcIO9r,12,2,1,8,12,7,42
MS,easy,XdaJtcIO9r,20,1,16,6,21,12,76
MS,medium,XdaJtcIO9r,43,1,36,45,37,46,208
ST,hard,XdaJtcIO9r,71,1,92,69,71,42,346
ST,easy,XdaJtcIO9r,30,2,51,37,23,7,150
ST,medium,XdaJtcIO9r,51,1,62,38,47,30,229
MR,hard,XdaJtcIO9r,66,1,13,50,46,55,231
