id,task,level,pool,scale,score_w,score
jKBHzXx0Pg,MR,easy,pool1,EF,17.333333333333332,65
jKBHzXx0Pg,MR,easy,pool1,FR,8,40
jKBHzXx0Pg,MR,easy,pool1,ME,23.333333333333332,70
jKBHzXx0Pg,MR,easy,pool1,PE,2,15
jKBHzXx0Pg,MR,easy,pool1,TI,3,45
jKBHzXx0Pg,MR,easy,pool1,PH,0,20
jKBHzXx0Pg,MR,easy,pool1,OW,53.666666666666664,255
jKBHzXx0Pg,MR,medium,pool1,EF,16,60
jKBHzXx0Pg,MR,medium,pool1,FR,13,65
jKBHzXx0Pg,MR,medium,pool1,ME,19.666666666666664,59
jKBHzXx0Pg,MR,medium,pool1,PE,2.2666666666666666,17
jKBHzXx0Pg,MR,medium,pool1,TI,3,45
jKBHzXx0Pg,MR,medium,pool1,PH,0,30
jKBHzXx0Pg,MR,medium,pool1,OW,53.93333333333333,276
jKBHzXx0Pg,MR,hard,pool1,EF,20.53333333333333,77
jKBHzXx0Pg,MR,hard,pool1,FR,14,70
jKBHzXx0Pg,MR,hard,pool1,ME,25,75
jKBHzXx0Pg,MR,hard,pool1,PE,3.6,27
jKBHzXx0Pg,MR,hard,pool1,TI,4,60
jKBHzXx0Pg,MR,hard,pool1,PH,0,35
jKBHzXx0Pg,MR,hard,pool1,OW,67.13333333333333,344
jKBHzXx0Pg,MS,easy,pool1,EF,14.666666666666666,55
jKBHzXx0Pg,MS,easy,pool1,FR,5.333333333333333,40
jKBHzXx0Pg,MS,easy,pool1,ME,11,55
jKBHzXx0Pg,MS,easy,pool1,PE,0.3333333333333333,5
jKBHzXx0Pg,MS,easy,pool1,TI,15,45
jKBHzXx0Pg,MS,easy,pool1,PH,0,35
jKBHzXx0Pg,MS,easy,pool1,OW,46.333333333333336,235
jKBHzXx0Pg,MS,medium,pool1,EF,21.333333333333332,80
jKBHzXx0Pg,MS,medium,pool1,FR,10,75
jKBHzXx0Pg,MS,medium,pool1,ME,15,75
jKBHzXx0Pg,MS,medium,pool1,PE,0.6666666666666666,10
jKBHzXx0Pg,MS,medium,pool1,TI,26.666666666666664,80
jKBHzXx0Pg,MS,medium,pool1,PH,0,45
jKBHzXx0Pg,MS,medium,pool1,OW,73.66666666666666,365
jKBHzXx0Pg,MS,hard,pool1,EF,24,90
jKBHzXx0Pg,MS,hard,pool1,FR,12,90
jKBHzXx0Pg,MS,hard,pool1,ME,18,90
jKBHzXx0Pg,MS,hard,pool1,PE,1.6666666666666667,25
jKBHzXx0Pg,MS,hard,pool1,TI,28.333333333333332,85
jKBHzXx0Pg,MS,hard,pool1,PH,0,55
jKBHzXx0Pg,MS,hard,pool1,OW,84,435
jKBHzXx0Pg,ST,easy,pool1,EF,12,60
jKBHzXx0Pg,ST,easy,pool1,FR,3.6666666666666665,55
jKBHzXx0Pg,ST,easy,pool1,ME,7.333333333333333,55
jKBHzXx0Pg,ST,easy,pool1,PE,1.3333333333333333,5
jKBHzXx0Pg,ST,easy,pool1,TI,20,60
jKBHzXx0Pg,ST,easy,pool1,PH,0,20
jKBHzXx0Pg,ST,easy,pool1,OW,44.33333333333333,255
jKBHzXx0Pg,ST,hard,pool1,EF,15,75
jKBHzXx0Pg,ST,hard,pool1,FR,4.133333333333333,62
jKBHzXx0Pg,ST,hard,pool1,ME,10,75
jKBHzXx0Pg,ST,hard,pool1,PE,4,15
jKBHzXx0Pg,ST,hard,pool1,TI,26.666666666666664,80
jKBHzXx0Pg,ST,hard,pool1,PH,0,25
jKBHzXx0Pg,ST,hard,pool1,OW,59.8,332
jKBHzXx0Pg,ST,medium,pool1,EF,13,65
jKBHzXx0Pg,ST,medium,pool1,FR,2.3333333333333335,35
jKBHzXx0Pg,ST,medium,pool1,ME,8,60
jKBHzXx0Pg,ST,medium,pool1,PE,1.8666666666666667,7
jKBHzXx0Pg,ST,medium,pool1,TI,22.333333333333332,67
jKBHzXx0Pg,ST,medium,pool1,PH,0,20
jKBHzXx0Pg,ST,medium,pool1,OW,47.53333333333333,254
TqUBvW8Aaz,MR,medium,pool1,EF,16,80
TqUBvW8Aaz,MR,medium,pool1,FR,24.266666666666666,91
TqUBvW8Aaz,MR,medium,pool1,ME,30,90
TqUBvW8Aaz,MR,medium,pool1,PE,4.666666666666667,35
TqUBvW8Aaz,MR,medium,pool1,TI,1.0666666666666667,16
TqUBvW8Aaz,MR,medium,pool1,PH,0,50
TqUBvW8Aaz,MR,medium,pool1,OW,76,362
TqUBvW8Aaz,MR,hard,pool1,EF,16,80
TqUBvW8Aaz,MR,hard,pool1,FR,21.6,81
TqUBvW8Aaz,MR,hard,pool1,ME,30,90
TqUBvW8Aaz,MR,hard,pool1,PE,6.533333333333333,49
TqUBvW8Aaz,MR,hard,pool1,TI,1.7333333333333334,26
TqUBvW8Aaz,MR,hard,pool1,PH,0,48
TqUBvW8Aaz,MR,hard,pool1,OW,75.86666666666667,374
TqUBvW8Aaz,MR,easy,pool1,EF,10,50
TqUBvW8Aaz,MR,easy,pool1,FR,14.4,54
TqUBvW8Aaz,MR,easy,pool1,ME,7,21
TqUBvW8Aaz,MR,easy,pool1,PE,4.533333333333333,34
TqUBvW8Aaz,MR,easy,pool1,TI,0.9333333333333333,14
TqUBvW8Aaz,MR,easy,pool1,PH,0,11
TqUBvW8Aaz,MR,easy,pool1,OW,36.86666666666667,184
TqUBvW8Aaz,MS,easy,pool1,EF,5,25
TqUBvW8Aaz,MS,easy,pool1,FR,2.6666666666666665,20
TqUBvW8Aaz,MS,easy,pool1,ME,9.066666666666666,34
TqUBvW8Aaz,MS,easy,pool1,PE,0.4,6
TqUBvW8Aaz,MS,easy,pool1,TI,5,15
TqUBvW8Aaz,MS,easy,pool1,PH,0,16
TqUBvW8Aaz,MS,easy,pool1,OW,22.133333333333336,116
TqUBvW8Aaz,MS,medium,pool1,EF,19,95
TqUBvW8Aaz,MS,medium,pool1,FR,13.066666666666666,98
TqUBvW8Aaz,MS,medium,pool1,ME,25.066666666666666,94
TqUBvW8Aaz,MS,medium,pool1,PE,0.4,6
TqUBvW8Aaz,MS,medium,pool1,TI,26.666666666666664,80
TqUBvW8Aaz,MS,medium,pool1,PH,0,50
TqUBvW8Aaz,MS,medium,pool1,OW,84.19999999999999,423
TqUBvW8Aaz,MS,hard,pool1,EF,20,100
TqUBvW8Aaz,MS,hard,pool1,FR,13.333333333333334,100
TqUBvW8Aaz,MS,hard,pool1,ME,26.666666666666668,100
TqUBvW8Aaz,MS,hard,pool1,PE,3.3333333333333335,50
TqUBvW8Aaz,MS,hard,pool1,TI,33,99
TqUBvW8Aaz,MS,hard,pool1,PH,0,50
TqUBvW8Aaz,MS,hard,pool1,OW,96.33333333333333,499
TqUBvW8Aaz,ST,hard,pool1,EF,9.333333333333334,70
TqUBvW8Aaz,ST,hard,pool1,FR,15.8,79
TqUBvW8Aaz,ST,hard,pool1,ME,4.333333333333333,65
TqUBvW8Aaz,ST,hard,pool1,PE,10,50
TqUBvW8Aaz,ST,hard,pool1,TI,33,99
TqUBvW8Aaz,ST,hard,pool1,PH,1.6666666666666667,25
TqUBvW8Aaz,ST,hard,pool1,OW,74.13333333333334,388
TqUBvW8Aaz,ST,easy,pool1,EF,2.8,21
TqUBvW8Aaz,ST,easy,pool1,FR,6,30
TqUBvW8Aaz,ST,easy,pool1,ME,1.6666666666666667,25
TqUBvW8Aaz,ST,easy,pool1,PE,1.2000000000000002,6
TqUBvW8Aaz,ST,easy,pool1,TI,11.666666666666666,35
TqUBvW8Aaz,ST,easy,pool1,PH,1.0666666666666667,16
TqUBvW8Aaz,ST,easy,pool1,OW,24.4,133
TqUBvW8Aaz,ST,medium,pool1,EF,11.2,84
TqUBvW8Aaz,ST,medium,pool1,FR,18,90
TqUBvW8Aaz,ST,medium,pool1,ME,5.333333333333333,80
TqUBvW8Aaz,ST,medium,pool1,PE,10,50
TqUBvW8Aaz,ST,medium,pool1,TI,33,99
TqUBvW8Aaz,ST,medium,pool1,PH,2.4,36
TqUBvW8Aaz,ST,medium,pool1,OW,79.93333333333334,439
WAh9qhgg6o,MR,medium,pool1,EF,3.3333333333333335,25
WAh9qhgg6o,MR,medium,pool1,FR,3,15
WAh9qhgg6o,MR,medium,pool1,ME,10.666666666666666,40
WAh9qhgg6o,MR,medium,pool1,PE,3,15
WAh9qhgg6o,MR,medium,pool1,TI,0,0
WAh9qhgg6o,MR,medium,pool1,PH,0.6666666666666666,10
WAh9qhgg6o,MR,medium,pool1,OW,20.666666666666664,105
WAh9qhgg6o,MR,easy,pool1,EF,2.6666666666666665,20
WAh9qhgg6o,MR,easy,pool1,FR,4,20
WAh9qhgg6o,MR,easy,pool1,ME,8,30
WAh9qhgg6o,MR,easy,pool1,PE,5,25
WAh9qhgg6o,MR,easy,pool1,TI,1.3333333333333333,10
WAh9qhgg6o,MR,easy,pool1,PH,1.3333333333333333,20
WAh9qhgg6o,MR,easy,pool1,OW,22.333333333333336,125
WAh9qhgg6o,MR,hard,pool1,EF,2,15
WAh9qhgg6o,MR,hard,pool1,FR,1,5
WAh9qhgg6o,MR,hard,pool1,ME,4,15
WAh9qhgg6o,MR,hard,pool1,PE,4,20
WAh9qhgg6o,MR,hard,pool1,TI,1.3333333333333333,10
WAh9qhgg6o,MR,hard,pool1,PH,1.3333333333333333,20
WAh9qhgg6o,MR,hard,pool1,OW,13.666666666666666,85
