level,task,order,id
easy,MS,1,jKBHzXx0Pg
easy,ST,2,jKBHzXx0Pg
easy,MR,3,jKBHzXx0Pg
medium,MS,4,jKBHzXx0Pg
hard,ST,5,jKBHzXx0Pg
hard,MS,6,jKBHzXx0Pg
medium,ST,7,jKBHzXx0Pg
medium,MR,8,jKBHzXx0Pg
hard,MR,9,jKBHzXx0Pg
easy,MS,1,TqUBvW8Aaz
hard,ST,2,TqUBvW8Aaz
medium,MS,3,TqUBvW8Aaz
medium,MR,4,TqUBvW8Aaz
hard,MR,5,TqUBvW8Aaz
easy,ST,6,TqUBvW8Aaz
easy,MR,7,TqUBvW8Aaz
medium,ST,8,TqUBvW8Aaz
hard,MS,9,TqUBvW8Aaz
easy,MS,1,WAh9qhgg6o
medium,MS,2,WAh9qhgg6o
medium,MR,3,WAh9qhgg6o
easy,ST,4,WAh9qhgg6o
easy,MR,5,WAh9qhgg6o
hard,MR,6,WAh9qhgg6o
hard,MS,7,WAh9qhgg6o
medium,ST,8,WAh9qhgg6o
hard,ST,9,WAh9qhgg6o
hard,MS,1,6xDo1DDaCf
easy,MR,2,6xDo1DDaCf
medium,MR,3,6xDo1DDaCf
easy,MS,4,6xDo1DDaCf
medium,MS,5,6xDo1DDaCf
medium,ST,6,6xDo1DDaCf
hard,MR,7,6xDo1DDaCf
easy,ST,8,6xDo1DDaCf
hard,ST,9,6xDo1DDaCf
easy,MR,1,9ZffIZqFHz
medium,MS,2,9ZffIZqFHz
medium,MR,3,9ZffIZqFHz
easy,ST,4,9ZffIZqFHz
hard,MS,5,9ZffIZqFHz
hard,MR,6,9ZffIZqFHz
medium,ST,7,9ZffIZqFHz
easy,MS,8,9ZffIZqFHz
hard,ST,9,9ZffIZqFHz
easy,MS,1,wiRZfBYOru
medium,ST,2,wiRZfBYOru
hard,MS,3,wiRZfBYOru
easy,ST,4,wiRZfBYOru
hard,MR,5,wiRZfBYOru
medium,MR,6,wiRZfBYOru
medium,MS,7,wiRZfBYOru
hard,ST,8,wiRZfBYOru
easy,MR,9,wiRZfBYOru
easy,MR,1,cCWrG11sgp
hard,ST,2,cCWrG11sgp
medium,MR,3,cCWrG11sgp
hard,MS,4,cCWrG11sgp
medium,MS,5,cCWrG11sgp
easy,ST,6,cCWrG11sgp
easy,MS,7,cCWrG11sgp
medium,ST,8,cCWrG11sgp
hard,MR,9,cCWrG11sgp
easy,MS,1,gI6hCgCchT
medium,MR,2,gI6hCgCchT
easy,MR,3,gI6hCgCchT
medium,ST,4,gI6hCgCchT
medium,MS,5,gI6hCgCchT
easy,ST,6,gI6hCgCchT
hard,MR,7,gI6hCgCchT
hard,MS,8,gI6hCgCchT
hard,ST,9,gI6hCgCchT
easy,MS,1,kGWL9y5AS9
hard,MS,2,kGWL9y5AS9
hard,ST,3,kGWL9y5AS9
medium,MR,4,kGWL9y5AS9
medium,ST,5,kGWL9y5AS9
hard,MR,6,kGWL9y5AS9
easy,MR,7,kGWL9y5AS9
easy,ST,8,kGWL9y5AS9
medium,MS,9,kGWL9y5AS9
hard,MR,1,ntoLpzjCrW
easy,MR,2,ntoLpzjCrW
medium,MS,3,ntoLpzjCrW
medium,MR,4,ntoLpzjCrW
easy,MS,5,ntoLpzjCrW
hard,MS,6,ntoLpzjCrW
hard,ST,7,ntoLpzjCrW
easy,ST,8,ntoLpzjCrW
medium,ST,9,ntoLpzjCrW
hard,ST,1,12zOSfawTO
medium,ST,2,12zOSfawTO
easy,MS,3,12zOSfawTO
medium,MS,4,12zOSfawTO
hard,MR,5,12zOSfawTO
medium,MR,6,12zOSfawTO
easy,ST,7,12zOSfawTO
hard,MS,8,12zOSfawTO
easy,MR,9,12zOSfawTO
easy,MS,1,DVCsNitb7p
medium,MR,2,DVCsNitb7p
hard,MS,3,DVCsNitb7p
easy,ST,4,DVCsNitb7p
hard,MR,5,DVCsNitb7p
medium,MS,6,DVCsNitb7p
easy,MR,7,DVCsNitb7p
hard,ST,8,DVCsNitb7p
medium,ST,9,DVCsNitb7p
hard,MR,1,sPXXgeOo7t
hard,ST,2,sPXXgeOo7t
medium,ST,3,sPXXgeOo7t
medium,MR,4,sPXXgeOo7t
medium,MS,5,sPXXgeOo7t
hard,MS,6,sPXXgeOo7t
easy,ST,7,sPXXgeOo7t
easy,MR,8,sPXXgeOo7t
easy,MS,9,sPXXgeOo7t
medium,MR,1,ujNKR4re1M
easy,MR,2,ujNKR4re1M
hard,ST,3,ujNKR4re1M
medium,MS,4,ujNKR4re1M
easy,MS,5,ujNKR4re1M
easy,ST,6,ujNKR4re1M
medium,ST,7,ujNKR4re1M
hard,MS,8,ujNKR4re1M
hard,MR,9,ujNKR4re1M
medium,MR,1,8EBFmIUfAy
medium,MS,2,8EBFmIUfAy
hard,ST,3,8EBFmIUfAy
medium,ST,4,8EBFmIUfAy
hard,MS,5,8EBFmIUfAy
hard,MR,6,8EBFmIUfAy
easy,MS,7,8EBFmIUfAy
easy,MR,8,8EBFmIUfAy
easy,ST,9,8EBFmIUfAy
easy,MS,1,aqEAPJJI8e
hard,ST,2,aqEAPJJI8e
easy,ST,3,aqEAPJJI8e
medium,ST,4,aqEAPJJI8e
medium,MS,5,aqEAPJJI8e
easy,MR,6,aqEAPJJI8e
hard,MR,7,aqEAPJJI8e
medium,MR,8,aqEAPJJI8e
hard,MS,9,aqEAPJJI8e
hard,ST,1,rh40WUcVcA
easy,MS,2,rh40WUcVcA
hard,MR,3,rh40WUcVcA
easy,ST,4,rh40WUcVcA
easy,MR,5,rh40WUcVcA
medium,ST,6,rh40WUcVcA
medium,MS,7,rh40WUcVcA
hard,MS,8,rh40WUcVcA
medium,MR,9,rh40WUcVcA
easy,MS,1,ky7vtw0gdz
hard,MR,2,ky7vtw0gdz
medium,ST,3,ky7vtw0gdz
easy,ST,4,ky7vtw0gdz
hard,ST,5,ky7vtw0gdz
medium,MR,6,ky7vtw0gdz
hard,MS,7,ky7vtw0gdz
easy,MR,8,ky7vtw0gdz
medium,MS,9,ky7vtw0gdz
medium,MR,1,zvDM8Go5Bd
medium,MS,2,zvDM8Go5Bd
easy,ST,3,zvDM8Go5Bd
easy,MS,4,zvDM8Go5Bd
hard,ST,5,zvDM8Go5Bd
hard,MS,6,zvDM8Go5Bd
medium,ST,7,zvDM8Go5Bd
easy,MR,8,zvDM8Go5Bd
hard,MR,9,zvDM8Go5Bd
hard,ST,1,7SltMY2Jba
medium,MS,2,7SltMY2Jba
easy,MS,3,7SltMY2Jba
medium,ST,4,7SltMY2Jba
medium,MR,5,7SltMY2Jba
