level,task,order,id
hard,MS,1,001SSMS
easy,MS,2,001SSMS
medium,MR,3,001SSMS
hard,MR,4,001SSMS
easy,MR,5,001SSMS
hard,ST,6,001SSMS
medium,ST,7,001SSMS
medium,MS,8,001SSMS
easy,ST,9,001SSMS
medium,MS,1,003SSKS
medium,MR,2,003SSKS
hard,ST,3,003SSKS
medium,ST,4,003SSKS
hard,MS,5,003SSKS
hard,MR,6,003SSKS
easy,MS,7,003SSKS
easy,MR,8,003SSKS
easy,ST,9,003SSKS
easy,MS,1,004SSDR
easy,ST,2,004SSDR
hard,MR,3,004SSDR
medium,MR,4,004SSDR
medium,ST,5,004SSDR
easy,MR,6,004SSDR
hard,ST,7,004SSDR
hard,MS,8,004SSDR
medium,MS,9,004SSDR
hard,MS,1,005SSDR
easy,MR,2,005SSDR
medium,ST,3,005SSDR
medium,MS,4,005SSDR
easy,MS,5,005SSDR
easy,ST,6,005SSDR
hard,ST,7,005SSDR
medium,MR,8,005SSDR
hard,MR,9,005SSDR
medium,MS,1,006SSEE
medium,MR,2,006SSEE
easy,MS,3,006SSEE
easy,ST,4,006SSEE
easy,MR,5,006SSEE
medium,ST,6,006SSEE
hard,MR,7,006SSEE
hard,MS,8,006SSEE
hard,ST,9,006SSEE
medium,ST,1,007SSJM
hard,MR,2,007SSJM
hard,ST,3,007SSJM
medium,MS,4,007SSJM
easy,ST,5,007SSJM
easy,MR,6,007SSJM
medium,MR,7,007SSJM
hard,MS,8,007SSJM
easy,MS,9,007SSJM
hard,MR,1,009SSAP
hard,MS,2,009SSAP
medium,ST,3,009SSAP
medium,MS,4,009SSAP
easy,MR,5,009SSAP
easy,MS,6,009SSAP
hard,ST,7,009SSAP
medium,MR,8,009SSAP
easy,ST,9,009SSAP
medium,MS,1,010SSEA
hard,MR,2,010SSEA
easy,MR,3,010SSEA
medium,MR,4,010SSEA
medium,ST,5,010SSEA
easy,ST,6,010SSEA
hard,ST,7,010SSEA
hard,MS,8,010SSEA
easy,MS,9,010SSEA
easy,MR,1,011SSAB
hard,MR,2,011SSAB
hard,MS,3,011SSAB
medium,MR,4,011SSAB
medium,MS,5,011SSAB
easy,MS,6,011SSAB
medium,ST,7,011SSAB
hard,ST,8,011SSAB
easy,ST,9,011SSAB
easy,ST,1,012EROP
hard,ST,2,012EROP
medium,ST,3,012EROP
medium,MS,4,012EROP
hard,MS,5,012EROP
easy,MS,6,012EROP
hard,MR,7,012EROP
medium,MR,8,012EROP
easy,MR,9,012EROP
easy,MS,1,013ERVB
hard,ST,2,013ERVB
medium,MR,3,013ERVB
easy,MR,4,013ERVB
hard,MS,5,013ERVB
medium,ST,6,013ERVB
