id,target_present,key,is_correct,rt,task,level,trial
001SSMS,0,left,1,1.157,ST,easy,1
001SSMS,1,right,1,1.129,ST,easy,2
001SSMS,0,left,1,0.948,ST,easy,3
001SSMS,1,right,1,1.069,ST,easy,4
001SSMS,0,left,1,0.818,ST,easy,5
001SSMS,0,left,1,0.803,ST,easy,6
001SSMS,1,right,1,0.755,ST,easy,7
001SSMS,1,right,1,0.996,ST,easy,8
001SSMS,1,right,1,0.948,ST,easy,9
001SSMS,1,right,1,1.149,ST,easy,10
001SSMS,0,left,1,1.349,ST,easy,11
001SSMS,0,left,1,0.97,ST,easy,12
001SSMS,0,left,1,0.862,ST,easy,13
001SSMS,0,left,1,0.786,ST,easy,14
001SSMS,1,right,1,0.921,ST,easy,15
001SSMS,1,right,1,1.313,ST,easy,16
001SSMS,1,right,1,1.612,ST,hard,1
001SSMS,0,left,1,0.946,ST,hard,2
001SSMS,1,left,0,1.273,ST,hard,3
001SSMS,1,left,0,1.067,ST,hard,4
001SSMS,0,right,0,1.13,ST,hard,5
001SSMS,1,left,0,0.98,ST,hard,6
001SSMS,0,left,1,1.203,ST,hard,7
001SSMS,0,left,1,1.037,ST,hard,8
001SSMS,1,right,1,1.589,ST,hard,9
001SSMS,1,left,0,1.344,ST,hard,10
001SSMS,1,right,1,2.513,ST,hard,11
001SSMS,0,left,1,1.413,ST,hard,12
001SSMS,0,right,0,4.121,ST,hard,13
001SSMS,0,right,0,1.7,ST,hard,14
001SSMS,1,right,1,0.869,ST,hard,15
001SSMS,1,right,1,3.646,ST,hard,16
001SSMS,0,left,1,0.681,ST,medium,1
001SSMS,1,right,1,0.786,ST,medium,2
001SSMS,1,right,1,0.837,ST,medium,3
001SSMS,0,right,0,0.869,ST,medium,4
001SSMS,0,left,1,2.27,ST,medium,5
001SSMS,1,right,1,0.705,ST,medium,6
001SSMS,0,left,1,0.93,ST,medium,7
001SSMS,0,left,1,1.82,ST,medium,8
001SSMS,0,right,0,1.919,ST,medium,9
001SSMS,0,left,1,2.086,ST,medium,10
001SSMS,0,left,1,1.698,ST,medium,11
001SSMS,0,right,0,1.279,ST,medium,12
001SSMS,1,right,1,0.848,ST,medium,13
001SSMS,0,right,0,1.136,ST,medium,14
001SSMS,0,left,1,1.012,ST,medium,15
001SSMS,1,left,0,1.013,ST,medium,16
003SSKS,0,left,1,1.295,ST,easy,1
003SSKS,1,right,1,1.04,ST,easy,2
003SSKS,0,left,1,1.03,ST,easy,3
003SSKS,1,right,1,1.419,ST,easy,4
003SSKS,0,left,1,1.007,ST,easy,5
003SSKS,1,right,1,1.056,ST,easy,6
003SSKS,1,left,0,1.014,ST,easy,7
003SSKS,1,right,1,2.107,ST,easy,8
003SSKS,0,left,1,0.814,ST,easy,9
003SSKS,0,left,1,0.88,ST,easy,10
003SSKS,1,right,1,0.864,ST,easy,11
